广工大院一楼带70方花园使用率高 西南北通风采光好,广工大院,黄花岗,3室2厅 ,72.23, 南 北 , 简装 ,7,1991, 塔楼,3,4,4990000.0,"69,085元/平",VR房源 房本满五年 随时看房 
五羊小区 寺右南街 阳台看花园广场 低楼层 满五,五羊小区,五羊新城,2室1厅 ,66.07, 东 西 , 简装 ,9,1986, 塔楼,8, 11个月以前发布,3700000.0,"56,002元/平",近地铁 VR看装修 房本满五年 随时看房 
东方广场实用精装三房   采光好,东方广场,环市东,3室1厅 ,84.87, 东 西 北 , 其他 ,32,1998, 塔楼,29, 7个月以前发布,6980000.0,"82,244元/平",近地铁 VR房源 房本满五年 随时看房 
农讲所地铁口，省实旁 电梯南向一房光线好，有钥匙,大东门华庭,农讲所,1室1厅 ,50.0, 南 , 其他 ,31,2000, 塔楼,40, 8个月以前发布,3160000.0,"63,200元/平",近地铁 VR看装修 房本满五年 随时看房 
百灵路纪念堂旁 靓两房 中层带天台花园自用 三面单边,百灵路,西门口,2室1厅 ,47.1, 东 南 北 , 简装 ,5,1985, 塔楼,6, 5个月以前发布,1730000.0,"36,731元/平",VR看装修 房本满五年 随时看房 
西场地铁口一房一厅带阳台 户型方正 单边位,东风西路,东风西,1室1厅 ,38.95, 西南 , 简装 ,6,1995, 平房,46, 一年前发布,1220000.0,"31,323元/平",近地铁 VR看装修 房本满五年 随时看房 
大德路 实用两房 户型方正 采光通风,大德路,解放南,2室1厅 ,50.23, 西南 , 简装 ,9,1998, 塔楼,24, 一年前发布,1600000.0,"31,854元/平",近地铁 VR看装修 房本满两年 随时看房 
环市东商圈 省级黄花 框架一楼小花园,邮电新村,建设路,2室2厅 ,50.0, 南 , 简装 ,12,1990, 塔楼,2, 4个月以前发布,3200000.0,"64,000元/平",VR看装修 房本满五年 随时看房 
馥园巷低楼层两房  户型方正  采光足  框架结构,诗书路,人民路,2室1厅 ,41.75, 北 , 简装 ,3,1990, 塔楼,5, 一年前发布,1380000.0,"33,054元/平",近地铁 VR看装修 房本满两年 随时看房 
水荫路 1室1厅 东 南 北,水荫路,水荫,1室1厅 ,40.41, 东 南 北 , 简装 ,9,1990, 塔楼,1, 2个月以前发布,2400000.0,"59,392元/平",近地铁 VR看装修 房本满五年 随时看房 
水荫翠院 原装电梯两房 楼龄新 安静,水荫翠院,水荫,2室1厅 ,64.8, 北 , 其他 ,12,2008, 塔楼,33, 7个月以前发布,5090000.0,"78,550元/平",近地铁 VR房源 房本满五年 随时看房 
北京路两房全明 南北对流 有位置加电梯,大南路,北京路,2室1厅 ,59.36, 东南 , 其他 ,9,2000, 塔楼,2, 一年前发布,2450000.0,"41,274元/平",VR看装修 房本满两年 随时看房 
东雅兰院 南向高层正规一房一厅 厅出阳台 自住舒适,东雅兰院,杨箕,1室1厅 ,51.94, 南 , 精装 ,11,1999, 塔楼,17, 5个月以前发布,3900000.0,"75,087元/平",近地铁 VR看装修 房本满五年 随时看房 
近珠江 明月二路 小区管理 户型方正 过两年 看房方便,明月二路,五羊新城,2室1厅 ,62.76, 东南 , 其他 ,9,1989, 塔楼,4, 9个月以前发布,3680000.0,"58,637元/平",近地铁 VR看装修 房本满两年 随时看房 
新达城公寓  水荫学  带精装修 家电齐全,新达城广场,水荫,2室1厅 ,62.2, 东 , 精装 ,30,2000, 板塔结合,40, 一年前发布,3170000.0,"50,965元/平",VR房源 房本满五年 
水荫翠苑 低楼层 大院管理 楼新 格局方正,水荫翠院,水荫,2室1厅 ,63.94, 西南 , 简装 ,9,1998, 板楼,65, 一年前发布,3800000.0,"59,431元/平",近地铁 VR看装修 房本满五年 随时看房 
起义路 2室1厅 西南,起义路,解放南,2室1厅 ,42.7, 西南 , 简装 ,9,1990, 塔楼,3, 5个月以前发布,1600000.0,"37,471元/平",VR房源 房本满两年 随时看房 
店长推荐此房过五唯一，三房两厅，厅出阳台 实用率高,中山三路,东川路,3室2厅 ,98.58, 东南 南 北 , 其他 ,9,1998, 塔楼,1, 1个月以前发布,3800000.0,"38,548元/平",近地铁 VR看装修 房本满五年 随时看房 
越秀云山 小户型  安静舒适 交通便利,广园东路,沙河,2室1厅 ,45.93, 东南 , 其他 ,9,1999, 塔楼,7, 7个月以前发布,1350000.0,"29,393元/平",VR看装修 房本满五年 随时看房 
楼龄新，格局方正，空气对流，视野广阔，各付各税,中山三路,东川路,3室1厅 ,66.13, 南 西 北 , 其他 ,9,1998, 塔楼,7, 7个月以前发布,2850000.0,"43,097元/平",近地铁 VR看装修 房本满两年 随时看房 
水荫直街两房 望动物园景区 带天台花园 交通便捷,水荫直街,水荫,2室1厅 ,56.0, 西北 , 简装 ,9,1992, 塔楼,97, 一年前发布,2510000.0,"44,822元/平",近地铁 VR看装修 房本满两年 随时看房 
近中华广场小面积方正户型闹中带静两口之家,中山三路,东川路,2室1厅 ,49.82, 东 , 其他 ,9,1990, 塔楼,8, 一年前发布,2300000.0,"46,167元/平",近地铁 VR看装修 房本满两年 随时看房 
南北通风，中星，高层望白云山采光好，厅出阳台,恒福路,淘金,2室1厅 ,54.2, 南 北 , 其他 ,9,1990, 板楼,14, 一年前发布,2400000.0,"44,281元/平",VR看装修 房本满两年 随时看房 
房子户型格局方正 一房一厅，房龄适中配套成熟,桂花岗,桂花岗,1室1厅 ,28.12, 东 , 简装 ,8,1996, 塔楼,4, 7个月以前发布,1150000.0,"40,897元/平",近地铁 VR看装修 房本满五年 
永泰西约中楼层两房 采光通风 交通便利 满五年少重税,先烈中路,黄花岗,2室1厅 ,29.55, 东 , 其他 ,6,1992, 塔楼,0, 2个月以前发布,1600000.0,"54,146元/平",VR房源 房本满五年 随时看房 
人民北路 2室1厅 东,人民北路,西华路,2室1厅 ,32.43, 东 , 简装 ,7,2010, 塔楼,2, 6个月以前发布,1600000.0,"49,338元/平",近地铁 VR房源 房本满五年 随时看房 
省级小北 三眼井社区 条砖外墙 楼龄新 带天台花园,小北路,小北,2室1厅 ,65.71, 东 , 简装 ,10,2000, 塔楼,5, 4个月以前发布,4250000.0,"64,679元/平",近地铁 VR看装修 房本满五年 随时看房 
低楼层 大院管理 环境安静 南北通透 户型方正 近地铁,宝汉直街54号大院,麓景,1室1厅 ,54.6, 东 南 西 北 , 其他 ,5,1989, 塔楼,1, 2个月以前发布,2295000.0,"42,033元/平",近地铁 VR看装修 房本满两年 随时看房 
大花园小区 管理好 安静望小区花园,锦城花园,东风东,2室2厅 ,88.0, 东 , 其他 ,12,1997, 塔楼,1, 3个月以前发布,6730000.0,"76,381元/平",VR房源 房本满五年 随时看房 
东山口 楼梯好走 正规全明两房 带大阳台,执信南路,东山口,2室1厅 ,60.45, 北 , 其他 ,8,1990, 塔楼,4, 4个月以前发布,3050000.0,"50,455元/平",近地铁 VR看装修 房本满五年 随时看房 
铁一新楼龄原装电梯双地铁带空中花园,东山领汇广场,杨箕,2室2厅 ,74.15, 西南 , 精装 ,36,2011, 塔楼,29, 4个月以前发布,7400000.0,"99,798元/平",近地铁 VR看装修 房本满五年 随时看房 
建设三马路 框架一房一厅 业主诚意卖 方便看房,建设三马路,建设路,1室1厅 ,34.06, 南 , 其他 ,9,1990, 板楼,4, 9个月以前发布,1900000.0,"55,784元/平",近地铁 VR看装修 房本满两年 随时看房 
淘金板块 三荣大厦电梯小区 高层正规两房 方便约看,三荣大厦,淘金,2室1厅 ,56.46, 南 , 精装 ,30,2005, 塔楼,29, 一年前发布,3450000.0,"61,106元/平",VR看装修 房本满五年 随时看房 
横枝岗56号大院 2室1厅 南 北,横枝岗56号大院,麓景,2室1厅 ,72.15, 南 北 , 其他 ,5,1992, 塔楼,0, 3个月以前发布,3360000.0,"46,570元/平",VR房源 房本满两年 随时看房 
应元路，采光通风好，配套设施齐全，交通便利,应元路,小北,2室1厅 ,42.87, 东 西 北 , 精装 ,5,2001, 塔楼,44, 一年前发布,3250000.0,"75,811元/平",近地铁 VR看装修 房本满两年 随时看房 
中华广场，中山三路板块，地段精装修两房,中山三路,东川路,2室1厅 ,36.61, 东南 , 精装 ,9,1995, 塔楼,224, 一年前发布,1388000.0,"37,914元/平",近地铁 VR看装修 房本满两年 随时看房 
此房有电梯，户型方正。不占用。,陶瓷大厦,小北,4室2厅 ,101.0, 东南 , 精装 ,8,1994, 塔楼,5, 一年前发布,5650000.0,"55,941元/平",近地铁 VR看装修 房本满两年 随时看房 
东方广场 电梯两房住家装修 通风采光好,东方广场,环市东,2室1厅 ,63.17, 西 , 其他 ,32,1998, 塔楼,7, 一年前发布,5400000.0,"85,484元/平",近地铁 VR看装修 房本满五年 随时看房 
商品房满五唯一，框架结构，高楼层通风采光好,黄花新村,淘金,2室1厅 ,53.28, 东 南 , 精装 ,8,1985, 塔楼,1, 4个月以前发布,2600000.0,"48,799元/平",VR房源 房本满五年 随时看房 
越富广场 东南向 高层单位 通风采光和,越富广场,西华路,2室2厅 ,80.04, 东南 , 其他 ,17,1997, 塔楼,0, 1个月以前发布,3200000.0,"39,981元/平",近地铁 VR房源 房本满五年 随时看房 
大德路 低层小积 省级旧部前 诚心出有钥匙,大德路,解放南,2室1厅 ,36.17, 南 , 精装 ,9,1993, 塔楼,33, 一年前发布,1230000.0,"34,007元/平",VR看装修 房本满两年 随时看房 
华侨乐园 南向望小区花园 住家装修 业主急卖,华侨乐园,淘金,2室1厅 ,75.55, 东南 , 简装 ,26,1995, 塔楼,2, 9个月以前发布,4780000.0,"63,270元/平",VR房源 房本满两年 随时看房 
沙河小三房，安静不吵，户型方正，使用率高,水荫路,水荫,3室1厅 ,66.18, 东 南 , 简装 ,6,1993, 板楼,38, 7个月以前发布,2260000.0,"34,150元/平",近地铁 VR看装修 房本满两年 随时看房 
满五年税少，东南朝向一线江景，望东湖和广州塔视野好,东湖御苑,东湖,3室2厅 ,141.0, 西南 北 , 精装 ,51,2005, 塔楼,59, 7个月以前发布,9850000.0,"69,859元/平",近地铁 VR看装修 房本满五年 随时看房 
五羊新城两房 南向加装电梯平层 采光好,明月二路,五羊新城,2室1厅 ,77.46, 南 西南 西 , 简装 ,9,1988, 塔楼,19, 9个月以前发布,4500000.0,"58,095元/平",VR看装修 房本满五年 随时看房 
电梯两房 小区管理 楼龄新 视野开阔  看房方便,珠光雅居,越秀南,2室1厅 ,50.28, 南 , 简装 ,11,1995, 塔楼,2, 4个月以前发布,3300000.0,"65,633元/平",近地铁 VR看装修 房本满两年 随时看房 
五羊新城 金山阁 高层电梯南向 视野开阔看广州塔,金山阁,五羊新城,2室1厅 ,87.29, 南 , 简装 ,28,2000, 塔楼,18, 9个月以前发布,5880000.0,"67,362元/平",近地铁 VR房源 房本满五年 随时看房 
此房过五年  中低层小三房   购物方便,中山三路,东川路,3室1厅 ,56.03, 东 北 , 简装 ,9,1998, 塔楼,7, 7个月以前发布,2350000.0,"41,942元/平",VR看装修 房本满五年 随时看房 
户型方正 装修新颖 交通便利 采光好,东华东路,东山口,2室1厅 ,48.37, 东南 , 其他 ,7,1990, 塔楼,6, 一年前发布,2980000.0,"61,609元/平",近地铁 VR看装修 房本满五年 随时看房 
德安大厦 正规一房一厅 通风采光好,德安大厦,建设路,1室1厅 ,46.76, 南 , 其他 ,23,2004, 塔楼,0, 1个月以前发布,3100000.0,"66,296元/平",VR看装修 房本满五年 随时看房 
冠城大厦  东南靓向  旺中带静,冠城大厦,五羊新城,3室2厅 ,91.43, 东南 , 简装 ,28,1997, 塔楼,1, 1个月以前发布,5670000.0,"62,015元/平",VR看装修 房本满五年 随时看房 
中华广场后街旺中带静，南北对流，过五唯一,中山三路,东川路,3室1厅 ,87.0, 南 , 精装 ,9,1995, 塔楼,79, 一年前发布,3600000.0,"41,380元/平",VR看装修 房本满五年 随时看房 
方正两房，小区管理，近地铁，楼层好，视野开阔,先烈中路102号大院,黄花岗,2室1厅 ,64.24, 西北 , 简装 ,7,1990, 塔楼,18, 一年前发布,3080000.0,"47,946元/平",近地铁 VR看装修 房本满五年 随时看房 
永泰西约 高层框架结构 户型方正,先烈中路,黄花岗,2室2厅 ,66.69, 东南 , 其他 ,10,2000, 塔楼,19, 一年前发布,2800000.0,"41,986元/平",VR看装修 房本满五年 随时看房 
看房方便 清水濠 农讲所地铁 文明路 配套齐全 交通好,文明路,农讲所,2室1厅 ,48.36, 南 西 , 其他 ,9,1995, 塔楼,17, 7个月以前发布,2220000.0,"45,906元/平",VR看装修 房本满两年 随时看房 
越秀区 地铁口 交通便利 低总 小户型,三元里大道洪荫街,三元里,1室1厅 ,33.24, 南 , 简装 ,9,2000, 塔楼,16, 3个月以前发布,700000.0,"21,059元/平",VR看装修 房本满五年 随时看房 
五羊小区两房，格局方正，视野好,五羊小区,五羊新城,1室1厅 ,39.11, 北 , 简装 ,9,1986, 塔楼,0, 3个月以前发布,2550000.0,"65,201元/平",近地铁 VR看装修 房本满两年 随时看房 
锦城花园 A区88平 东南向2房 产权满五年 东风东无占用,锦城花园,东风东,2室2厅 ,87.64, 东南 , 精装 ,12,1997, 塔楼,22, 5个月以前发布,6700000.0,"76,381元/平",近地铁 VR房源 房本满五年 随时看房 
采光好 又通风 大院管理 产权清晰 安静不吵,太和岗路22号大院,黄花岗,3室1厅 ,60.44, 南 北 , 精装 ,7,1990, 塔楼,49, 一年前发布,3360000.0,"55,593元/平",VR看装修 房本满五年 随时看房 
中华广场后街旺中带静，南北对流，过五唯一,中山三路,东川路,3室1厅 ,87.0, 南 , 精装 ,9,1995, 塔楼,79, 一年前发布,3600000.0,"41,380元/平",VR看装修 房本满五年 随时看房 
方正两房，小区管理，近地铁，楼层好，视野开阔,先烈中路102号大院,黄花岗,2室1厅 ,64.24, 西北 , 简装 ,7,1990, 塔楼,18, 一年前发布,3080000.0,"47,946元/平",近地铁 VR看装修 房本满五年 随时看房 
原装电梯楼，北京地铁口，业主着急，很着急的那种,五号公馆,海珠广场,2室1厅 ,69.87, 东 西 , 简装 ,31,1998, 塔楼,11, 7个月以前发布,4600000.0,"65,837元/平",VR看装修 房本满五年 随时看房 
越秀区 近地铁，采光充足，出行方便，业主急*,圣安苑,桂花岗,2室1厅 ,71.19, 南 , 简装 ,8,1995, 塔楼,78, 一年前发布,1500000.0,"21,071元/平",近地铁 VR看装修 房本满两年 随时看房 
永福西约，高层，两房一厅，户型方正，采光视野好,永福路永福西约,黄花岗,2室1厅 ,61.38, 南 , 简装 ,9,1995, 塔楼,122, 一年前发布,2330000.0,"37,961元/平",近地铁 VR看装修 房本满五年 随时看房 
水荫路 2室1厅 南,水荫路,水荫,2室1厅 ,55.0, 南 , 其他 ,9,1993, 塔楼,3, 2个月以前发布,3080000.0,"56,000元/平",VR看装修 房本满五年 随时看房 
闹市里面的宜居之地，精致装修带给你非一般的享受,花果山庄,桂花岗,2室1厅 ,79.18, 东北 , 精装 ,10,2000, 塔楼,20, 一年前发布,4200000.0,"53,044元/平",VR房源 房本满五年 随时看房 
朝天 西门口商圈  乐韵居 闹中取静 电梯全明屋 楼龄新,乐韵居,西门口,2室1厅 ,53.96, 东南 , 简装 ,9,2000, 塔楼,9, 11个月以前发布,3600000.0,"66,717元/平",近地铁 VR看装修 房本满五年 随时看房 
帝景大厦 电梯高层，房改房过五唯一，近地铁看房方便,帝景大厦,淘金,3室2厅 ,118.0, 东北 , 简装 ,25,1995, 塔楼,34, 一年前发布,7780000.0,"65,933元/平",近地铁 VR看装修 房本满五年 随时看房 
此单位住家装修 ，保养很好，通风采光良好,东华西路,东川路,2室1厅 ,46.29, 南 , 其他 ,9,1993, 塔楼,14, 一年前发布,2050000.0,"44,287元/平",VR看装修 房本满五年 随时看房 
署前X学，寺贝通津四房带主套，七字大单边。,达道路,东山口,4室2厅 ,83.98, 东 , 其他 ,5,1990, 板楼,23, 5个月以前发布,6850000.0,"81,568元/平",近地铁 VR看装修 房本满五年 随时看房 
区庄地铁 广工大院 大院管理 方正两房 安静舒适,广工大院,黄花岗,2室1厅 ,66.5, 南 , 精装 ,7,1991, 塔楼,26, 一年前发布,3650000.0,"54,888元/平",VR看装修 房本满五年 随时看房 
此层楼有带一个大天台、该楼盘少有小户型带阳台,御东和府,东山口,2室1厅 ,49.87, 东 , 简装 ,30,2008, 塔楼,82, 一年前发布,3290000.0,"65,972元/平",VR看装修 房本满五年 随时看房 
东兴小区 南向两房楼层好 采光通风好 过五,东兴小区,五羊新城,2室1厅 ,46.04, 西南 , 简装 ,9,1995, 塔楼,2, 2个月以前发布,2500000.0,"54,301元/平",近地铁 VR房源 房本满五年 随时看房 
小户型单元，采光通风好，交通方便，生活设备完善齐全,丽日广场,解放南,1室1厅 ,29.5, 西 , 其他 ,19,1996, 塔楼,2, 6个月以前发布,1300000.0,"44,068元/平",近地铁 VR房源 房本满五年 随时看房 
德仁里少有放盘 格局方正 环境幽静,德政中路,农讲所,2室1厅 ,56.99, 南 西 北 , 其他 ,6,1990, 塔楼,4, 5个月以前发布,2850000.0,"50,009元/平",近地铁 VR看装修 房本满五年 随时看房 
越秀区精装两房业主诚意出地铁近,华秀苑,机场路,2室1厅 ,45.68, 东南 , 其他 ,9,1997, 塔楼,15, 3个月以前发布,1150000.0,"25,176元/平",VR看装修 房本满两年 随时看房 
越秀南刚需三房 高层有电梯位在走加装程序,越秀南路,越秀南,3室1厅 ,82.9, 东 东南 南 , 其他 ,9,1998, 塔楼,0, 1个月以前发布,3600000.0,"43,426元/平",近地铁 VR房源 房本满五年 随时看房 
水荫路大三房 一梯两户 对流户型 采光通风好,水荫路,水荫,3室2厅 ,101.0, 东南 , 简装 ,9,1993, 塔楼,25, 10个月以前发布,4900000.0,"48,515元/平",近地铁 VR看装修 房本满五年 随时看房 
中高层框架楼 东西北三面单边 三阳台 采光充足,北京南路,北京路,3室1厅 ,88.03, 东 西 北 , 其他 ,9,1998, 塔楼,0, 3个月以前发布,2980000.0,"33,853元/平",VR看装修 房本满五年 随时看房 
近地铁，东湖公园，珠江江畔，单位房改小区,粮食局宿舍,东湖,2室1厅 ,57.38, 东 东南 , 简装 ,9,1992, 塔楼,10, 7个月以前发布,2800000.0,"48,798元/平",VR房源 房本满五年 
安静南向小三房 产权清晰 生活便利,水荫路,水荫,3室1厅 ,54.47, 南 , 精装 ,9,1993, 塔楼,6, 8个月以前发布,3300000.0,"60,584元/平",VR看装修 房本满五年 
商品房过五年不唯一 地铁口小面积总金额低 两房一厅,竹丝岗大马路,东风东,2室1厅 ,49.92, 南 , 其他 ,9,1990, 塔楼,1, 1个月以前发布,2500000.0,"50,081元/平",近地铁 VR看装修 房本满五年 随时看房 
水荫路 单边位东南北三面采光 实用两房 户型方正,水荫路,水荫,2室1厅 ,58.19, 东 东南 北 , 简装 ,9,1993, 塔楼,0, 1个月以前发布,3200000.0,"54,993元/平",近地铁 VR房源 房本满两年 随时看房 
环市东商圈 邮电新村 一房一厅,邮电新村,建设路,1室1厅 ,47.73, 南 , 其他 ,10,1990, 塔楼,0, 1个月以前发布,2400000.0,"50,283元/平",VR看装修 房本满两年 随时看房 
农讲所小两房 采光好 看房方便,中山四路,农讲所,2室1厅 ,43.09, 东南 , 其他 ,9,1999, 塔楼,2, 7个月以前发布,1700000.0,"39,453元/平",近地铁 VR看装修 房本满五年 随时看房 
越秀区两房，采光充足，地理位置佳，购房成本低,百灵路,西门口,2室1厅 ,43.66, 东 , 简装 ,7,1985, 塔楼,11, 11个月以前发布,1350000.0,"30,921元/平",近地铁 VR看装修 房本满五年 随时看房 
越秀区精致电梯小两房，拎包入住，位置安静,西华路,西华路,2室1厅 ,26.06, 南 , 精装 ,9,1995, 塔楼,1, 1个月以前发布,1280000.0,"49,118元/平",VR看装修 房本满两年 随时看房 
幸福立方，西南朝向，精装修，采光好~,幸福立方,人民路,1室1厅 ,41.38, 西南 , 其他 ,6,2010, 塔楼,0, 4个月以前发布,950000.0,"22,958元/平",近地铁 房本满五年 随时看房 
此房由我维护，户型方正南北通透装修保养好，中楼层。,共和苑,杨箕,2室1厅 ,56.85, 南 北 , 其他 ,6,1992, 板楼,1, 4个月以前发布,3500000.0,"61,566元/平",近地铁 VR看装修 房本满五年 随时看房 
朝小，条型砖外墙楼龄新，西南向三房大阳台，间隔方正,乐韵居,西门口,3室1厅 ,67.36, 西南 , 精装 ,9,2000, 塔楼,49, 一年前发布,3500000.0,"51,960元/平",近地铁 VR看装修 房本满五年 随时看房 
日升大厦好单位，越秀好位置，业主诚意卖,日升大厦,建设路,1室1厅 ,46.0, 东 , 其他 ,26,1996, 板楼,0, 5个月以前发布,2750000.0,"59,783元/平",VR看装修 房本满五年 随时看房 
东华西路 准电梯 东南向两房 厅出阳台,东华西路,东川路,2室1厅 ,56.39, 东南 , 简装 ,9,1992, 塔楼,13, 11个月以前发布,3270000.0,"57,990元/平",VR看装修 房本满两年 随时看房 
拥翠小区   户型方正  南向两房一厅 安静舒适,拥翠小区,建设路,2室1厅 ,40.28, 南 , 精装 ,7,2000, 板楼,21, 4个月以前发布,2200000.0,"54,618元/平",近地铁 VR看装修 房本满两年 随时看房 
锦城花园 A区88平 东南向2房 产权满五年 东风东无占用,锦城花园,东风东,2室2厅 ,87.64, 东南 , 精装 ,12,1997, 塔楼,22, 5个月以前发布,6700000.0,"76,381元/平",近地铁 VR房源 房本满五年 随时看房 
看房方便 清水濠 农讲所地铁 文明路 配套齐全 交通好,文明路,农讲所,2室1厅 ,48.36, 南 西 , 其他 ,9,1995, 塔楼,17, 7个月以前发布,2220000.0,"45,906元/平",VR看装修 房本满两年 随时看房 
署前，近地铁，安静，框架，有钥匙看房,庙前西街,东山口,1室1厅 ,35.82, 东 , 其他 ,6,1990, 塔楼,4, 4个月以前发布,2350000.0,"65,606元/平",近地铁 VR看装修 房本满五年 随时看房 
华侨新村正规两房 框架 户型方正 电梯费已交,华侨新村,淘金,2室1厅 ,48.62, 东北 , 简装 ,9,2000, 板楼,5, 6个月以前发布,3780000.0,"77,746元/平",VR看装修 房本满五年 随时看房 
加装电梯，不临街，靠地铁 东向两居室,中山四路,农讲所,2室1厅 ,69.74, 东 , 简装 ,9,2003, 塔楼,37, 11个月以前发布,2900000.0,"41,584元/平",近地铁 VR看装修 房本满五年 随时看房 
东华东路 框架结构精装三房 培正小保养好,东华东路,东山口,3室1厅 ,47.54, 南 , 其他 ,8,1990, 塔楼,23, 7个月以前发布,3720000.0,"78,250元/平",近地铁 VR看装修 房本满五年 随时看房 
小户型单元，采光通风好，交通方便，生活设备完善齐全,丽日广场,解放南,1室1厅 ,29.5, 西 , 其他 ,19,1996, 塔楼,2, 6个月以前发布,1300000.0,"44,068元/平",近地铁 VR房源 房本满五年 随时看房 
越秀区永福西约 三房 方正实用,永福路永福西约,黄花岗,3室1厅 ,70.4, 南 , 精装 ,8,1995, 塔楼,26, 一年前发布,2700000.0,"38,353元/平",近地铁 VR看装修 房本满五年 随时看房 
五羊小区E区 低楼层 南向厅出阳台 户型方正实用,五羊小区,五羊新城,2室2厅 ,58.79, 南 , 简装 ,9,1986, 塔楼,2, 3个月以前发布,3600000.0,"61,235元/平",近地铁 VR看装修 房本满五年 随时看房 
豪贤苑  原装电梯，三房   证过五年,豪贤苑,农讲所,3室1厅 ,75.0, 北 , 精装 ,19,2000, 塔楼,38, 一年前发布,4150000.0,"55,334元/平",近地铁 VR看装修 房本满五年 随时看房 
东雅轩实用两房，厅出阳台南向，满五唯一少税,东雅轩,东川路,2室1厅 ,49.2, 东南 , 简装 ,28,2006, 塔楼,4, 3个月以前发布,3400000.0,"69,106元/平",VR看装修 房本满五年 随时看房 
此房满五非唯一 小区管理 安静 近麓湖公园 楼龄新,金麓山庄,麓景,1室1厅 ,32.18, 东 南 , 精装 ,9,2005, 塔楼,1, 1个月以前发布,1480000.0,"45,992元/平",VR看装修 房本满五年 随时看房 
豪贤苑细积，可以方方正正的二房，实用。,豪贤苑,农讲所,2室1厅 ,51.97, 东南 , 精装 ,30,2000, 塔楼,11, 6个月以前发布,2450000.0,"47,143元/平",近地铁 VR看装修 房本满五年 随时看房 
德坭新街 大院管理 户型方正 厅出阳台,东风西路,东风西,1室1厅 ,41.93, 北 , 简装 ,9,1999, 塔楼,0, 2个月以前发布,1680000.0,"40,067元/平",近地铁 VR看装修 房本满五年 随时看房 
文德广场 原装电梯 近地铁 楼龄新 配套成熟,文德广场,越秀南,2室1厅 ,62.57, 东 西 , 简装 ,29,2000, 塔楼,16, 3个月以前发布,3650000.0,"58,335元/平",近地铁 VR看装修 房本满五年 随时看房 
署前，环境好，现做临商，少有放盘。,达道路,东山口,2室1厅 ,36.79, 北 , 其他 ,3,1990, 板楼,0, 3个月以前发布,4000000.0,"108,726元/平",VR看装修 房本满五年 随时看房 
黄华路大院 ，格局方正，视野开阔，采光充足，安静,黄华路,建设路,1室1厅 ,25.18, 东 , 其他 ,6,1988, 塔楼,0, 一年前发布,1500000.0,"59,572元/平",近地铁 VR看装修 房本满五年 随时看房 
彩虹桥越秀区 花园小区管理严格 望流花湖 大三房,嘉和苑,东风西,3室2厅 ,139.45, 北 东北 , 简装 ,22,2000, 塔楼,50, 11个月以前发布,6990000.0,"50,126元/平",近地铁 VR看装修 房本满五年 随时看房 
农本新村精装两房，南北向，业主诚心放卖,农本新村,环市东,2室1厅 ,55.04, 东南 , 精装 ,7,1989, 塔楼,0, 7个月以前发布,4000000.0,"72,675元/平",VR看装修 房本满五年 随时看房 
东山培正，小区管理，原装电梯，一房一厅,东华南路白云楼,东川路,2室1厅 ,64.57, 东 , 其他 ,25,1996, 塔楼,2, 5个月以前发布,4300000.0,"66,595元/平",近地铁 VR房源 房本满五年 随时看房 
小北 小两房 低楼层 楼龄新 环境好,机关宿舍,小北,2室1厅 ,41.74, 西 , 简装 ,9,2000, 塔楼,3, 11个月以前发布,3190000.0,"76,426元/平",VR房源 房本满两年 随时看房 
越秀区永福西约 三房 方正实用,永福路永福西约,黄花岗,3室1厅 ,70.4, 南 , 精装 ,8,1995, 塔楼,26, 一年前发布,2700000.0,"38,353元/平",近地铁 VR看装修 房本满五年 随时看房 
铁一  满五唯一 南向 原装电梯三房 东山口地铁,百好居,东山口,3室1厅 ,112.99, 南 北 , 精装 ,31,2000, 塔楼,43, 一年前发布,8150000.0,"72,131元/平",VR看装修 房本满五年 随时看房 
加装电梯，不临街，靠地铁 东向两居室,中山四路,农讲所,2室1厅 ,69.74, 东 , 简装 ,9,2003, 塔楼,37, 11个月以前发布,2900000.0,"41,584元/平",近地铁 VR看装修 房本满五年 随时看房 
小户型单元，采光通风好，交通方便，生活设备完善齐全,丽日广场,解放南,1室1厅 ,29.5, 西 , 其他 ,19,1996, 塔楼,2, 6个月以前发布,1300000.0,"44,068元/平",近地铁 VR房源 房本满五年 随时看房 
德仁里少有放盘 格局方正 环境幽静,德政中路,农讲所,2室1厅 ,56.99, 南 西 北 , 其他 ,6,1990, 塔楼,4, 5个月以前发布,2850000.0,"50,009元/平",近地铁 VR看装修 房本满五年 随时看房 
豪贤苑  原装电梯，三房   证过五年,豪贤苑,农讲所,3室1厅 ,75.0, 北 , 精装 ,19,2000, 塔楼,38, 一年前发布,4150000.0,"55,334元/平",近地铁 VR看装修 房本满五年 随时看房 
东华东路 框架结构精装三房 培正小保养好,东华东路,东山口,3室1厅 ,47.54, 南 , 其他 ,8,1990, 塔楼,23, 7个月以前发布,3720000.0,"78,250元/平",近地铁 VR看装修 房本满五年 随时看房 
五羊小区E区 低楼层 南向厅出阳台 户型方正实用,五羊小区,五羊新城,2室2厅 ,58.79, 南 , 简装 ,9,1986, 塔楼,2, 3个月以前发布,3600000.0,"61,235元/平",近地铁 VR看装修 房本满五年 随时看房 
淘金 中星 无占用  位置安静,麓苑路,淘金,2室1厅 ,48.27, 东 , 简装 ,9,1990, 塔楼,5, 7个月以前发布,2250000.0,"46,613元/平",VR看装修 房本满五年 随时看房 
