低密度舒适小区 优质配套 业主很诚意,光大花园中海锦榕湾,工业大道北,3室2厅 ,109.59, 南 , 简装 ,33,2010, 塔楼,1,7,8600000.0,"78,475元/平",VR看装修 房本满五年 随时看房 
楼龄新净 舒适大两房型，全明屋，精装修保养好,源海御苑,工业大道北,2室2厅 ,93.96, 东 , 其他 ,31,2012, 塔楼,0,27,4350000.0,"46,297元/平",近地铁 VR看装修 房本满两年 
金碧湾 2室1厅 南,金碧湾,工业大道北,2室1厅 ,64.06, 南 , 简装 ,11,2005, 塔楼,2, 1个月以前发布,4600000.0,"71,808元/平",近地铁 VR看装修 房本满五年 
高层东向户型，间隔方正，通风采光好,蓝色康园,滨江东,2室1厅 ,69.0, 东 , 精装 ,19,2004, 板楼,0,29,5400000.0,"78,261元/平",近地铁 VR看装修 房本满五年 
高层三房 装修保养好 业主自住房 景观夜景好 无遮挡,双子星城,新港西,3室2厅 ,62.44, 北 , 简装 ,18,2005, 塔楼,0,31,3350000.0,"53,652元/平",近地铁 VR看装修 房本满五年 
怡雅苑三期 南向两房 安静舒适 精致装修,怡雅苑(海珠),宝岗,2室2厅 ,81.64, 西南 , 其他 ,29,2003, 塔楼,1,22,4500000.0,"55,121元/平",近地铁 VR看装修 房本满五年 
该房屋满五年 ，格局方正，通风采光好，望江方正实用,江畔华庭,滨江东,2室1厅 ,91.28, 东 北 东北 , 其他 ,30,2002, 塔楼,0,20,6900000.0,"75,592元/平",近地铁 VR房源 房本满五年 
安静东南两房 看花园中间 业主诚意放卖 过五年,中海名都,滨江中,2室1厅 ,84.17, 东南 , 其他 ,38,2004, 塔楼,0,10,5720000.0,"67,958元/平",VR房源 房本满五年 
愉景雅苑 三房带主套 望小区花园 看房提前约,愉景雅苑,新港西,3室2厅 ,101.03, 北 , 其他 ,12,2000, 塔楼,1,9,7400000.0,"73,246元/平",近地铁 VR看装修 房本满五年 
"此房满, 通风采光好，适合刚需上车 近地铁",新鸿花园一期,滨江东,2室1厅 ,52.21, 西 , 简装 ,9,1997, 塔楼,1,10,3700000.0,"70,868元/平",近地铁 VR看装修 房本满五年 
滨江中大型小区 一线江景 居住舒适 配套完善,中海名都,滨江中,2室1厅 ,88.44, 东北 , 简装 ,38,2002, 塔楼,0,10,5980000.0,"67,617元/平",VR房源 房本满五年 
畔江花园 3室1厅 南,畔江花园,磨碟沙,3室1厅 ,107.01, 南 , 精装 ,11,2002, 塔楼,1,14,8500000.0,"79,432元/平",近地铁 VR房源 房本满五年 
滨江瑞城小区 次新楼 高层无遮挡，方正户型厅出阳台！,滨江瑞城,东晓南,3室2厅 ,90.27, 北 , 其他 ,31,2009, 板楼,0,7,5000000.0,"55,390元/平",近地铁 VR看装修 房本满五年 
琶洲刚需2房 高使用率 带南向望江大平台,珠江大家庭花园,琶洲中,2室1厅 ,53.0, 东南 , 其他 ,10,2003, 塔楼,0,4,3150000.0,"59,434元/平",近地铁 VR看装修 房本满五年 
正规南向三房，12号线仑头站上盖，总花销少，四通八达,官洲北苑,官洲,3室1厅 ,122.9, 南 , 精装 ,12,2008, 塔楼,0,3,4580000.0,"37,267元/平",VR看装修 房本满两年 
实用两房 电梯 中高层采光好 视野开阔,盈丰华轩,江燕路,2室1厅 ,67.52, 东南 , 其他 ,16,2002, 塔楼,0,6,2680000.0,"39,692元/平",近地铁 VR房源 房本满五年 
信步闲庭 精装两房 格局方正 采光通风好 看房方便,信步闲庭,赤岗,2室1厅 ,79.69, 西南 , 精装 ,11,2005, 塔楼,0,6,4650000.0,"58,352元/平",近地铁 VR看装修 房本满两年 
光大花园榕景四季二期带独立平台方正2房过五年,光大花园榕景四季,工业大道北,2室1厅 ,70.38, 北 , 简装 ,18,2004, 塔楼,0,10,5000000.0,"71,043元/平",近地铁 VR看装修 房本满五年 
逸景翠园 3室2厅 北,逸景翠园,广州大道南,3室2厅 ,98.35, 北 , 其他 ,13,2003, 塔楼,1,6,6100000.0,"62,024元/平",VR房源 房本满五年 
滨江东549大院 体委宿舍 东西对流 安静 视野开阔,滨江东路549号大院,滨江东,2室1厅 ,82.54, 东 西 , 简装 ,9,1993, 塔楼,0,13,3050000.0,"36,952元/平",VR看装修 房本满五年 
中山大学。校园环境  南北两房双阳台  对流,中山大学宿舍,中大,2室1厅 ,49.6, 南 , 简装 ,6,1980, 塔楼,1,11,2700000.0,"54,436元/平",近地铁 VR看装修 房本满五年 
富基高层三房 户型方正 视野开阔,富基广场,滨江中,3室2厅 ,94.09, 南 , 精装 ,44,2012, 塔楼,0,5,7100000.0,"75,460元/平",VR看装修 房本满两年 
翠城花园 2室1厅 东北,翠城花园,江燕路,2室1厅 ,80.25, 东北 , 精装 ,33,2009, 塔楼,0,14,4900000.0,"61,060元/平",近地铁 VR房源 房本满五年 
精装三房带主套 可望江 有平台花园,富力金禧花园,同福,3室2厅 ,125.78, 西北 , 精装 ,40,2008, 塔楼,0,10,8000000.0,"63,604元/平",近地铁 VR房源 房本满五年 
爵府南向高层望江，视野开阔，通风采光好，装修保养好,金碧花园第三金碧,金碧,3室1厅 ,115.08, 东南 , 其他 ,32,2005, 塔楼,0,13,6670000.0,"57,960元/平",近地铁 VR房源 房本满五年 
新港商厦 2室1厅 南,新港商厦,磨碟沙,2室1厅 ,85.64, 南 , 其他 ,9,2002, 塔楼,0,3,6000000.0,"70,061元/平",近地铁 VR房源 房本满五年 
市二宫地铁站61米 低层大三房 满五唯一 条形砖外墙,江南大道中,江南大道中,3室1厅 ,90.58, 东 , 其他 ,9,1996, 暂无数据,0,3,3180000.0,"35,108元/平",近地铁 VR房源 房本满五年 
毛纺小区 厅出阳台 南向 两房一厅 房子过五年,毛纺小区,赤岗,2室1厅 ,56.16, 南 , 简装 ,6,1990, 塔楼,0,5,2080000.0,"37,038元/平",近地铁 VR看装修 房本满五年 
富力电梯小区 西北望江  中间楼层 采光充足 满五年,富力尚溢居,滨江东,2室1厅 ,67.08, 西北 北 , 其他 ,33,2005, 塔楼,0,8,4600000.0,"68,575元/平",近地铁 VR看装修 房本满五年 
交通便利 成熟社区配套 素社新村 万寿路,万寿路,前进路,3室1厅 ,98.88, 东北 , 简装 ,8,1980, 塔楼,21, 一年前发布,3280000.0,"33,172元/平",VR看装修 房本满五年 
江南新苑三期 高层东三房两厅 格局方正 装修保养好,江南新苑,新港西,3室1厅 ,100.75, 东 , 简装 ,30,2009, 塔楼,1, 1个月以前发布,7980000.0,"79,206元/平",VR房源 房本满五年 
富力金禧花园富力金禧花园富力金禧花园,富力金禧花园,同福,3室2厅 ,98.68, 西 , 其他 ,40,2008, 塔楼,21, 一年前发布,6900000.0,"69,923元/平",VR看装修 房本满五年 
南北对流13米*宽阳台视野不遮挡，35方大客厅待客如宾,力迅时光里,江南大道中,4室1厅 ,165.37, 北 , 精装 ,32,2011, 塔楼,21, 一年前发布,11250000.0,"68,030元/平",近地铁 VR看装修 房本满五年 
双阳台，视野开阔，户型方正，采光通风好,柏蕙花园,滨江东,3室2厅 ,120.2, 南 北 , 简装 ,15,2002, 塔楼,29, 10个月以前发布,7090000.0,"58,986元/平",VR房源 房本满五年 
中信君庭 单边大平层 高层看江 满五唯一,中信君庭,滨江东,4室1厅 ,430.82, 南 北 , 其他 ,37,2004, 塔楼,29, 9个月以前发布,43300000.0,"100,507元/平",VR房源 房本满五年 
海琴湾 中楼层 东南向 通风采光好 产权清晰 证满五年,海琴湾,滨江东,3室2厅 ,109.57, 东北 , 精装 ,32,2002, 板塔结合,8, 6个月以前发布,7800000.0,"71,188元/平",近地铁 VR房源 房本满五年 
江南西商圈 原装电梯三房 交通方便 全明屋 南向,南丰阁,江南西,3室1厅 ,99.0, 南 , 其他 ,18,1992, 塔楼,7, 一年前发布,5100000.0,"51,516元/平",VR看装修 房本满五年 
满五唯一，东向望广州塔，双阳台，格局改动过。,金豪嘉苑,滨江东,3室2厅 ,133.01, 东 北 , 简装 ,19,2004, 平房,7, 6个月以前发布,9200000.0,"69,168元/平",近地铁 VR房源 房本满五年 
南田路 江南西商圈 加装电梯大3房 采光通风好,南村路,江南大道中,3室2厅 ,88.94, 西南 , 简装 ,9,1996, 塔楼,13, 一年前发布,3550000.0,"39,915元/平",近地铁 VR看装修 房本满五年 
愉景雅苑 双地铁 电梯高层  装修保养好,愉景雅苑,新港西,3室2厅 ,106.49, 西南 , 简装 ,14,2000, 塔楼,13, 3个月以前发布,6390000.0,"60,006元/平",近地铁 VR看装修 房本满五年 
鸣泉大宅 独立电梯入户 一线看江 南北对流,珠江帝景苑,滨江东,5室2厅 ,297.37, 南 西 北 , 其他 ,18,2007, 板楼,6, 1个月以前发布,16240000.0,"54,593元/平",近地铁 VR房源 房本满五年 
润汇大厦 3室1厅 东南,润汇大厦,江南西,3室1厅 ,116.61, 东南 , 其他 ,31,2001, 塔楼,0, 5个月以前发布,6180000.0,"52,998元/平",近地铁 VR房源 房本满五年 
满五唯一  通风采光好 01年楼龄 电梯复式 带私有阳台,江南西路,江南西,7室2厅 ,216.63, 东南 南 北 , 其他 ,6,1987, 塔楼,27, 一年前发布,10530000.0,"48,609元/平",VR房源 房本满五年 
江景苑 高层少有大三房户型，一套隔了两套，目前出租,江景苑,滨江东,3室2厅 ,121.1, 东 南 西 北 , 其他 ,9,1997, 塔楼,3, 6个月以前发布,4080000.0,"33,692元/平",近地铁 VR房源 房本满五年 
芙蓉阁2016交楼楼龄新东南向，安静单位装修保养新,明珠花园(海珠区),东晓路,3室1厅 ,105.63, 东南 , 精装 ,28,1995, 塔楼,0, 2个月以前发布,4900000.0,"46,389元/平",近地铁 VR看装修 房本满五年 
中海锦苑，南北对流望江望珠江新城，一线临江小区,中海锦苑,滨江东,4室2厅 ,148.25, 东北 , 精装 ,37,2000, 板塔结合,380, 7个月以前发布,14650000.0,"98,820元/平",近地铁 VR房源 房本满五年 
天鹅湾 一线江景房 复式5房中空客厅,天鹅湾,工业大道北,4室1厅 ,252.12, 西南 , 其他 ,31,2006, 塔楼,19, 7个月以前发布,23800000.0,"94,400元/平",近地铁 VR房源 房本满五年 
海天花苑 3室2厅 北,海天花苑,滨江东,3室2厅 ,101.09, 北 , 简装 ,32,2004, 塔楼,4, 5个月以前发布,5280000.0,"52,231元/平",近地铁 VR看装修 房本满五年 
小区管理 电梯平层。户型方正，环境幽静 通风采光好,凤安花园,工业大道北,3室1厅 ,81.15, 东南 , 简装 ,9,2001, 塔楼,3, 3个月以前发布,3200000.0,"39,434元/平",近地铁 VR房源 房本满两年 
珠帝南向高层稀有大户型 ，视野开阔 采光通风佳,珠江帝景苑,滨江东,5室2厅 ,195.43, 南 , 精装 ,31,2007, 塔楼,21, 10个月以前发布,10670000.0,"54,593元/平",近地铁 VR房源 房本满五年 
顺景雅苑 南向大三房 厅出阳台望园林 装修保养好,顺景雅苑,新港西,3室2厅 ,112.03, 南 , 精装 ,13,2000, 塔楼,92, 10个月以前发布,5790000.0,"51,683元/平",近地铁 VR看装修 房本满五年 
江南翠菊园 6室2厅 东南,江南翠菊园,江南大道中,6室2厅 ,216.88, 东南 , 其他 ,27,2003, 塔楼,8, 一年前发布,11600000.0,"53,486元/平",近地铁 VR房源 房本满五年 
东北朝向一线江景，小蛮腰美景尽收眼底,华标涛景湾,滨江中,4室2厅 ,218.59, 东北 , 其他 ,31,2004, 塔楼,53, 一年前发布,18500000.0,"84,634元/平",近地铁 VR房源 房本满五年 
江南西 地铁站旁  楼梯低层3房 户型房子 睇楼方便,江南大道中,江南大道中,3室1厅 ,81.59, 南 北 , 其他 ,6,1991, 板楼,93, 一年前发布,2300000.0,"28,190元/平",近地铁 VR看装修 房本满两年 
玫瑰园2期 南北对流 已间4房出租 租金稳定,玫瑰园,江南西,4室1厅 ,103.35, 东 , 简装 ,19,2007, 板塔结合,0, 5个月以前发布,6800000.0,"65,796元/平",近地铁 VR看装修 房本满五年 
海珠半岛花园 望江 三房两卫保养好 视野开阔江景好,海珠半岛花园,滨江东,3室2厅 ,107.0, 北 , 其他 ,31,1997, 塔楼,16, 5个月以前发布,7990000.0,"74,673元/平",VR房源 房本满五年 
江南新苑 东南向高层三房带主套，景观，采光，通风好,江南新苑,新港西,3室2厅 ,106.94, 东南 , 其他 ,32,2002, 塔楼,4, 3个月以前发布,8350000.0,"78,082元/平",近地铁 VR看装修 房本满五年 
江边小区 方正实用东南三房 户型方正实用 采光通风好,珠江广场,滨江东,3室2厅 ,132.36, 东南 , 精装 ,31,2000, 塔楼,19, 7个月以前发布,12500000.0,"94,440元/平",近地铁 VR看装修 房本满五年 
客村双地铁少有放盘顶层复式，户型方正采光好,愉景南苑,新港西,5室2厅 ,197.54, 北 , 精装 ,19,2002, 塔楼,0, 1个月以前发布,15760000.0,"79,782元/平",近地铁 VR房源 房本满五年 
海景阁，精装电梯两房，通风采光好。,海景阁,滨江中,2室2厅 ,83.42, 东 北 , 精装 ,28,1998, 塔楼,3, 3个月以前发布,4780000.0,"57,301元/平",VR看装修 房本满五年 
嘉仕花园四期 三房带主套 户型方正 双阳台 实用率高,嘉仕花园东区,滨江东,3室2厅 ,103.58, 东 南 北 , 简装 ,33,2006, 塔楼,10, 2个月以前发布,9980000.0,"96,351元/平",VR房源 房本满五年 
中山大学宿舍 楼龄新净 电梯好楼层 少有放盘,中山大学宿舍,中大,3室2厅 ,105.59, 南 , 其他 ,15,2002, 塔楼,21, 7个月以前发布,10500000.0,"99,442元/平",近地铁 VR看装修 房本满五年 
罗马家园，电梯顶层复式 ，带大露台，南北对流,罗马家园,沥滘,5室2厅 ,219.07, 南 北 , 其他 ,12,2007, 塔楼,7, 4个月以前发布,8610000.0,"39,282元/平",VR房源 房本满五年 
中海锦榕湾  品质小区   双阳台南北向  单边位望花园,光大花园中海锦榕湾,工业大道北,4室2厅 ,141.23, 南 北 , 精装 ,32,2006, 塔楼,2, 2个月以前发布,11300000.0,"80,012元/平",近地铁 VR看装修 房本满五年 
玫瑰园正规 南北对流 户型方正 采光好 配套齐全,玫瑰园,江南西,3室2厅 ,156.04, 南 , 其他 ,19,2007, 板塔结合,29, 一年前发布,8900000.0,"57,037元/平",近地铁 VR房源 房本满五年 
汇美景台，复式一线望江，视野开阔，景观好,汇美景台,滨江东,5室2厅 ,290.27, 北 , 精装 ,33,2003, 塔楼,148, 一年前发布,34000000.0,"117,133元/平",VR房源 房本满五年 
配套设施齐全，交通便利，格局方正实用,天汇大厦,前进路,3室2厅 ,116.0, 东 西北 , 简装 ,28,1999, 塔楼,8, 一年前发布,5300000.0,"45,690元/平",近地铁 VR看装修 房本满五年 
免重税，南向大四房，单边位，通风采光好，视野开阔,富基广场,滨江中,4室2厅 ,154.51, 南 西南 , 精装 ,34,2007, 塔楼,21, 一年前发布,10300000.0,"66,663元/平",VR看装修 房本满五年 
南北对流采光充足，配套齐全，交通便利 动静分离,润汇大厦,江南西,3室1厅 ,116.6, 北 , 简装 ,31,2001, 塔楼,77, 一年前发布,6380000.0,"54,717元/平",近地铁 VR房源 房本满五年 
富力现代广场 远望珠江 太古仓 近望花园 满五 高楼层,富力现代广场,工业大道北,3室1厅 ,112.0, 南 , 其他 ,23,2005, 塔楼,18, 一年前发布,7500000.0,"66,965元/平",近地铁 VR房源 房本满五年 
东翠花园 复式南向双钥匙 5房2厨2卫一个大露台一阳台,东翠花园,东晓路,5室4厅 ,191.62, 东南 南 , 精装 ,6,2001, 塔楼,45, 一年前发布,12500000.0,"65,234元/平",VR看装修 房本满五年 
满五年 自住装修保养好 视野宽阔望越秀 夜景漂亮,草芳苑,滨江中,3室2厅 ,86.64, 北 , 精装 ,9,1998, 塔楼,32, 一年前发布,3190000.0,"36,820元/平",VR看装修 房本满五年 
南向三房 阳台主卧望江 三面采光 南北对流 层高3米,滨江明珠,滨江东,5室2厅 ,240.06, 南 北 东北 , 其他 ,29,2007, 塔楼,2, 一年前发布,21600000.0,"89,978元/平",VR房源 房本满五年 
光大花园榕岸看江视野开阔3房2卫通风透气过五唯一,光大花园榕岸,工业大道北,3室2厅 ,131.08, 西北 , 简装 ,33,2006, 塔楼,10, 8个月以前发布,11700000.0,"89,259元/平",近地铁 VR看装修 房本满五年 
北南向三房 二期中层望花园 2008年交楼 楼龄新,柏蕙花园,滨江东,3室2厅 ,95.37, 南 北 , 其他 ,15,2002, 塔楼,8, 3个月以前发布,5900000.0,"61,865元/平",近地铁 VR房源 房本满五年 
小西门三房电梯平层入户二楼，采光好，诚心放卖,中山大学宿舍,中大,3室2厅 ,102.44, 东南 , 简装 ,6,1980, 塔楼,2, 1个月以前发布,7300000.0,"71,262元/平",近地铁 VR看装修 房本满五年 
滨江水恋 楼龄新保养好 东南朝向望广州塔 户型方正,滨江水恋,滨江东,3室2厅 ,122.57, 东 东南 , 精装 ,27,2009, 塔楼,2, 2个月以前发布,11000000.0,"89,745元/平",近地铁 VR看装修 房本满五年 
双阳台三房户型，楼龄新，成熟商圈,东银广场,前进路,3室2厅 ,110.54, 东北 , 精装 ,32,2009, 塔楼,144, 一年前发布,5080000.0,"45,957元/平",近地铁 VR看装修 房本满两年 
复式电梯房，东南向，采光好，户型方正,保利花园(海珠),工业大道中,4室2厅 ,148.0, 东南 , 精装 ,11,2000, 板楼,50, 一年前发布,7230000.0,"48,852元/平",近地铁 VR房源 房本满五年 
克莱金殿 方正四房 高层望园林泳池  景观好安静舒适,珠江帝景苑,滨江东,4室2厅 ,147.52, 西 北 , 精装 ,35,2007, 塔楼,1, 1个月以前发布,8060000.0,"54,593元/平",近地铁 VR房源 房本满五年 
精装东南大五房  安静望花园 视野开阔,珠江帝景苑,滨江东,5室2厅 ,197.0, 东南 , 精装 ,31,2007, 塔楼,3, 2个月以前发布,10760000.0,"54,593元/平",近地铁 VR房源 房本满五年 
滨江水恋 保养好 户型方正  大阳台,滨江水恋,滨江东,3室2厅 ,107.35, 东北 , 精装 ,27,2009, 塔楼,0, 1个月以前发布,9200000.0,"85,701元/平",近地铁 VR看装修 房本满两年 
高层南北对流 前后无遮挡户型方正,珠江御景湾,南洲,3室2厅 ,154.62, 东南 , 其他 ,12,2006, 塔楼,23, 4个月以前发布,4970000.0,"32,094元/平",VR房源 房本满五年 
江景尽收眼前，夜景更加美丽，环境安静舒适,滨江1933,滨江西,3室1厅 ,230.98, 东南 , 其他 ,32,2007, 塔楼,4, 2个月以前发布,13800000.0,"59,746元/平",近地铁 VR房源 房本满五年 
玫瑰园 三房两卫 视野开阔  南向 过五年唯一 大阳台,玫瑰园,江南西,3室2厅 ,117.0, 南 , 精装 ,19,2007, 板塔结合,337, 一年前发布,6650000.0,"56,838元/平",近地铁 VR房源 房本满五年 
高层安静望花园广州塔 视野开阔通风,珠江帝景苑,滨江东,4室2厅 ,154.0, 东北 , 精装 ,13,2005, 塔楼,15, 4个月以前发布,8410000.0,"54,593元/平",近地铁 VR房源 房本满五年 
滨江东路 嘉仕花园 三期 高层 南北对流 精装修 大三房,嘉仕花园东区,滨江东,3室1厅 ,116.94, 北 南 , 精装 ,32,2003, 塔楼,15, 7个月以前发布,8880000.0,"75,937元/平",近地铁 VR房源 房本满五年 
鹭江 客村双地铁  愉景雅苑  实用3房 业主诚心出卖,愉景雅苑,新港西,3室2厅 ,85.33, 东北 , 其他 ,12,2000, 塔楼,1, 4个月以前发布,5100000.0,"59,768元/平",近地铁 VR看装修 房本满五年 
全城360度望江 云山珠水，户型实用方正 珠江唯品,珠江广场,滨江东,5室2厅 ,236.97, 北 南 , 精装 ,31,2000, 塔楼,10, 一年前发布,27900000.0,"117,737元/平",近地铁 VR房源 房本满五年 
一线江景  装修保养好  户型较为方正 业主诚心放卖,丽景湾,滨江东,4室2厅 ,130.0, 东 北 , 精装 ,30,2002, 塔楼,14, 7个月以前发布,12980000.0,"99,847元/平",近地铁 VR房源 房本满五年 
4+1 方正实用南向 装修保养新 业主诚心放卖  楼龄新,富力银禧花园,滨江东,5室2厅 ,156.16, 南 , 精装 ,29,2008, 塔楼,12, 6个月以前发布,13500000.0,"86,450元/平",近地铁 VR房源 房本满五年 
江南美景，户型方正，采光通透。生活配套完善,江南美景花园,新港西,3室2厅 ,89.1, 东南 , 简装 ,19,1999, 塔楼,5, 11个月以前发布,4700000.0,"52,750元/平",近地铁 VR房源 房本满五年 
南向望花园望江，视野开阔，保养好,光大花园榕岸,工业大道北,3室2厅 ,135.64, 东南 南 , 其他 ,33,2006, 塔楼,7, 8个月以前发布,10500000.0,"77,411元/平",近地铁 VR看装修 房本满五年 
近地铁 实用4房 配套成熟 交通方便,江南美景花园,新港西,4室2厅 ,107.06, 西 , 其他 ,19,1999, 塔楼,1, 2个月以前发布,4700000.0,"43,901元/平",VR房源 房本满五年 
珠江帝景 鸣泉大宅 顶层复式 空中花园  一线靓丽江景,珠江帝景苑,滨江东,7室3厅 ,410.0, 南 北 西 , 精装 ,18,2007, 板楼,20, 2个月以前发布,22390000.0,"54,593元/平",近地铁 VR房源 房本满五年 
南向高层，视野开阔，采光充足，方正实用,恒鑫东和湾,滨江东,3室2厅 ,124.27, 东南 , 精装 ,30,2009, 塔楼,9, 5个月以前发布,9800000.0,"78,861元/平",近地铁 VR看装修 房本满两年 
富基广场 南向高层单边位，视野开阔采光通风,富基广场,滨江中,4室1厅 ,132.64, 南 , 简装 ,34,2005, 塔楼,45, 一年前发布,9200000.0,"69,361元/平",VR房源 房本满五年 
业主诚心出*   近地铁站  高楼层视野宽阔  采光好,富景花园,新港西,3室2厅 ,113.2, 西北 , 精装 ,32,2003, 塔楼,101, 一年前发布,5000000.0,"44,170元/平",近地铁 VR房源 房本满两年 
中大四房之蕞 高层电梯南向 保养新净 带私家天台花园,中山大学宿舍,中大,4室2厅 ,106.61, 南 , 其他 ,6,1991, 塔楼,44, 4个月以前发布,9800000.0,"91,924元/平",近地铁 VR看装修 房本满五年 
复式正规四房，南北对流，附带天台花园,愉景雅苑,新港西,4室2厅 ,123.54, 北 , 简装 ,12,2000, 塔楼,94, 一年前发布,8490000.0,"68,723元/平",近地铁 VR房源 房本满五年 
金穗复式大宅，望花园安静舒适，迈达广场300米,金穗雅园,广州大道南,5室1厅 ,202.87, 东 西北 , 精装 ,11,2004, 塔楼,0, 2个月以前发布,9680000.0,"47,716元/平",VR房源 房本满五年 
高层南向3+1户型，通风采光好，满五年,蓝色康园,滨江东,4室2厅 ,118.42, 东南 , 精装 ,19,2005, 板楼,118, 7个月以前发布,9800000.0,"82,757元/平",VR房源 房本满两年 
高层一线江景，视野开阔，正规大四房,蓝色康园,滨江东,4室2厅 ,157.5, 西北 , 精装 ,28,2006, 板楼,10, 5个月以前发布,13000000.0,"82,540元/平",VR看装修 房本满两年 
南珠广场 聆泉阁 实用四房 配套完善,南珠广场,江燕路,4室2厅 ,180.71, 南 , 精装 ,12,1998, 塔楼,58, 一年前发布,8000000.0,"44,270元/平",近地铁 VR房源 房本满五年 
中信乐涛苑 精装修大三房 望花园,中信乐涛苑,滨江东,3室2厅 ,93.8, 北 , 其他 ,12,2000, 塔楼,15, 7个月以前发布,6700000.0,"71,429元/平",近地铁 VR房源 房本满五年 
马赛克外墙 楼龄新 户型方正 南向 中楼层,瑞康大厦,新港西,3室1厅 ,88.62, 东南 , 简装 ,9,1997, 塔楼,17, 9个月以前发布,2325000.0,"26,236元/平",近地铁 VR看装修 房本满五年 
电梯！电梯！电梯！ 方正大三房  两面单边 采光通风好,荔福路,沙园,3室2厅 ,98.3, 西南 西北 , 简装 ,9,1998, 塔楼,30, 一年前发布,3160000.0,"32,147元/平",VR看装修 房本满五年 
看江南向大两房 一线江景  近大元帅府,花城湾畔,滨江中,2室2厅 ,102.17, 南 西 , 精装 ,35,2003, 塔楼,35, 一年前发布,6500000.0,"63,620元/平",VR看装修 房本满两年 
草芳苑 电梯房  户型方正东南靓向 通风采光好,草芳苑,滨江中,3室2厅 ,100.5, 南 , 简装 ,9,1998, 塔楼,52, 一年前发布,3850000.0,"38,309元/平",VR看装修 房本满五年 
花城湾畔少放户型，舒适大阳台一线江景,花城湾畔,滨江中,4室2厅 ,177.73, 北 , 精装 ,35,2003, 塔楼,65, 一年前发布,12800000.0,"72,020元/平",VR看装修 房本满五年 
光大花园榕岸 4室2厅 东南 西北,光大花园榕岸,工业大道北,4室2厅 ,148.21, 东南 西北 , 其他 ,33,2006, 塔楼,2, 3个月以前发布,12600000.0,"85,015元/平",近地铁 VR看装修 房本满五年 
此房满五唯一，南向 户型漂亮，带400多方大平台,珠江帝景苑,滨江东,5室2厅 ,238.95, 东南 , 其他 ,32,2007, 塔楼,0, 1个月以前发布,13050000.0,"54,593元/平",近地铁 VR房源 房本满五年 
滨江水恋 保养好 户型方正  大阳台,滨江水恋,滨江东,3室2厅 ,107.35, 东北 , 精装 ,27,2009, 塔楼,0, 1个月以前发布,9200000.0,"85,701元/平",近地铁 VR看装修 房本满两年 
滨江东路 嘉仕花园 三期 高层 南北对流 精装修 大三房,嘉仕花园东区,滨江东,3室1厅 ,116.94, 北 南 , 精装 ,32,2003, 塔楼,15, 7个月以前发布,8880000.0,"75,937元/平",近地铁 VR房源 房本满五年 
克莱金殿 方正四房 高层望园林泳池  景观好安静舒适,珠江帝景苑,滨江东,4室2厅 ,147.52, 西 北 , 精装 ,35,2007, 塔楼,1, 1个月以前发布,8060000.0,"54,593元/平",近地铁 VR房源 房本满五年 
高层安静望花园广州塔 视野开阔通风,珠江帝景苑,滨江东,4室2厅 ,154.0, 东北 , 精装 ,13,2005, 塔楼,15, 4个月以前发布,8410000.0,"54,593元/平",近地铁 VR房源 房本满五年 
精装东南大五房  安静望花园 视野开阔,珠江帝景苑,滨江东,5室2厅 ,197.0, 东南 , 精装 ,31,2007, 塔楼,3, 2个月以前发布,10760000.0,"54,593元/平",近地铁 VR房源 房本满五年 
复式电梯房，东南向，采光好，户型方正,保利花园(海珠),工业大道中,4室2厅 ,148.0, 东南 , 精装 ,11,2000, 板楼,50, 一年前发布,7230000.0,"48,852元/平",近地铁 VR房源 房本满五年 
免重税，南向大四房，单边位，通风采光好，视野开阔,富基广场,滨江中,4室2厅 ,154.51, 南 西南 , 精装 ,34,2007, 塔楼,21, 一年前发布,10300000.0,"66,663元/平",VR看装修 房本满五年 
满五年 自住装修保养好 视野宽阔望越秀 夜景漂亮,草芳苑,滨江中,3室2厅 ,86.64, 北 , 精装 ,9,1998, 塔楼,32, 一年前发布,3190000.0,"36,820元/平",VR看装修 房本满五年 
富力现代广场 远望珠江 太古仓 近望花园 满五 高楼层,富力现代广场,工业大道北,3室1厅 ,112.0, 南 , 其他 ,23,2005, 塔楼,18, 一年前发布,7500000.0,"66,965元/平",近地铁 VR房源 房本满五年 
高层东南向 安静望花园 产权满五年,珠江帝景苑,滨江东,3室2厅 ,133.61, 南 , 其他 ,13,2007, 塔楼,3, 1个月以前发布,7300000.0,"54,593元/平",近地铁 VR房源 房本满五年 
骏和大厦高层望江望广州塔 采光充足 配套齐全交通便利,骏和大厦,前进路,3室2厅 ,112.11, 西 北 , 精装 ,23,2000, 塔楼,19, 11个月以前发布,6500000.0,"57,979元/平",VR看装修 房本满五年 
厅出阳台，小区环境好，配套齐全，采光不错的三房,江南新苑,新港西,3室2厅 ,100.72, 北 , 精装 ,30,2009, 塔楼,17, 10个月以前发布,7500000.0,"74,464元/平",VR看装修 房本满五年 
新港西鹭江地铁口，东南向原装电梯三房,中港四航局宿舍,新港西,3室2厅 ,109.63, 南 , 简装 ,9,1999, 塔楼,7, 4个月以前发布,5800000.0,"52,906元/平",近地铁 VR看装修 房本满五年 
东翠花园 复式南向双钥匙 5房2厨2卫一个大露台一阳台,东翠花园,东晓路,5室4厅 ,191.62, 东南 南 , 精装 ,6,2001, 塔楼,45, 一年前发布,12500000.0,"65,234元/平",VR看装修 房本满五年 
