双地铁 临江物业 户型方正 装修新净,悦涛雅苑,黄埔区府,2室2厅 ,67.36, 北 , 精装 ,13,2000, 塔楼,0,6,2820000.0,"41,865元/平",近地铁 VR房源 房本满五年 随时看房 
产权清晰，诚意放卖，配套齐全。。,金碧领秀国际,黄埔区府,1室1厅 ,34.39, 北 , 精装 ,33,2007, 塔楼,0, 1个月以前发布,1490000.0,"43,124元/平",VR房源 房本满两年 随时看房 
珠江嘉园南向大三房 业主诚心放* 红本在手,珠江嘉园,科学城,3室2厅 ,107.2, 南 , 精装 ,28,2015, 塔楼,9, 一年前发布,2780000.0,"25,933元/平",VR看装修 房本满两年 随时看房 
满5年省重税 南向三房 业主保养好.安静,万科金色梦想,香雪,3室2厅 ,86.5, 东南 , 精装 ,28,2015, 板塔结合,6, 2个月以前发布,3100000.0,"35,839元/平",VR看装修 房本满五年 随时看房 
东南向单边位、望植树公园大三房、2023.02满五唯一,时代春树里,香雪,3室2厅 ,92.99, 东南 南 , 精装 ,34,2016, 塔楼,1, 2个月以前发布,3680000.0,"39,575元/平",VR看装修 房本满两年 随时看房 
第二CBD 厅直出4期中高层 安静视野开阔 好房业主诚意,金碧世纪花园,大沙地,2室2厅 ,73.15, 东北 , 精装 ,32,2006, 塔楼,8, 4个月以前发布,3690000.0,"50,445元/平",VR看装修 房本满两年 随时看房 
震撼：黄埔万科城 钻石品质 精装房卖毛坯葛钱 地铁口,万科城,科学城,4室2厅 ,164.18, 东 , 精装 ,16,2009, 板塔结合,43, 一年前发布,5420000.0,"33,005元/平",近地铁 VR看装修 房本满五年 随时看房 
此房满五税少，单边位采光好一楼占面积优势,梅园小区二区,长洲岛,2室1厅 ,55.63, 南 , 简装 ,5,2000, 板楼,2, 6个月以前发布,1600000.0,"28,762元/平",VR看装修 房本满五年 随时看房 
越秀岭南山畔 精装大三房 满五唯一免重税,越秀岭南山畔,科学城,3室2厅 ,142.19, 南 , 精装 ,32,2014, 塔楼,3, 4个月以前发布,4580000.0,"32,175元/平",近地铁 VR看装修 房本满五年 随时看房 
峰湖御境南向大两房(2+1户型)，望别墅，无限视野,峰湖御境,科学城,2室2厅 ,88.54, 南 , 毛坯 ,33,2018, 塔楼,0, 4个月以前发布,3680000.0,"41,564元/平",VR看装修 房本满两年 随时看房 
电梯方正两房，中间楼层，通风采光好,宏康花园五期宏康东筑,开发东区,2室2厅 ,80.62, 东 , 精装 ,22,2009, 塔楼,12, 4个月以前发布,1850000.0,"22,948元/平",VR看装修 房本满五年 随时看房 
科学城 标准小三房 望花园 诚意出*,万科里享家,科学城,3室2厅 ,75.58, 西北 , 简装 ,34,2017, 塔楼,76, 一年前发布,2000000.0,"26,463元/平",VR看装修 房本满两年 随时看房 
业主有心卖.看房方便.中楼层.户型方正.视野开阔无遮挡,奥园春晓,科学城,3室1厅 ,88.91, 北 , 毛坯 ,15,2014, 塔楼,190, 一年前发布,3180000.0,"35,767元/平",近地铁 VR看装修 房本满两年 随时看房 
奥园香雪公馆 飞机四房户型 采光好视野佳配套齐全,奥园香雪公馆,香雪,4室2厅 ,121.81, 南 , 毛坯 ,32,2017, 塔楼,46, 一年前发布,6100000.0,"50,078元/平",近地铁 VR看装修 房本满两年 随时看房 
富春山居中间楼层，公园式小区，环境优美.,雅居乐富春山居,科学城,5室1厅 ,416.0, 南 北 , 毛坯 ,25,2016, 塔楼,6, 一年前发布,12430000.0,"29,869元/平",近地铁 VR房源 房本满五年 随时看房 
此房屋保养不错，空间分布均匀 科学城少量南向三房,万科里享家,科学城,2室2厅 ,75.2, 东 北 , 精装 ,30,2017, 塔楼,0, 一年前发布,2980000.0,"39,628元/平",VR看装修 房本满两年 随时看房 
金碧世纪花园 鱼珠板块 南向三房，精装修 视野开阔,金碧世纪花园,大沙地,3室2厅 ,108.48, 南 , 精装 ,32,2005, 塔楼,0, 5个月以前发布,6500000.0,"59,919元/平",VR看装修 房本满两年 随时看房 
龙光少有南向望别墅大两房，采光充足户型方正,龙光峰景华庭,科学城,2室1厅 ,86.88, 西南 , 精装 ,18,2009, 塔楼,115, 一年前发布,2480000.0,"28,463元/平",VR看装修 房本满五年 随时看房 
佳兆业城市广场南塔户型视野好，全新未入住的，中高楼,佳兆业城市广场,沙村,2室2厅 ,51.0, 东南 , 其他 ,21,2021, 塔楼,42, 一年前发布,1020000.0,"20,000元/平",房本满两年 随时看房 
安静，看山景，总款低，上车简单,科城山庄峻森园,科学城,2室1厅 ,71.27, 西北 , 其他 ,18,2015, 塔楼,0, 4个月以前发布,2790000.0,"39,118元/平",VR看装修 房本满两年 随时看房 
东方华庭少有的一房一厅，独立厨卫，带大阳台，急卖。,凯信东方华庭,开发东区,1室1厅 ,55.07, 北 , 其他 ,10,2005, 塔楼,55, 7个月以前发布,1350000.0,"24,515元/平",近地铁 VR看装修 房本满五年 随时看房 
黄埔区水韵舒适两房户型方正 视野好没遮挡使用率又高,万科里享水韵,科学城,2室2厅 ,79.1, 南 , 精装 ,17,2017, 塔楼,47, 7个月以前发布,1530000.0,"19,343元/平",VR房源 房本满两年 随时看房 
此房是电梯房，业主诚心卖，交通方便，省一级教育,尚品华庭,开发西区,1室1厅 ,42.07, 北 , 简装 ,19,2011, 塔楼,16, 8个月以前发布,910000.0,"21,631元/平",VR看装修 房本满五年 随时看房 
户型方正、南向采光好，安静望花园.,龙光峰景华庭,科学城,2室2厅 ,85.1, 南 , 其他 ,18,2009, 塔楼,3, 5个月以前发布,2430000.0,"28,463元/平",VR看装修 房本满五年 随时看房 
金碧世纪花园  南向两房前后望花园  保养好,金碧世纪花园,大沙地,2室1厅 ,68.47, 南 , 精装 ,17,2004, 板楼,2, 2个月以前发布,3350000.0,"48,927元/平",VR房源 房本满两年 随时看房 
黄埔区 上车盘 南向方位 两房 免重税 看房随时联系我,珠江嘉园,科学城,2室2厅 ,79.5, 南 , 精装 ,32,2015, 塔楼,24, 一年前发布,1800000.0,"22,642元/平",VR看装修 房本满五年 随时看房 
奥园春晓三房房 精装修 业主诚心卖 自住保养好,奥园春晓,科学城,3室1厅 ,89.08, 东南 , 其他 ,15,2014, 塔楼,30, 一年前发布,3330000.0,"37,383元/平",近地铁 VR看装修 房本满五年 随时看房 
荔香花园 电梯一房一厅 南向采光充足,荔香花园,黄埔区府,1室1厅 ,49.06, 南 , 简装 ,9,1996, 塔楼,19, 6个月以前发布,1800000.0,"36,690元/平",近地铁 VR看装修 房本满五年 随时看房 
小区傍边就是东兴会批发市场，还有佳分天地购物广场,宏康花园五期宏康东筑,开发东区,2室2厅 ,82.12, 南 , 精装 ,22,2009, 塔楼,25, 11个月以前发布,1720000.0,"20,945元/平",VR看装修 房本满五年 随时看房 
横厅大三房，精装修，户型采光好,实地常春藤,科学城,3室2厅 ,104.82, 南 北 , 精装 ,32,2018, 塔楼,8, 2个月以前发布,2680000.0,"25,568元/平",VR看装修 房本满两年 随时看房 
此房南向，满五唯一，采光充足，配套成熟，安静舒适,龙光峰景华庭,科学城,3室1厅 ,91.78, 南 , 其他 ,18,2009, 塔楼,5, 4个月以前发布,2620000.0,"28,463元/平",VR房源 房本满五年 随时看房 
此小区绿化良好，人群素质好，楼下配套齐全.,实地常春藤,科学城,3室2厅 ,86.0, 东北 , 精装 ,27,2017, 塔楼,9, 9个月以前发布,2250000.0,"26,163元/平",VR看装修 房本满两年 随时看房 
金融街东南向三房，房子满五免重税,金融街融穗御府,科学城,3室2厅 ,84.58, 南 东南 , 精装 ,30,2016, 塔楼,19, 2个月以前发布,3260000.0,"38,544元/平",VR看装修 房本满五年 随时看房 
"保利爱特城，方正大两房，视野好,包增出*",越秀保利爱特城,香雪,2室2厅 ,72.33, 北 , 精装 ,32,2016, 塔楼,20, 7个月以前发布,2300000.0,"31,799元/平",VR看装修 房本满两年 随时看房 
低密度，小高层，环境优美，配套齐全，满五唯一,锦林山庄,科学城,2室2厅 ,92.15, 南 , 精装 ,11,2011, 塔楼,67, 9个月以前发布,2590000.0,"28,056元/平",近地铁 VR看装修 房本满五年 随时看房 
天虹花园 南向三房 带30方大平台 格局方正 交通便利,天虹花园,大沙地,3室1厅 ,77.53, 南 , 精装 ,9,2006, 塔楼,26, 一年前发布,3400000.0,"43,854元/平",VR看装修 房本满五年 随时看房 
证过五年   金碧世纪花园  中高层南向  望花园望泳池,金碧世纪花园,大沙地,2室1厅 ,69.26, 南 , 精装 ,32,2006, 塔楼,84, 5个月以前发布,3460000.0,"49,957元/平",VR房源 房本满五年 随时看房 
金碧世纪花园 3室2厅 南,金碧世纪花园,大沙地,3室2厅 ,107.86, 南 , 简装 ,32,2006, 塔楼,4, 9个月以前发布,5790000.0,"53,681元/平",VR看装修 房本满五年 随时看房 
楼层好通风采光好，业主保养很好，可拎包入住,万科山景城,科学城,3室2厅 ,84.0, 南 , 精装 ,35,2015, 塔楼,102, 一年前发布,2900000.0,"34,524元/平",VR看装修 房本满两年 随时看房 
含车位，皖科温馨两房保养好，全屋定制，采光透亮,万科金色梦想,香雪,2室1厅 ,64.93, 西北 , 其他 ,34,2015, 板塔结合,11, 6个月以前发布,2500000.0,"38,504元/平",VR看装修 房本满两年 随时看房 
金色梦想满五位置安静南北对流望花园方正大三房带主套,万科金色梦想,香雪,3室2厅 ,95.33, 南 , 精装 ,28,2015, 板塔结合,4, 2个月以前发布,3400000.0,"35,666元/平",VR看装修 房本满五年 随时看房 
南向大三房 金碧世纪花园  证过五年  望园林望泳池,金碧世纪花园,大沙地,3室1厅 ,95.76, 南 , 精装 ,32,2005, 板楼,0, 1个月以前发布,4730000.0,"49,395元/平",VR看装修 房本满五年 随时看房 
万科东荟城精致三房南向中高层位置安静看房方便,万科东荟城,香雪,3室2厅 ,96.25, 南 , 精装 ,33,2016, 塔楼,19, 4个月以前发布,4160000.0,"43,221元/平",VR看装修 房本满五年 随时看房 
东向两房，环境好，视野好。。。,万科幸福誉,知识城,2室2厅 ,72.15, 东北 , 精装 ,34,2014, 板塔结合,38, 3个月以前发布,2040000.0,"28,275元/平",近地铁 VR看装修 房本满两年 随时看房 
实地常春藤~~~~笋两房“已满二”！！！！,实地常春藤,科学城,2室2厅 ,72.75, 西北 , 精装 ,33,2017, 塔楼,73, 一年前发布,2080000.0,"28,592元/平",VR看装修 房本满两年 随时看房 
满五 地铁5号线文冲站旁 采光 通风不错 位置安静,石化生活区,文冲,1室1厅 ,39.61, 南 , 精装 ,5,1976, 塔楼,22, 一年前发布,1300000.0,"32,820元/平",近地铁 VR看装修 房本满五年 随时看房 
金碧世纪花园 东南向 单边位 望泳池两房小区中间位置,金碧世纪花园,大沙地,2室2厅 ,69.13, 南 , 其他 ,32,2005, 板楼,6, 6个月以前发布,3400000.0,"49,183元/平",VR房源 房本满两年 随时看房 
万科幸福誉 精装两房 业主诚心出* 采光好,万科幸福誉,知识城,2室1厅 ,74.0, 东北 , 精装 ,26,2014, 板塔结合,17, 一年前发布,2600000.0,"35,136元/平",近地铁 VR看装修 房本满两年 随时看房 
越秀保利爱特城经济适用两房，楼层好，视野开阔,越秀保利爱特城,香雪,2室2厅 ,72.0, 东北 , 精装 ,32,2016, 塔楼,0, 1个月以前发布,2230000.0,"30,973元/平",VR看装修 房本满两年 随时看房 
中高楼层 看花园视野开阔，采光通透性好，全新未入住,实地常春藤,科学城,2室1厅 ,74.1, 北 , 精装 ,32,2017, 塔楼,17, 10个月以前发布,1800000.0,"24,292元/平",VR看装修 房本满两年 随时看房 
黄埔东区东澳广场精装修两房，生活便利，配套完善！,东澳广场,开发东区,2室2厅 ,79.63, 西南 西 , 精装 ,18,2005, 塔楼,0, 1个月以前发布,1750000.0,"21,977元/平",VR房源 房本满五年 随时看房 
此房朝南向望着公园，带装修，全新未入住过，满5年,科城山庄,科学城,2室2厅 ,85.57, 南 北 , 精装 ,12,2012, 塔楼,103, 8个月以前发布,3350000.0,"39,118元/平",近地铁 VR看装修 房本满五年 随时看房 
科城南向全新住，户型实用，格局方正，通风采光好,科城山庄峻森园,科学城,3室1厅 ,88.52, 南 , 精装 ,18,2015, 塔楼,170, 一年前发布,3470000.0,"39,118元/平",VR看装修 房本满两年 随时看房 
龙光大两房，视野开阔，采光好，产权清晰。,龙光峰景华庭,科学城,2室1厅 ,81.82, 东北 , 其他 ,18,2009, 塔楼,2, 4个月以前发布,2330000.0,"28,463元/平",VR看装修 房本满五年 随时看房 
金碧世纪花园   厅出阳台   户型方正  景观好，,金碧世纪花园,大沙地,3室2厅 ,90.89, 北 , 精装 ,32,2005, 塔楼,63, 一年前发布,5400000.0,"59,413元/平",VR看装修 房本满五年 随时看房 
中楼层92方经典户型，而且业主很诚心,时代春树里,香雪,3室2厅 ,92.87, 南 , 其他 ,35,2017, 塔楼,26, 3个月以前发布,3300000.0,"35,534元/平",VR看装修 房本满两年 随时看房 
无按揭无抵押 电梯二房，电梯直到不用走半层,丰乐小区77号大院,大沙地,2室1厅 ,50.15, 东 , 精装 ,8,1990, 塔楼,41, 9个月以前发布,1590000.0,"31,549元/平",近地铁 VR房源 房本满五年 随时看房 
南向二房。户型方正。动静分开，满二,实地常春藤,科学城,2室2厅 ,74.36, 西南 , 简装 ,29,2017, 塔楼,4, 6个月以前发布,2100000.0,"28,241元/平",VR看装修 房本满两年 随时看房 
南向，中高楼层，采光视野好，安静，出行方便,珠江嘉园,科学城,3室2厅 ,102.0, 南 北 , 其他 ,32,2017, 塔楼,1, 3个月以前发布,2280000.0,"22,353元/平",VR看装修 房本满两年 随时看房 
实地常春藤 刚需两房 配套齐全,实地常春藤,科学城,2室2厅 ,71.43, 北 , 精装 ,33,2017, 板塔结合,5, 7个月以前发布,1800000.0,"25,200元/平",VR看装修 房本满两年 随时看房 
黄埔区 上车盘 南向方位 两房 免重税 看房随时联系我,珠江嘉园,科学城,2室2厅 ,79.5, 南 , 精装 ,32,2015, 塔楼,24, 一年前发布,1800000.0,"22,642元/平",VR看装修 房本满五年 随时看房 
金碧世纪花园  南向两房前后望花园  保养好,金碧世纪花园,大沙地,2室1厅 ,68.47, 南 , 精装 ,17,2004, 板楼,2, 2个月以前发布,3350000.0,"48,927元/平",VR房源 房本满两年 随时看房 
安静舒适大三房满五年免重税近地铁近街铺,万科东荟城,香雪,3室2厅 ,100.37, 南 , 精装 ,28,2016, 塔楼,4, 5个月以前发布,4300000.0,"42,842元/平",VR看装修 房本满五年 随时看房 
满五 可读怡园 产权清晰 业主诚心放卖,金碧领秀国际,黄埔区府,1室0厅 ,34.52, 北 , 简装 ,33,2007, 塔楼,1, 3个月以前发布,1490000.0,"43,124元/平",VR房源 房本满五年 随时看房 
南苑大两房，楼层位置好，采光通风舒适,中海誉城南苑,香雪,2室1厅 ,77.34, 南 , 精装 ,33,2015, 塔楼,3, 3个月以前发布,3050000.0,"39,437元/平",VR看装修 房本满两年 随时看房 
新里程，中高楼层，视野开阔，通风好。采光充足,万科新里程,科学城,2室1厅 ,77.43, 北 , 简装 ,25,2009, 塔楼,27, 10个月以前发布,2610000.0,"33,601元/平",VR看装修 房本满五年 随时看房 
万科新里程 厅出阳台 无遮挡 视野开阔  满五,万科新里程,科学城,3室2厅 ,89.15, 北 , 精装 ,18,2009, 塔楼,20, 一年前发布,3000000.0,"33,601元/平",近地铁 VR看装修 房本满五年 随时看房 
户型方正、南向采光好，安静望花园.,龙光峰景华庭,科学城,2室2厅 ,85.1, 南 , 其他 ,18,2009, 塔楼,3, 5个月以前发布,2430000.0,"28,463元/平",VR看装修 房本满五年 随时看房 
奥园春晓三房房 精装修 业主诚心卖 自住保养好,奥园春晓,科学城,3室1厅 ,89.08, 东南 , 其他 ,15,2014, 塔楼,30, 一年前发布,3330000.0,"37,383元/平",近地铁 VR看装修 房本满五年 随时看房 
新上小区靠里面位置的两房，业主诚意出手,龙光峰景华庭,科学城,2室2厅 ,75.0, 东南 , 其他 ,18,2009, 塔楼,14, 6个月以前发布,2140000.0,"28,463元/平",VR房源 房本满五年 随时看房 
满五年省税，中间楼层，望花园，视野开阔，装修保养好,万科东荟城,香雪,4室2厅 ,123.68, 东南 南 北 , 精装 ,28,2016, 塔楼,2, 1个月以前发布,6000000.0,"48,513元/平",VR看装修 房本满五年 随时看房 
龙光精致两房 环境优美 交通方便,龙光峰景华庭,科学城,2室2厅 ,81.96, 东北 , 简装 ,18,2009, 塔楼,2, 4个月以前发布,2340000.0,"28,463元/平",VR看装修 房本满五年 随时看房 
龙光峰景华庭  业主自己住 采光充足配套成熟安静舒适,龙光峰景华庭,科学城,2室2厅 ,81.94, 东北 , 其他 ,18,2009, 塔楼,16, 5个月以前发布,2340000.0,"28,463元/平",VR房源 房本满两年 随时看房 
房子满五唯一全新未入住楼层好嘎嘎亮,保利越秀岭南林语,科学城,2室2厅 ,76.4, 北 , 精装 ,32,2016, 塔楼,14, 4个月以前发布,2850000.0,"37,304元/平",VR看装修 房本满五年 随时看房 
满五年，楼层好，近地铁口，近商场,科城山庄锦泽园,科学城,2室1厅 ,84.5, 北 , 精装 ,18,2015, 塔楼,15, 6个月以前发布,3310000.0,"39,118元/平",近地铁 VR看装修 房本满五年 随时看房 
全新未入住 户型方正实用，通风采光好,万科金色梦想,香雪,3室2厅 ,86.4, 北 , 其他 ,29,2015, 板塔结合,3, 2个月以前发布,3000000.0,"34,723元/平",VR看装修 房本满五年 随时看房 
春树里小三房 中间位置 房间看公园 看房方便。,时代春树里,香雪,3室2厅 ,81.91, 东北 , 精装 ,28,2016, 塔楼,5, 5个月以前发布,2800000.0,"34,184元/平",VR看装修 房本满两年 随时看房 
两房精装修、高楼层对流、视野开阔,实地常春藤,科学城,2室1厅 ,74.1, 北 , 其他 ,32,2017, 塔楼,2, 4个月以前发布,1800000.0,"24,292元/平",VR看装修 房本满两年 随时看房 
安静南方两房，中间楼层，格局方正。,龙光峰景华庭,科学城,2室2厅 ,75.19, 南 , 精装 ,18,2009, 塔楼,15, 4个月以前发布,2150000.0,"28,463元/平",VR看装修 房本满五年 随时看房 
林语精装两房，户型方正，采光通风好,保利越秀岭南林语,科学城,2室2厅 ,75.78, 北 , 精装 ,32,2016, 塔楼,12, 8个月以前发布,2730000.0,"36,026元/平",VR看装修 房本满五年 随时看房 
满五唯一靓两房，中高楼层，采光好！,保利越秀岭南林语,科学城,2室1厅 ,76.2, 北 , 其他 ,32,2016, 塔楼,0, 2个月以前发布,2850000.0,"37,402元/平",VR房源 房本满五年 随时看房 
中海南苑大三房南北对流收楼后重新装修全新未入住新房,中海誉城南苑,香雪,3室2厅 ,112.41, 北 , 精装 ,33,2015, 塔楼,10, 2个月以前发布,3760000.0,"33,449元/平",VR看装修 房本满两年 随时看房 
满五唯一 电梯 实用 大阳台 两房  光线好,荔园小区,黄埔区府,2室2厅 ,61.3, 西南 北 , 其他 ,9,1995, 塔楼,0, 6个月以前发布,2330000.0,"38,010元/平",近地铁 VR房源 房本满五年 随时看房 
科学城南向3房，格局方正，采光好,实地常春藤,科学城,3室1厅 ,86.7, 东南 , 精装 ,33,2017, 板塔结合,147, 一年前发布,2300000.0,"26,529元/平",VR看装修 房本满两年 随时看房 
保利复式南向5房，地铁口交通便利，采光好，,保利林语山庄,科学城,4室1厅 ,178.64, 南 , 精装 ,18,2008, 塔楼,6, 4个月以前发布,5930000.0,"33,192元/平",近地铁 VR房源 房本满两年 随时看房 
科学城 刚需三房两卫 小区绿化高 服务管理好,万科里享家,科学城,3室2厅 ,92.41, 北 , 精装 ,34,2014, 塔楼,62, 一年前发布,2050000.0,"22,184元/平",VR看装修 房本满两年 随时看房 
峰湖御镜东南向大两房，视野开阔，精装全新未入住,峰湖御境,科学城,2室2厅 ,88.55, 东南 , 精装 ,33,2018, 塔楼,33, 11个月以前发布,3250000.0,"36,703元/平",VR看装修 房本满两年 随时看房 
双地铁交汇 中层框架南向三房 可公积金贷款 生活便利,文船生活区东区,文冲,3室1厅 ,58.77, 南 , 简装 ,5,1999, 塔楼,3, 2个月以前发布,1900000.0,"32,330元/平",近地铁 VR房源 房本满五年 随时看房 
东城国际大厦 中层一房 视野采光好,东城国际大厦,大沙地,2室1厅 ,63.93, 西 , 简装 ,30,2008, 塔楼,11, 2个月以前发布,980000.0,"15,330元/平",近地铁 房本满两年 随时看房 
金碧世纪花园，环境优雅，格局方正，视野开阔。,金碧世纪花园,大沙地,3室1厅 ,108.19, 南 , 其他 ,32,2006, 塔楼,33, 8个月以前发布,5750000.0,"53,148元/平",VR看装修 房本满五年 随时看房 
合景天峻精装两房南向视野开阔地铁就在家门口,合景天峻广场,知识城,2室2厅 ,46.76, 南 , 精装 ,21,2019, 塔楼,2, 2个月以前发布,749000.0,"16,018元/平",近地铁 房本满五年 随时看房 
海关小区 电梯舒适3房  满五少税 安静望花园,海关大院,黄埔区府,3室2厅 ,91.55, 东北 , 其他 ,30,1998, 塔楼,25, 一年前发布,3290000.0,"35,937元/平",VR看装修 房本满五年 随时看房 
万科东荟城精致三房南向中高层位置安静看房方便,万科东荟城,香雪,3室2厅 ,96.25, 南 , 精装 ,33,2016, 塔楼,19, 4个月以前发布,4160000.0,"43,221元/平",VR看装修 房本满五年 随时看房 
科城山庄锦泽园  配套成熟 交通发达  位置安静,科城山庄锦泽园,科学城,3室2厅 ,101.41, 东南 , 精装 ,18,2015, 塔楼,1, 1个月以前发布,3970000.0,"39,118元/平",近地铁 VR看装修 房本满五年 随时看房 
中海北苑舒适一房满五省税无按揭诚心卖,中海誉城北苑,香雪,1室1厅 ,56.38, 北 , 精装 ,33,2012, 塔楼,28, 7个月以前发布,1720000.0,"30,508元/平",VR看装修 房本满五年 随时看房 
房子是精装修的房子，定制的家私，房子保养很好。,实地常春藤,科学城,2室2厅 ,70.37, 北 , 精装 ,33,2018, 塔楼,0, 一年前发布,2100000.0,"29,843元/平",VR看装修 房本满两年 随时看房 
科城山庄  南向2房   安静不吵  户型方正。,科城山庄,科学城,2室2厅 ,89.3, 东南 , 其他 ,12,2012, 塔楼,1, 1个月以前发布,3500000.0,"39,118元/平",近地铁 VR看装修 房本满五年 随时看房 
老黄埔 满五年 近地铁 13号线双岗站,东港花园,文冲,1室1厅 ,43.09, 东 , 简装 ,11,2010, 塔楼,104, 一年前发布,1790000.0,"41,541元/平",近地铁 VR房源 房本满五年 随时看房 
全新未入住，中高楼层，南向望花园，.,实地常春藤,科学城,4室2厅 ,125.04, 南 , 其他 ,32,2018, 塔楼,0, 2个月以前发布,3850000.0,"30,791元/平",VR看装修 房本满两年 随时看房 
金梦77方少有南向三房，望小区景观安静位置,万科金色梦想,香雪,3室2厅 ,77.07, 南 , 精装 ,34,2015, 板塔结合,56, 2个月以前发布,2690000.0,"34,904元/平",VR看装修 房本满两年 随时看房 
金碧新四期 高层视野好 装修保养好 满五唯一,金碧世纪花园,大沙地,2室2厅 ,73.15, 东北 , 精装 ,32,2006, 塔楼,0, 1个月以前发布,3600000.0,"49,214元/平",VR看装修 房本满五年 随时看房 
满五年省税，中间楼层，望花园，视野开阔，装修保养好,万科东荟城,香雪,4室2厅 ,123.68, 东南 南 北 , 精装 ,28,2016, 塔楼,2, 1个月以前发布,6000000.0,"48,513元/平",VR看装修 房本满五年 随时看房 
春树里小三房 中间位置 房间看公园 看房方便。,时代春树里,香雪,3室2厅 ,81.91, 东北 , 精装 ,28,2016, 塔楼,5, 5个月以前发布,2800000.0,"34,184元/平",VR看装修 房本满两年 随时看房 
科学城 刚需三房两卫 小区绿化高 服务管理好,万科里享家,科学城,3室2厅 ,92.41, 北 , 精装 ,34,2014, 塔楼,62, 一年前发布,2050000.0,"22,184元/平",VR看装修 房本满两年 随时看房 
峰湖近全新高层安静3房 望山景空气好 业主诚意出*,峰湖御境,科学城,3室2厅 ,90.74, 西北 , 其他 ,33,2018, 塔楼,12, 一年前发布,3910000.0,"43,091元/平",VR看装修 房本满两年 随时看房 
奥园春晓南向三房 横厅设计带大阳台 高楼层视野好,奥园春晓,科学城,3室2厅 ,91.02, 东南 , 其他 ,18,2014, 塔楼,1, 11个月以前发布,4000000.0,"43,947元/平",近地铁 VR看装修 房本满两年 随时看房 
小区安静南向2房 格局方正 环境优美 旁边有*达广场,锦林山庄,科学城,2室2厅 ,92.55, 南 , 精装 ,11,2011, 塔楼,122, 一年前发布,2600000.0,"28,056元/平",近地铁 VR看装修 房本满五年 随时看房 
峰湖御镜东南向大两房，视野开阔，精装全新未入住,峰湖御境,科学城,2室2厅 ,88.55, 东南 , 精装 ,33,2018, 塔楼,33, 11个月以前发布,3250000.0,"36,703元/平",VR看装修 房本满两年 随时看房 
此房过五年，采光充足。视野开阔，环境优美，户型漂亮,雅居乐富春山居,科学城,4室1厅 ,198.0, 东南 , 毛坯 ,25,2016, 塔楼,18, 6个月以前发布,5920000.0,"29,869元/平",近地铁 VR看装修 房本满两年 随时看房 
满五年，楼层好，近地铁口，近商场,科城山庄锦泽园,科学城,2室1厅 ,84.5, 北 , 精装 ,18,2015, 塔楼,15, 6个月以前发布,3310000.0,"39,118元/平",近地铁 VR看装修 房本满五年 随时看房 
温馨一房 东向，产权清晰，chengx1·放卖 交易便捷,宏康小筑,科学城,1室1厅 ,43.49, 东 , 精装 ,8,2015, 塔楼,22, 6个月以前发布,910000.0,"20,925元/平",VR房源 房本满两年 随时看房 
龙光峰景华庭 2室2厅 北,龙光峰景华庭,科学城,2室2厅 ,81.75, 北 , 精装 ,18,2009, 塔楼,8, 5个月以前发布,2330000.0,"28,463元/平",VR看装修 房本满五年 随时看房 
时代春树里  小三房 业主诚心出 看房方便,时代春树里,香雪,3室2厅 ,80.54, 西北 , 其他 ,18,2016, 塔楼,3, 3个月以前发布,2870000.0,"35,635元/平",VR看装修 房本满两年 随时看房 
东南向单边位、望植树公园大三房、2023.02满五唯一,时代春树里,香雪,3室2厅 ,92.99, 东南 南 , 精装 ,34,2016, 塔楼,1, 2个月以前发布,3680000.0,"39,575元/平",VR看装修 房本满两年 随时看房 
此房屋中楼层，小区绿化良好，楼下配套齐全,实地常春藤,科学城,2室2厅 ,72.0, 北 , 精装 ,33,2017, 塔楼,2, 一年前发布,2300000.0,"31,945元/平",VR看装修 房本满两年 随时看房 
奥园春晓128平三房两卫 满五年  位置安静 随时看房,奥园春晓,科学城,3室2厅 ,127.59, 南 , 毛坯 ,18,2014, 塔楼,6, 2个月以前发布,3980000.0,"31,194元/平",近地铁 VR看装修 房本满五年 随时看房 
此房满五不唯一  中层 视野开阔 看房方便,龙光峰景华庭,科学城,2室1厅 ,81.39, 南 , 精装 ,18,2009, 塔楼,20, 10个月以前发布,2320000.0,"28,463元/平",VR看装修 房本满五年 随时看房 
珠江嘉园 南向两房 中间楼层 舒适度高,珠江嘉园,科学城,2室1厅 ,83.56, 南 , 精装 ,16,2015, 塔楼,19, 7个月以前发布,1820000.0,"21,781元/平",VR看装修 房本满两年 随时看房 
新景楼地铁五号线和七号线双地铁有电梯加装到4楼。,新景楼(黄埔区),黄埔区府,2室1厅 ,77.5, 南 , 其他 ,9,1998, 塔楼,11, 一年前发布,4000000.0,"51,613元/平",近地铁 VR看装修 房本满五年 随时看房 
满五唯一省重税，家私家电齐装修保养好，安静望花园光,万科东荟城,香雪,2室2厅 ,76.12, 北 , 精装 ,33,2016, 塔楼,3, 一年前发布,2900000.0,"38,098元/平",VR看装修 房本满五年 随时看房 
新里程A区北向三房，户型方正，不对马路安静,万科新里程,科学城,3室2厅 ,88.86, 北 , 简装 ,18,2009, 塔楼,0, 1个月以前发布,2990000.0,"33,601元/平",近地铁 VR看装修 房本满五年 随时看房 
科城山庄 南北对流 诚心放卖 采光好通风 看房方便,科城山庄,科学城,4室2厅 ,187.5, 南 北 , 精装 ,12,2012, 塔楼,33, 一年前发布,7340000.0,"39,118元/平",近地铁 VR看装修 房本满五年 随时看房 
