此小区位于广州后花园之都从化流溪河。,翰林国际,旧城区,4室2厅 ,118.34, 南 , 精装 ,11,2018, 板楼,14, 10个月以前发布,1080000.0,"9,127元/平",VR看装修 房本满两年 随时看房 
人盛巴厘天地，刚需户型，小区绿化好，生活配套成熟,人盛巴厘天地,神岗镇,2室2厅 ,74.52, 南 , 精装 ,17,2018, 塔楼,5, 一年前发布,1100000.0,"14,762元/平",VR看装修 房本满两年 
小区安静，紧靠流溪河，生活便利,人盛巴厘天地,神岗镇,3室2厅 ,107.01, 南 , 毛坯 ,17,2011, 塔楼,0, 7个月以前发布,1200000.0,"11,214元/平",VR看装修 房本满五年 
人盛巴厘天地 3室2厅 西北,人盛巴厘天地,神岗镇,3室2厅 ,84.92, 西北 , 精装 ,18,2018, 塔楼,1, 4个月以前发布,960000.0,"11,305元/平",VR房源 房本满两年 
此房南北对流，中高楼层，采光通透明亮,人盛巴厘天地,神岗镇,3室2厅 ,108.0, 南 , 精装 ,17,2012, 塔楼,11, 5个月以前发布,1090000.0,"10,093元/平",VR看装修 房本满两年 
时代名苑小区准电梯房，标准三房两卫户型,时代名苑,旧城区,3室2厅 ,97.98, 西北 , 精装 ,9,2000, 塔楼,0, 2个月以前发布,1190000.0,"12,146元/平",VR看装修 房本满五年 
地铁口笋盘，南向电梯大三房，户型方正，南北对流,大城云山,太平镇,3室2厅 ,121.24, 西南 , 毛坯 ,22,2016, 塔楼,0, 3个月以前发布,1450000.0,"11,960元/平",近地铁 VR看装修 房本满两年 
紫泉翠荔嘉园 电梯三房 视线很好,紫泉翠荔嘉园,太平镇,3室2厅 ,90.87, 东南 , 精装 ,18,2010, 塔楼,0, 2个月以前发布,1200000.0,"13,206元/平",VR看装修 房本满五年 
巴厘天地 毛坯两房 生活方便 配套齐,人盛巴厘天地,神岗镇,2室2厅 ,82.76, 东南 , 毛坯 ,17,2014, 塔楼,0, 2个月以前发布,750000.0,"9,063元/平",VR看装修 房本满两年 
带待修精修小3房.少有的小户型3房,人盛巴厘天地,神岗镇,3室1厅 ,84.0, 东 , 精装 ,17,2014, 塔楼,25, 一年前发布,1020000.0,"12,143元/平",VR看装修 房本满两年 
业主诚意出，精装修拎包入住近市场，采光充足生活便利,人盛巴厘天地,神岗镇,2室2厅 ,83.23, 东南 , 精装 ,17,2012, 塔楼,2, 4个月以前发布,1000000.0,"12,015元/平",VR看装修 房本满五年 
业主诚心卖 精装修 采光充足 值得推荐,人盛巴厘天地,神岗镇,2室2厅 ,83.97, 西南 , 简装 ,17,2014, 塔楼,0, 7个月以前发布,1050000.0,"12,505元/平",VR看装修 房本满两年 
紫泉电梯三房  东南向，边位 ，望花园  无遮挡,紫泉翠荔嘉园,太平镇,3室2厅 ,90.87, 东南 , 精装 ,18,2010, 塔楼,0, 3个月以前发布,1180000.0,"12,986元/平",VR看装修 房本满五年 
巴厘天地大三房，双阳台南北对流  居住舒适,人盛巴厘天地,神岗镇,3室2厅 ,108.99, 东南 , 精装 ,17,2012, 塔楼,0, 2个月以前发布,1450000.0,"13,304元/平",VR看装修 房本满两年 
星汇峰刚需2房，中楼层，带装修,星汇峰,太平镇,2室1厅 ,73.53, 东 北 东北 , 精装 ,9,2011, 塔楼,21, 一年前发布,928000.0,"12,621元/平",VR看装修 房本满两年 
此房满二  南向  视野开阔  采光充足,大城云山,太平镇,2室2厅 ,61.39, 南 , 精装 ,9,2016, 塔楼,10, 11个月以前发布,1000000.0,"16,290元/平",近地铁 VR看装修 房本满两年 
此房源业主急，地铁口上盖，高速路口物业。,上城湾畔B区,江浦街,2室1厅 ,68.65, 北 , 其他 ,10,2009, 塔楼,2, 11个月以前发布,1500000.0,"21,850元/平",近地铁 VR看装修 房本满五年 
新光*德楼广场 下KTV电影院     可注册公司,新光百德广场,太平镇,1室0厅 ,44.79, 北 , 简装 ,16,2014, 塔楼,15, 一年前发布,340000.0,"7,591元/平",近地铁 房本满五年 
雅居乐小院流溪 3室2厅 北,雅居乐小院流溪,赤草,3室2厅 ,129.44, 北 , 毛坯 ,17,2013, 塔楼,3, 5个月以前发布,1220000.0,"9,426元/平",VR看装修 房本满两年 
过五税费低，楼层好，采光充足。,华标荔苑,太平镇,2室2厅 ,91.63, 南 , 精装 ,12,2013, 塔楼,18, 一年前发布,1220000.0,"13,315元/平",近地铁 VR看装修 房本满五年 
地铁口1房1厅大阳台，采光充足  即买即收租只可一次性,新光百德广场,太平镇,1室2厅 ,61.01, 南 , 精装 ,16,2014, 塔楼,41, 5个月以前发布,370000.0,"6,065元/平",近地铁 房本满五年 
人盛巴厘天地 3室2厅 南,人盛巴厘天地,神岗镇,3室2厅 ,101.38, 南 , 精装 ,18,2018, 塔楼,0, 1个月以前发布,1080000.0,"10,653元/平",VR看装修 房本满两年 
名城御景绿洲 3室2厅 南,名城御景绿洲,江浦街,3室2厅 ,140.88, 南 , 毛坯 ,27,2014, 塔楼,1, 7个月以前发布,1800000.0,"12,777元/平",近地铁 VR看装修 房本满两年 
精装两房 环境优美 外有大阳台  证过二,紫泉流溪湾,太平镇,2室2厅 ,82.62, 南 , 其他 ,17,2018, 板楼,2, 7个月以前发布,1095000.0,"13,254元/平",VR看装修 房本满两年 
视野开阔，采光好，户型方正，证过二税低，精装保养好,云星钱隆天誉,太平镇,3室2厅 ,96.84, 东南 , 精装 ,25,2017, 塔楼,21, 一年前发布,1370000.0,"14,148元/平",VR看装修 房本满两年 
紫泉翠荔家园  精装电梯两房 配套成熟 近地铁,紫泉翠荔嘉园,太平镇,2室2厅 ,72.06, 北 , 简装 ,18,2010, 塔楼,5, 7个月以前发布,960000.0,"13,323元/平",VR看装修 房本满两年 随时看房 
珠江壹城刚需三房，带主套精装修，家具齐全，拎包入住,珠江壹城,神岗镇,3室2厅 ,100.32, 东北 , 精装 ,28,2017, 板塔结合,3, 一年前发布,1250000.0,"12,461元/平",VR看装修 房本满两年 
环城路 3室2厅 南,环城路,旧城区,3室2厅 ,109.92, 南 , 简装 ,8,1996, 塔楼,8, 一年前发布,1000000.0,"9,098元/平",VR看装修 房本满五年 
怡富绿色家园 2室1厅 北,怡富绿色家园,新城片区,2室1厅 ,76.86, 北 , 精装 ,8,2005, 塔楼,3, 4个月以前发布,730000.0,"9,498元/平",VR看装修 房本满五年 
环境好，格局方正实用。。。。。。,利泰花林湖畔,鳌头镇,3室2厅 ,95.91, 南 , 毛坯 ,11,2012, 塔楼,0, 1个月以前发布,730000.0,"7,612元/平",VR看装修 房本满五年 
教育路中层精装二房，西南朝向视野开阔采光好,教育路(从化),旧城区,2室1厅 ,72.68, 西南 , 精装 ,5,1992, 板塔结合,10, 6个月以前发布,580000.0,"7,981元/平",VR看装修 房本满五年 
流溪河山庄 依靠在流溪河边 环境优美 空气清新,流溪河山庄,赤草,2室2厅 ,76.78, 南 , 简装 ,7,1993, 板楼,18, 一年前发布,620000.0,"8,076元/平",VR房源 房本满五年 
地铁口大三房，精装靓户型。通风采光好。,荔山雅筑,赤草,3室2厅 ,120.0, 东南 , 精装 ,26,2019, 塔楼,28, 6个月以前发布,1500000.0,"12,500元/平",VR看装修 房本满两年 
此小区位于广州后花园之都从化流溪河。,上城湾畔B区,江浦街,3室2厅 ,123.0, 北 , 简装 ,10,2009, 塔楼,8, 9个月以前发布,1800000.0,"14,635元/平",近地铁 VR看装修 房本满五年 
碧桂园御湖城 南向3房带主套 首付低 轻松做业主,君源御湖城,江浦街,3室2厅 ,104.41, 南 , 毛坯 ,16,2011, 塔楼,7, 4个月以前发布,800000.0,"7,663元/平",VR看装修 房本满五年 
楼层好，视野开阔阳光充足，配套设施齐全交通便利,珠光流溪御景,赤草,3室2厅 ,98.41, 北 , 毛坯 ,27,2012, 塔楼,0, 一年前发布,1050000.0,"10,670元/平",VR看装修 房本满五年 
新区毛坯独栋别墅，看流溪河，花园大！,富力泉天下,温泉镇,3室2厅 ,226.43, 西北 , 毛坯 ,3, 塔楼 , 独栋别墅 ,7, 4个月以前发布,2580000.0,"11,395元/平",VR房源 房本满五年 
城市印象中高层，光线充足环镜舒适优美,城市印象,河滨北路,3室2厅 ,123.68, 西 , 毛坯 ,16,2008, 塔楼,0, 2个月以前发布,1398000.0,"11,304元/平",VR房源 房本满五年 
巴厘天地精装修全屋定制家私背景墙，拎包入住生活便利,人盛巴厘天地,神岗镇,3室2厅 ,100.67, 东南 西北 , 精装 ,18,2018, 塔楼,2, 3个月以前发布,1090000.0,"10,828元/平",VR房源 房本满两年 
此房南向格局好 通透户型 阳台望小区绿化,紫泉翠荔嘉园,太平镇,3室1厅 ,102.0, 东南 , 精装 ,6,2007, 塔楼,21, 一年前发布,1080000.0,"10,589元/平",VR看装修 房本满五年 
交通便利，近地铁口，生活购物方便，小区环境优美,华标荔苑,太平镇,3室2厅 ,85.07, 南 , 精装 ,6,2013, 塔楼,9, 5个月以前发布,1010000.0,"11,873元/平",近地铁 VR看装修 房本满五年 
碧桂园御湖城 南向3房带主套 首付低 轻松做业主,君源御湖城,江浦街,3室2厅 ,104.41, 南 , 毛坯 ,16,2011, 塔楼,7, 4个月以前发布,800000.0,"7,663元/平",VR看装修 房本满五年 
山水城96方中层 精装修 不靠路位置安静,珠光御景山水城,江浦街,3室1厅 ,96.24, 东北 , 精装 ,32,2014, 塔楼,5, 8个月以前发布,1000000.0,"10,391元/平",VR看装修 房本满五年 
城市印象中高层，光线充足环镜舒适优美,城市印象,河滨北路,3室2厅 ,123.68, 西 , 毛坯 ,16,2008, 塔楼,0, 2个月以前发布,1398000.0,"11,304元/平",VR房源 房本满五年 
精装修 南北对流大三房 户型宽敞,云星钱隆天誉,太平镇,3室1厅 ,123.4, 南 , 精装 ,25,2017, 塔楼,0, 1个月以前发布,1790000.0,"14,506元/平",VR房源 房本满两年 
地铁口物业城市印象高层精装大三房,城市印象,河滨北路,3室2厅 ,133.62, 西北 , 精装 ,14,2012, 塔楼,2, 6个月以前发布,1680000.0,"12,573元/平",VR房源 房本满五年 
莱茵水岸 地铁洋房 學为靓 配套成熟,莱茵水岸,江浦街,3室2厅 ,107.45, 南 , 精装 ,24,2012, 塔楼,6, 3个月以前发布,1850000.0,"17,218元/平",近地铁 VR房源 房本满五年 
新境界豪庭高层南向精装三房，采光好视野开阔私密性高,新境界豪廷,河滨北路,3室2厅 ,151.0, 东南 , 精装 ,28,2003, 塔楼,12, 5个月以前发布,1450000.0,"9,603元/平",VR房源 房本满五年 
碧桂园荔山雅筑实用两房，赤草站地铁口精装电梯房,荔山雅筑,赤草,2室2厅 ,83.47, 东北 , 精装 ,26,2019, 塔楼,10, 3个月以前发布,860000.0,"10,304元/平",VR看装修 房本满两年 
此房业主诚意放盘，小区旁是温泉旅游区，适合度假养生,方圆明月山溪,温泉镇,2室2厅 ,84.5, 南 东南 , 精装 ,18,2014, 塔楼,1, 4个月以前发布,850000.0,"10,060元/平",VR房源 房本满两年 
华标荔苑 南向 太平地铁口 下地铁就是家门口 采光好,华标荔苑,太平镇,1室1厅 ,46.15, 南 , 其他 ,6,2013, 塔楼,0, 1个月以前发布,680000.0,"14,735元/平",近地铁 VR看装修 房本满两年 
彩虹苑 1室0厅 东北,彩虹苑,太平镇,1室0厅 ,35.49, 东北 , 其他 ,5,2002, 塔楼,0, 1个月以前发布,420000.0,"11,835元/平",VR看装修 房本满两年 
巴厘天地，望流溪河，交通方便，合适自居,人盛巴厘天地,神岗镇,3室2厅 ,132.73, 南 北 , 毛坯 ,17,2011, 塔楼,2, 一年前发布,1500000.0,"11,302元/平",VR看装修 随时看房 
此房业主急* *钱方面还可以商量 格局方正 景观好,智汇国际,太平镇,0室0厅 ,53.17, 东南 , 其他 ,25,2016, 塔楼,4, 一年前发布,620000.0,"11,661元/平",近地铁 房本满两年 随时看房 
业主急* *格还可以商量 精装修 保养好 没有出租过,智汇国际,太平镇,0室0厅 ,53.12, 东 , 其他 ,25,2016, 塔楼,0, 一年前发布,620000.0,"11,672元/平",近地铁 房本满两年 随时看房 
富力泉天下 2室1厅 东北,富力泉天下,温泉镇,2室1厅 ,81.45, 东北 , 其他 ,18,2014, 塔楼,5, 一年前发布,850000.0,"10,436元/平",VR看装修 房本满五年 随时看房 
户型方正，景色优美。空气良好。拎包入住。,紫泉流溪湾,太平镇,2室2厅 ,80.1, 南 , 其他 ,18,2016, 板楼,4, 一年前发布,1160000.0,"14,482元/平",VR看装修 房本满五年 随时看房 
此房业主诚意方盘，小区旁是温泉旅游区，适合度假养生,方圆明月山溪,温泉镇,1室1厅 ,59.6, 南 , 其他 ,18,2014, 塔楼,0, 3个月以前发布,680000.0,"11,410元/平",VR看装修 房本满五年 随时看房 
靓楼层 通风好，采光充足， 视野宽阔无遮。,紫泉翠荔嘉园,太平镇,2室2厅 ,67.46, 西南 , 其他 ,6,2007, 塔楼,0, 7个月以前发布,900000.0,"13,342元/平",VR看装修 房本满五年 
小区绿化好，交通便利，生活配套成熟,人盛巴厘天地,神岗镇,2室2厅 ,83.97, 西南 , 其他 ,17,2014, 塔楼,0, 一年前发布,850000.0,"10,123元/平",VR看装修 房本满五年 随时看房 
格局好:户型方正，使用，可随意摆放家电家具,银农楼,太平镇,2室1厅 ,61.46, 东南 , 简装 ,7,2002, 塔楼,10, 7个月以前发布,550000.0,"8,949元/平",近地铁 VR看装修 房本满五年 随时看房 
华标荔苑 精装修 养新净 视野宽阔 近地铁,华标荔苑,太平镇,2室1厅 ,72.93, 南 , 精装 ,6,2013, 塔楼,90, 一年前发布,870000.0,"11,930元/平",近地铁 VR看装修 房本满五年 随时看房 
新光百德广场 1室0厅 西,新光百德广场,太平镇,1室0厅 ,55.46, 西 , 精装 ,16,2014, 塔楼,41, 一年前发布,320000.0,"5,770元/平",近地铁 房本满五年 随时看房 
电梯房，小区格局好，户型方正，低楼层，地铁口,华标荔苑,太平镇,2室2厅 ,91.63, 西南 , 其他 ,12,2013, 塔楼,2, 6个月以前发布,1250000.0,"13,642元/平",近地铁 VR看装修 房本满两年 随时看房 
新光百德广场 1室0厅 东,新光百德广场,太平镇,1室0厅 ,56.65, 东 , 其他 ,16,2014, 塔楼,0, 1个月以前发布,338000.0,"5,967元/平",近地铁 房本满五年 随时看房 
正正地铁口，交通方便，配套齐全,华标荔苑,太平镇,1室1厅 ,46.88, 北 , 其他 ,6,2013, 塔楼,6, 7个月以前发布,630000.0,"13,439元/平",近地铁 VR看装修 房本满两年 随时看房 
小户型，户型通透，*钱美丽 。,人盛巴厘天地,神岗镇,2室2厅 ,82.74, 南 , 毛坯 ,17,2014, 塔楼,22, 一年前发布,720000.0,"8,702元/平",VR看装修 房本满五年 随时看房 
新光百德广场 1室1厅 南,新光百德广场,太平镇,1室1厅 ,44.4, 南 , 其他 ,16,2014, 塔楼,1, 1个月以前发布,268000.0,"6,037元/平",近地铁 房本满五年 随时看房 
此房格局好，高楼层，采光充足，视野开阔。,智汇国际,太平镇,1室0厅 ,47.74, 北 , 毛坯 ,25,2016, 塔楼,0, 6个月以前发布,400000.0,"8,379元/平",近地铁 房本满两年 随时看房 
智汇国际近地铁，jia格优惠，看上jia格可议,智汇国际,太平镇,1室1厅 ,48.17, 北 , 其他 ,25,2016, 塔楼,1, 6个月以前发布,400000.0,"8,304元/平",近地铁 房本满五年 随时看房 
荔山雅筑 2室2厅 北,荔山雅筑,赤草,2室2厅 ,83.47, 北 , 精装 ,26,2019, 塔楼,5, 6个月以前发布,970000.0,"11,621元/平",近地铁 VR看装修 房本满两年 随时看房 
云星钱隆天誉 3室2厅 南,云星钱隆天誉,太平镇,3室2厅 ,100.47, 南 , 精装 ,24,2017, 塔楼,0, 9个月以前发布,1480000.0,"14,731元/平",VR看装修 房本满两年 
户型通透，望流溪河，景色优美。空气好,紫泉流溪湾,太平镇,2室2厅 ,78.66, 西北 , 精装 ,18,2015, 板楼,11, 一年前发布,1080000.0,"13,730元/平",VR看装修 房本满五年 
此房源格局方正，环境好，安静舒适！,御景宏雅花园,江浦街,3室2厅 ,120.0, 东南 , 其他 ,17,2014, 塔楼,10, 一年前发布,1420000.0,"11,834元/平",VR看装修 房本满两年 
一个具有东方风情的大型高档生活社区,方圆明月山溪,温泉镇,1室1厅 ,39.3, 东南 , 其他 ,18,2014, 塔楼,0, 4个月以前发布,450000.0,"11,451元/平",VR看装修 房本满两年 
富力泉天下 2室1厅 西南,富力泉天下,温泉镇,2室1厅 ,84.1, 西南 , 其他 ,18,2014, 塔楼,0, 一年前发布,720000.0,"8,562元/平",VR看装修 房本满两年 
负离子值高 温泉小镇 格局方正实用,富力泉天下,温泉镇,2室2厅 ,81.44, 东北 , 其他 ,18,2014, 塔楼,2, 9个月以前发布,720000.0,"8,841元/平",VR看装修 房本满五年 
越秀逸泉映翠 高层 温馨两房 精装修 南向 带一个车位,逸泉映翠,江浦街,2室2厅 ,82.0, 南 , 精装 ,24,2015, 塔楼,0, 11个月以前发布,1090000.0,"13,293元/平",VR看装修 房本满五年 
智杰雅筑 3室2厅 北,智杰雅筑,河滨北路,3室2厅 ,105.75, 北 , 其他 ,10,2016, 板塔结合,0, 1个月以前发布,1480000.0,"13,996元/平",VR房源 房本满两年 
地铁口，适合养生居住，交通便利,云星夏日南湾,江浦街,3室2厅 ,129.84, 东北 , 精装 ,11,2014, 塔楼,4, 10个月以前发布,2000000.0,"15,404元/平",近地铁 VR看装修 房本满两年 
品质小区 安静舒适 东南望湖望山配家私家电,君源御湖城,江浦街,3室2厅 ,100.37, 东南 , 简装 ,16,2012, 塔楼,0, 8个月以前发布,1140000.0,"11,358元/平",VR看装修 房本满五年 
小区依山傍水、环境优雅，回家就是一种享受,君源御湖城,江浦街,2室2厅 ,81.73, 北 , 精装 ,16,2011, 塔楼,6, 7个月以前发布,780000.0,"9,544元/平",VR看装修 房本满五年 
新时代家园 3室2厅 东南,新时代家园,旧城区,3室2厅 ,110.89, 东南 , 毛坯 ,9,2012, 塔楼,10, 7个月以前发布,1150000.0,"10,371元/平",VR看装修 房本满五年 
珠江壹城望别墅区单位，无遮挡视野开阔，楼层好，南向,珠江壹城,神岗镇,3室2厅 ,118.37, 南 北 , 其他 ,27,2018, 板塔结合,13, 8个月以前发布,1540000.0,"13,011元/平",VR看装修 房本满两年 
业主诚意出手，等有缘人，高层视野好,君源御湖城,江浦街,3室2厅 ,100.06, 北 , 精装 ,16,2012, 塔楼,0, 6个月以前发布,980000.0,"9,795元/平",VR看装修 房本满五年 
此小区位于广州后花园之都从化流溪河。,欣荣宏国际商贸城,江浦街,3室1厅 ,126.21, 南 , 精装 ,18,2013, 塔楼,1, 6个月以前发布,2500000.0,"19,809元/平",近地铁 VR看装修 房本满五年 
御湖城 正南向大三房 大阳台望花园,君源御湖城,江浦街,3室2厅 ,103.17, 南 , 毛坯 ,16,2012, 塔楼,7, 一年前发布,920000.0,"8,918元/平",VR看装修 房本满五年 
御湖城使用量房，精装修拎包入户，业主诚意放卖,君源御湖城,江浦街,2室2厅 ,80.28, 东南 , 精装 ,16,2012, 塔楼,0, 1个月以前发布,800000.0,"9,966元/平",VR看装修 房本满五年 
爱尚流溪 3室1厅 北 东北,爱尚流溪,江浦街,3室1厅 ,87.64, 北 东北 , 其他 ,24,2014, 塔楼,0, 1个月以前发布,798000.0,"9,106元/平",VR看装修 房本满两年 
业主急出换大房，全屋精装新净。,珠光流溪御景,赤草,3室2厅 ,95.94, 北 , 精装 ,6,2010, 塔楼,3, 5个月以前发布,1050000.0,"10,945元/平",VR房源 房本满五年 
珠光流溪御景 3室2厅 西北,珠光流溪御景,赤草,3室2厅 ,97.75, 西北 , 毛坯 ,27,2012, 塔楼,0, 6个月以前发布,1080000.0,"11,049元/平",VR看装修 房本满五年 
视野开阔，采光好，户型方正，证过二税低，精装保养好,云星钱隆天誉,太平镇,3室2厅 ,96.84, 东南 , 精装 ,25,2017, 塔楼,21, 一年前发布,1370000.0,"14,148元/平",VR看装修 房本满两年 
急急急！！！精装自住  2梯4户,大城云山,太平镇,3室1厅 ,102.78, 东北 , 精装 ,15,2016, 塔楼,20, 8个月以前发布,1250000.0,"12,162元/平",近地铁 VR房源 房本满两年 
星汇峰   成熟商圈   实用两房,星汇峰,太平镇,2室2厅 ,73.53, 东北 , 精装 ,9,2010, 塔楼,28, 9个月以前发布,820000.0,"11,152元/平",VR看装修 房本满五年 
星汇峰 西南向 小面积 一房一厅改了两房,星汇峰,太平镇,2室1厅 ,47.83, 西南 , 精装 ,6,2010, 平房,14, 7个月以前发布,676000.0,"14,134元/平",VR看装修 房本满五年 
紫泉翠荔嘉园，低楼层，南北对流，采光好,紫泉翠荔嘉园,太平镇,3室2厅 ,78.0, 西南 , 简装 ,6,2007, 塔楼,6, 一年前发布,1050000.0,"13,462元/平",VR看装修 房本满五年 
精装两房 环境优美 外有大阳台  证过二,紫泉流溪湾,太平镇,2室2厅 ,82.62, 南 , 其他 ,17,2018, 板楼,2, 7个月以前发布,1095000.0,"13,254元/平",VR看装修 房本满两年 
优秀房源 带精装修 三房户型 自住唯一选择,人盛巴厘天地,神岗镇,3室2厅 ,101.81, 南 北 , 精装 ,10,2011, 塔楼,43, 一年前发布,1150000.0,"11,296元/平",VR看装修 房本满五年 
地铁口，格局方正，一楼带小花园，24小时安保。,雅居乐小院流溪,赤草,3室2厅 ,148.23, 南 , 毛坯 ,17,2013, 塔楼,4, 7个月以前发布,1500000.0,"10,120元/平",VR看装修 房本满五年 
大城云山 地铁14号线太平站，精装修拎包入住,大城云山,太平镇,3室2厅 ,111.63, 西南 , 精装 ,17,2016, 塔楼,0, 5个月以前发布,1400000.0,"12,542元/平",近地铁 VR看装修 房本满两年 
近地铁 商圈配套成熟 三房两厅,回归路小区,太平镇,3室1厅 ,108.61, 南 , 简装 ,5,2003, 塔楼,0, 7个月以前发布,900000.0,"8,287元/平",VR看装修 房本满五年 
优质房源卖点详情讲解以及介绍.,利泰花林湖畔,鳌头镇,2室2厅 ,79.29, 南 , 其他 ,11,2012, 塔楼,0, 一年前发布,780000.0,"9,838元/平",VR看装修 房本满五年 
巴厘天地洋房 南北对流 楼层靓,人盛巴厘天地,神岗镇,3室2厅 ,98.1, 南 , 其他 ,18,2018, 塔楼,5, 一年前发布,1080000.0,"11,010元/平",VR看装修 房本满两年 
紫泉翠荔嘉园，毛坯四房  南北对流 采光好,紫泉翠荔嘉园,太平镇,4室2厅 ,124.96, 西南 , 毛坯 ,6,2007, 板楼,7, 一年前发布,1500000.0,"12,004元/平",VR看装修 房本满五年 
离地铁近，家私家电齐全，拎包入住,荔林春晓,太平镇,3室2厅 ,92.48, 东北 , 精装 ,18,2016, 塔楼,8, 一年前发布,1360000.0,"14,706元/平",近地铁 VR看装修 房本满两年 
太平14号线太平站 紫泉翠荔嘉园 电梯精装两房,紫泉翠荔嘉园,太平镇,2室2厅 ,72.6, 东北 , 精装 ,18,2010, 塔楼,24, 一年前发布,900000.0,"12,397元/平",VR看装修 房本满五年 
靓楼层 通风好，小二房，采光充足， 视野宽阔无遮,紫泉翠荔嘉园,太平镇,2室1厅 ,67.46, 西南 , 简装 ,6,2007, 塔楼,13, 10个月以前发布,870000.0,"12,897元/平",VR看装修 房本满五年 
此房源是地铁口物业，适合居住，高速口。,上城湾畔B区,江浦街,2室2厅 ,96.37, 北 , 其他 ,10,2009, 塔楼,9, 一年前发布,1530000.0,"15,877元/平",近地铁 VR房源 房本满两年 
雅居乐滨江花园 2室1厅 西南,雅居乐滨江花园,江浦街,2室1厅 ,80.32, 西南 , 其他 ,11,2007, 塔楼,1, 2个月以前发布,1460000.0,"18,178元/平",近地铁 VR看装修 房本满两年 
南北对流，房间通透，采光充足，楼层好，视野很开,紫泉翠荔嘉园,太平镇,3室2厅 ,89.77, 南 , 精装 ,6,2007, 塔楼,2, 一年前发布,1200000.0,"13,368元/平",VR看装修 房本满五年 
云星钱隆天誉 3室2厅 南,云星钱隆天誉,太平镇,3室2厅 ,91.06, 南 , 其他 ,25,2016, 塔楼,0, 4个月以前发布,1320000.0,"14,496元/平",VR看装修 房本满两年 
此房证过两年，南向户型，商圈配套便利.,欣荣宏国际商贸城,江浦街,3室2厅 ,99.58, 南 , 其他 ,18,2013, 塔楼,28, 一年前发布,1688000.0,"16,952元/平",近地铁 房本满两年 
自带幼儿园，山顶公园，儿童游乐场，游泳池,景业荔都,江浦街,2室2厅 ,87.02, 西北 , 精装 ,26,2017, 塔楼,1, 10个月以前发布,700000.0,"8,045元/平",VR房源 房本满两年 
御湖城实用两房，小面积，方正实用望花园,君源御湖城,江浦街,2室2厅 ,80.96, 南 , 毛坯 ,16,2012, 塔楼,0, 8个月以前发布,770000.0,"9,511元/平",VR看装修 房本满两年 
楼层好，视野辽阔，通风好，无遮挡，想看房的随时约！,紫泉流溪湾,太平镇,3室1厅 ,88.67, 南 北 , 其他 ,17,2016, 板楼,12, 3个月以前发布,920000.0,"10,376元/平",VR看装修 房本满两年 
地铁口物业 格局方正户型， 生活 便利。,上城湾畔东区,江浦街,3室2厅 ,115.34, 北 , 其他 ,15,2008, 塔楼,1, 2个月以前发布,2100000.0,"18,208元/平",近地铁 VR看装修 房本满五年 
珠江壹城 三房 采光好 中楼层,珠江壹城,神岗镇,3室2厅 ,88.44, 东北 , 其他 ,27,2018, 板塔结合,1, 2个月以前发布,1200000.0,"13,569元/平",近地铁 VR看装修 房本满两年 
业主诚心卖 精装修  值得推荐,人盛巴厘天地,神岗镇,3室2厅 ,111.32, 南 , 其他 ,17,2012, 塔楼,5, 5个月以前发布,1100000.0,"9,882元/平",VR看装修 房本满五年 
全屋装修如新 南北对流 通风采光好,方圆明月山溪,温泉镇,2室1厅 ,84.5, 南 , 其他 ,18,2014, 塔楼,2, 9个月以前发布,800000.0,"9,468元/平",VR房源 房本满两年 
大城云山 精装修 阳台望小区绿化 楼间距宽,大城云山,太平镇,3室2厅 ,117.56, 东北 , 其他 ,17,2016, 塔楼,0, 2个月以前发布,1500000.0,"12,760元/平",近地铁 VR看装修 房本满两年 
业主诚心放卖 收楼仅仅两年 高层望花园,珠江壹城,神岗镇,3室2厅 ,100.26, 东北 , 其他 ,28,2018, 板塔结合,0, 7个月以前发布,1398000.0,"13,944元/平",近地铁 VR看装修 房本满两年 
此房格局方正采光好，小区安保严环境安静舒适交通方便,上城湾畔东区,江浦街,3室2厅 ,95.51, 东南 南 , 其他 ,15,2008, 塔楼,1, 9个月以前发布,1830000.0,"19,161元/平",近地铁 VR看装修 房本满五年 
紫泉翠荔嘉园  精装修电梯房 拎包入住 保养新净,紫泉翠荔嘉园,太平镇,3室1厅 ,90.99, 西南 , 其他 ,18,2010, 塔楼,9, 一年前发布,1300000.0,"14,288元/平",VR看装修 房本满五年 
四面环山 空气清新 青山绿水 负离子是广州的4倍,景业荔都,江浦街,2室2厅 ,82.33, 北 , 其他 ,14,2017, 塔楼,0, 1个月以前发布,700000.0,"8,503元/平",VR房源 房本满两年 
珠江壹城 精装三房 用心装修保养,珠江壹城,神岗镇,3室2厅 ,100.26, 东北 , 简装 ,28,2018, 板塔结合,3, 5个月以前发布,1400000.0,"13,964元/平",近地铁 VR看装修 房本满两年 
此房源地铁口上盖，交通方便，环境好,海洋广场,江浦街,2室1厅 ,75.0, 西北 , 其他 ,13,2011, 塔楼,8, 4个月以前发布,700000.0,"9,334元/平",近地铁 VR房源 房本满两年 
此小区位于广州后花园之都从化流溪河。,上城湾畔B区,江浦街,3室2厅 ,116.0, 北 , 其他 ,10,2009, 塔楼,2, 2个月以前发布,2150000.0,"18,535元/平",近地铁 VR看装修 房本满五年 
珠江配套大盘1字头地铁物业带精装修,珠江壹城,神岗镇,3室2厅 ,116.75, 西南 , 精装 ,27,2017, 板塔结合,13, 一年前发布,1590000.0,"13,619元/平",近地铁 VR看装修 房本满两年 
