合一国际 南向 三房有主套 漂亮装修  中空大厅,合一国际,同和,3室1厅 ,69.16, 南 , 精装 ,18,2006, 塔楼,44, 9个月以前发布,3380000,"48,873元/平",近地铁 VR房源 房本满两年 随时看房 
精装修，业主自己住保养好，视野好采光通风不错,山水庭苑,南湖,5室2厅 ,273.55, 东南 , 精装 ,7,2007, 板楼,42, 一年前发布,13000000,"47,524元/平",VR房源 房本满五年 
一品湖山好房，房子保养好 看房方便,一品湖山,南湖,5室2厅 ,141.58, 南 北 , 精装 ,12,2011, 板楼,145, 9个月以前发布,4350000,"30,725元/平",VR看装修 房本满五年 
体育花园靓楼层，单边位三个阳台，视野开阔无遮挡,体育花园,白云大道南,3室2厅 ,126, 西北 , 其他 ,7,2001, 塔楼,7, 一年前发布,9800000,"77,778元/平",近地铁 VR房源 房本满五年 
松涛北苑 环境清幽 户型方正 电梯房 户型好,松涛北苑,永泰,4室2厅 ,126.78, 东南 , 精装 ,9,1999, 塔楼,30, 一年前发布,3100000,"24,452元/平",近地铁 VR看装修 房本满五年 
南湖半岛花园中低层 望小区园林 大三房 保养好 有钥匙,雅居乐南湖半岛花园,南湖,4室2厅 ,144.73, 北 东北 , 简装 ,18,2003, 塔楼,3, 一年前发布,5460000,"37,726元/平",VR看装修 房本满五年 
电梯高层三房  总*低 视野开阔 通风好,金湖雅苑,沙太北,3室2厅 ,98.51, 南 , 其他 ,19,2000, 塔楼,16, 一年前发布,2600000,"26,394元/平",VR看装修 房本满两年 
实用高 南北通透 不靠马路 不西晒 宜居的好楼层山景房,南湖半山东苑,南湖,3室2厅 ,99.5, 南 北 , 精装 ,18,2005, 塔楼,12, 一年前发布,3200000,"32,161元/平",VR房源 房本满五年 
保利云禧东南边位五房，景观好舒适宜居,保利云禧西区,白云大道南,5室3厅 ,336.96, 东南 , 精装 ,21,2015, 板楼,9, 6个月以前发布,30000000,"89,032元/平",近地铁 VR房源 房本满两年 
君华香柏广场，中高层东南望花园4房，满五年唯一！,君华香柏广场,京溪,4室2厅 ,160.12, 东南 , 精装 ,30,2010, 塔楼,1, 5个月以前发布,9900000,"61,829元/平",近地铁 VR看装修 房本满五年 
东湖映月 精装三房 看花园 南北对流,东湖映月,龙归,3室2厅 ,95.27, 东南 , 精装 ,33,2013, 塔楼,20, 一年前发布,3010000,"31,595元/平",近地铁 VR房源 房本满五年 
天河御品少有的带露台 南向 采光足,天河御品,京溪,3室2厅 ,110.54, 西北 , 精装 ,23,2010, 塔楼,14, 一年前发布,5550000,"50,209元/平",近地铁 VR房源 房本满五年 
尚城四房 安静不吵 居住感强 户型方正,白云尚城,江夏,4室2厅 ,161, 南 , 简装 ,17,2004, 塔楼,21, 一年前发布,8000000,"49,690元/平",近地铁 VR房源 房本满五年 
玫瑰园 大四房 南向 望花园 中高层,时代玫瑰园,黄边,4室2厅 ,130, 南 , 其他 ,13,2004, 塔楼,153, 一年前发布,4760000,"36,616元/平",近地铁 VR房源 房本满两年 
三期中高层，精致装修，东向望整个花园，景观很好。,云山诗意,黄边,4室2厅 ,200.22, 东 , 精装 ,15,2009, 塔楼,11, 一年前发布,8300000,"41,455元/平",近地铁 VR看装修 房本满五年 
花园小区大复式 带很大天台花园,云天翠庭,机场路,5室2厅 ,156, 东南 , 精装 ,11,2004, 塔楼,5, 4个月以前发布,5760000,"36,924元/平",VR房源 房本满五年 
万科蓝山 小区环境优美 东南向单边为 采光好,万科蓝山,南湖,3室2厅 ,124.7, 东南 , 精装 ,18,2007, 塔楼,5, 6个月以前发布,4360000,"34,964元/平",VR看装修 房本满五年 
保养新净 保利物管，有20平方的平台,保利西海岸星海花园,金沙洲,4室2厅 ,149.09, 东南 , 精装 ,18,2010, 板楼,33, 一年前发布,6300000,"42,257元/平",VR看装修 房本满两年 
此房满五年唯一物业，产权清晰，看房方便,白云高尔夫花园东区,黄石,5室2厅 ,139.26, 南 , 精装 ,11,2002, 塔楼,31, 一年前发布,5270000,"37,843元/平",VR房源 房本满五年 
春兰花园电梯三房 户型方正实用 满五年免增值税,广信春兰花园,京溪,3室2厅 ,105.87, 东北 , 精装 ,9,1995, 塔楼,18, 6个月以前发布,3800000,"35,894元/平",近地铁 VR房源 房本满五年 
高层精装大三房 景观广阔 光线好 户型方正,东湖映月,龙归,3室2厅 ,124.67, 南 , 精装 ,33,2012, 塔楼,24, 一年前发布,4000000,"32,085元/平",近地铁 VR看装修 房本满五年 
万科蓝山 3室2厅 南,万科蓝山,南湖,3室2厅 ,148, 南 , 简装 ,18,2007, 塔楼,2, 一年前发布,4500000,"30,406元/平",VR看装修 房本满五年 
采光通风好，装修保养不错 户型方正,荔苑公寓,南湖,3室2厅 ,112, 东 , 精装 ,8,2000, 塔楼,5, 一年前发布,2200000,"19,643元/平",VR看装修 房本满五年 
此房装修保养好，格局方正宽敞、,万科蓝山,南湖,4室2厅 ,138, 南 , 精装 ,18,2007, 塔楼,5, 一年前发布,5480000,"39,711元/平",VR看装修 房本满五年 
白云山下广外旁保利白云山庄 新装修复式四房即买即住,保利白云山庄,元下田,4室1厅 ,165.51, 南 , 精装 ,5,2001, 板楼,18, 一年前发布,7450000,"45,013元/平",VR房源 房本满五年 
摩坊精装大三房，业主置换诚心卖,白云畔山花园圣地摩坊,梅花园,3室2厅 ,110, 南 北 , 精装 ,5,2003, 塔楼,11, 6个月以前发布,4800000,"43,637元/平",近地铁 VR看装修 房本满五年 
春晖闲庭依山空气清新望花园亲密接触清晰可见鸟语花香,春晖闲庭,南湖,4室2厅 ,149.54, 南 , 精装 ,12,2004, 塔楼,26, 一年前发布,4580000,"30,628元/平",近地铁 VR房源 房本满五年 
岭南新世界位置安静4房 格局方正 厅大房大,岭南新世界,嘉禾望岗,4室2厅 ,157.57, 西南 , 简装 ,18,2008, 塔楼,24, 9个月以前发布,8800000,"55,849元/平",近地铁 VR看装修 房本满五年 
西北向五房    保养好 安静舒适   带车位,富力城北区,夏茅,5室2厅 ,174.51, 西北 , 精装 ,17,2010, 塔楼,3, 一年前发布,5550000,"31,804元/平",VR看装修 房本满两年 
此房满五年，高楼层，视野开阔，带入户花园,岭南新世界,嘉禾望岗,4室2厅 ,155.68, 西南 , 精装 ,18,2008, 塔楼,11, 7个月以前发布,8980000,"57,683元/平",VR看装修 房本满五年 
岭南新世界 4室2厅 南,岭南新世界,嘉禾望岗,4室2厅 ,109.41, 南 , 简装 ,11,2003, 塔楼,20, 一年前发布,7350000,"67,179元/平",近地铁 VR房源 房本满五年 
赞 盈翠华庭 复式三房 精装 两层半面积使用 坐南向北,盈翠华庭,景泰,3室2厅 ,62.9, 东北 , 其他 ,7,2001, 塔楼,13, 4个月以前发布,3300000,"52,465元/平",VR房源 房本满五年 
流溪半岛 业主可租可卖 方正四房 四面望湖 南北对流,流溪半岛,人和,4室2厅 ,130.13, 南 , 简装 ,14,2015, 塔楼,19, 一年前发布,3500000,"26,897元/平",VR房源 房本满五年 
独栋大别墅  单边位 四层  13房 正对白云山景,松园山庄,南湖,13室3厅 ,382.78, 东南 西北 , 精装 ,1,1997, 暂无数据,115, 4个月以前发布,15000000,"39,188元/平",近地铁 VR房源 房本满五年 
春兰花园，标志性地铁口小区，大三房,广信春兰花园,京溪,3室1厅 ,102.24, 北 , 其他 ,9,1995, 塔楼,92, 一年前发布,3300000,"32,277元/平",VR房源 房本满五年 
白云高尔夫花园复式大宅，很适合一大家人住。,白云高尔夫花园西区,黄石,4室2厅 ,266.91, 北 , 精装 ,11,1999, 塔楼,23, 一年前发布,7500000,"28,100元/平",VR房源 房本满五年 
广州富力城，西南向大三房，安静，保养好,富力城南区,夏茅,3室2厅 ,118.09, 西南 , 精装 ,18,2005, 塔楼,0, 4个月以前发布,4500000,"38,107元/平",VR看装修 房本满五年 
复式3层 位置安静 阳光入户 宜居户型,白云高尔夫花园东区,黄石,3室1厅 ,161.92, 北 , 精装 ,11,2002, 塔楼,4, 一年前发布,7260000,"44,837元/平",VR房源 房本满五年 
雅居乐南湖半岛花园山景四室 方正通透 前后花园美景,雅居乐南湖半岛花园,南湖,4室2厅 ,190, 东 西 , 精装 ,18,2003, 塔楼,10, 一年前发布,8290000,"43,632元/平",VR看装修 房本满五年 
时代玫瑰园  顶楼复式，附带私家平台，望花园,时代玫瑰园,黄边,6室2厅 ,210, 北 , 精装 ,18,2008, 塔楼,12, 5个月以前发布,11500000,"54,762元/平",VR房源 房本满五年 
都市品格，高楼层远望白云山，满五唯一免重税,都市品格,夏茅,4室2厅 ,143, 南 , 精装 ,24,2013, 塔楼,9, 一年前发布,5200000,"36,364元/平",VR看装修 房本满五年 
依云小镇，满五唯一 装修保养好,依云小镇,永泰,5室2厅 ,271.68, 东 , 其他 ,1,2009, 塔楼,15, 一年前发布,14100000,"51,900元/平",近地铁 VR房源 房本满五年 
满五唯一实用三房，南向望花园...,云山诗意,黄边,3室1厅 ,111.44, 南 , 精装 ,18,2008, 塔楼,17, 一年前发布,5350000,"48,008元/平",近地铁 VR看装修 房本满五年 
颐和山庄 两套打通， 高层两房，共264.1平，本套82.3,颐和山庄,南湖,2室1厅 ,82.3, 西北 , 简装 ,21,1999, 塔楼,65, 10个月以前发布,2600000,"31,592元/平",VR房源 房本满五年 
恒骏电梯房 顶层*实用复式 精装修,恒骏花园,京溪,4室2厅 ,120.57, 西北 , 精装 ,10,2002, 塔楼,116, 一年前发布,6500000,"53,911元/平",近地铁 VR房源 房本满五年 
南湖半岛花园 精装修南北通透 双阳台 景观漂亮,雅居乐南湖半岛花园,南湖,5室2厅 ,216.87, 南 北 , 精装 ,18,2006, 板楼,23, 一年前发布,10500000,"48,417元/平",VR房源 房本满两年 
富力桃园精装大4房，双阳台，自带双主套和大平台。,富力桃园,罗冲围,4室2厅 ,157.99, 西北 , 精装 ,30,2005, 塔楼,5, 5个月以前发布,5970000,"37,788元/平",VR房源 房本满五年 
户型方正，看房方便，采光好，楼层中楼层,汇侨新城南区,新市,4室2厅 ,122, 西南 , 精装 ,18,2003, 塔楼,17, 一年前发布,3980000,"32,623元/平",VR房源 房本满两年 
春晖闲庭 方正四房,春晖闲庭,南湖,4室2厅 ,152.26, 南 , 精装 ,12,2004, 塔楼,44, 一年前发布,5000000,"32,839元/平",近地铁 VR房源 房本满五年 
南湖半岛正规四房带一个保姆房，使用率*高,雅居乐南湖半岛花园,南湖,4室2厅 ,191.24, 东 西 , 简装 ,18,2003, 塔楼,21, 一年前发布,7300000,"38,172元/平",VR看装修 房本满五年 
金湖雅苑 户型方正 南向 带露台,金湖雅苑,沙太北,3室2厅 ,95.84, 南 , 简装 ,9,1999, 塔楼,24, 一年前发布,2700000,"28,172元/平",VR房源 房本满五年 
山水庭苑 顶楼复式看南湖 精装修 视野开阔 采光充足,山水庭苑,南湖,5室4厅 ,426.2, 南 北 , 精装 ,7,2007, 板楼,30, 一年前发布,30000000,"70,390元/平",VR房源 房本满五年 
南湖半山东苑，正三房，业主诚心出*,南湖半山东苑,南湖,3室2厅 ,97, 东南 , 精装 ,18,2005, 塔楼,46, 一年前发布,2700000,"27,836元/平",VR房源 房本满两年 
汇侨新城南区  高楼层电梯房  光线好,汇侨新城南区,新市,3室2厅 ,137.85, 西北 , 简装 ,17,2000, 塔楼,8, 一年前发布,3750000,"27,204元/平",VR看装修 房本满五年 
电梯高层四房三卫，东向望花园，业主装修保养好,白云高尔夫花园东区,黄石,4室2厅 ,158.88, 东 , 其他 ,14,2002, 塔楼,8, 一年前发布,6700000,"42,171元/平",VR房源 房本满两年 
南湖半山豪庭  南北通透 视野开阔4+2 多两个房间,南湖半山豪庭,南湖,4室2厅 ,178.42, 南 北 , 精装 ,16,2005, 塔楼,4, 6个月以前发布,10200000,"57,169元/平",VR房源 房本满五年 
南北对流 ，采光通风好 ，视野开阔,白云骏景家园,黄石,4室2厅 ,145.76, 南 , 其他 ,12,2003, 塔楼,32, 一年前发布,5700000,"39,106元/平",VR房源 房本满五年 
万科蓝山复式，情景洋房低密度住宅。,万科蓝山,南湖,5室2厅 ,189.94, 南 北 , 精装 ,3,2007, 板楼,101, 一年前发布,6000000,"31,589元/平",VR房源 房本满五年 
安华汇 云熙雅苑 带200方大花园  陈田公园里白云山下,云熙雅苑,元下田,5室2厅 ,217.03, 东南 , 精装 ,5,2011, 板楼,66, 一年前发布,17600000,"81,095元/平",VR房源 房本满五年 
笋笋笋！南湖半山东苑三房两卫过五唯一,南湖半山东苑,南湖,3室1厅 ,105.19, 南 , 简装 ,28,2005, 塔楼,38, 10个月以前发布,2650000,"25,193元/平",VR房源 房本满五年 
阳光美居顶层复式 满五唯一 附两个私家天台花园,富力阳光美居,马务,4室3厅 ,158, 南 , 精装 ,6,2001, 塔楼,8, 5个月以前发布,4900000,"31,013元/平",VR房源 房本满五年 
新天半山别墅 值得一看的优质别墅 实用近800方,新天半山墅,南湖,5室2厅 ,398.57, 南 北 , 毛坯 ,3,2016, 塔楼,14, 7个月以前发布,24000000,"60,216元/平",VR房源 房本满两年 
富力桃园稀有户型 四房两厅三卫双阳台 带两主套,富力桃园,罗冲围,4室2厅 ,157.99, 南 北 , 精装 ,30,2004, 塔楼,3, 6个月以前发布,6580000,"41,649元/平",VR房源 房本满五年 
元邦航空复式二屋，带平台花园，安静实用5房,元邦航空家园,马务,5室1厅 ,175, 北 东北 , 其他 ,15,2004, 塔楼,6, 7个月以前发布,5980000,"34,172元/平",VR房源 房本满两年 
此房是商用性质用地40年，适合民住民用水电！有燃气,穗和名庭,人和,3室2厅 ,122.04, 北 东北 , 精装 ,15,2011, 塔楼,222, 一年前发布,1400000,"11,472元/平",近地铁 房本满五年 
黄石花园 3室2厅 东 东南 南 西南 北,黄石花园,黄石,3室2厅 ,100.1, 东 东南 南 西南 北 , 简装 ,8,1997, 塔楼,141, 一年前发布,2180000,"21,779元/平",VR看装修 房本满五年 
云熙雅苑 白云山下 陈田旁 只算一层面积 实用率*高,云熙雅苑,元下田,6室3厅 ,209.77, 东南 , 其他 ,5,2011, 板楼,14, 一年前发布,25000000,"119,179元/平",VR房源 房本满五年 
元邦航空家园 复式两层 户型方正,元邦航空家园,马务,3室2厅 ,86.22, 东南 , 简装 ,15,2004, 塔楼,34, 一年前发布,4650000,"53,932元/平",VR房源 房本满五年 
南向 户型方正 正规三房 业主诚心出*,一品湖山,南湖,3室1厅 ,86.98, 南 , 精装 ,7,2011, 板楼,121, 一年前发布,3550000,"40,814元/平",VR看装修 房本满五年 
百荣园大复式  带私家天台花园  宽敞豪气住家舒适,百荣园,机场路,5室1厅 ,172.74, 北 , 简装 ,7,2000, 塔楼,11, 一年前发布,5190000,"30,046元/平",VR房源 房本满五年 
依云小镇，满五唯一 装修保养好,依云小镇,永泰,5室2厅 ,271.68, 东 , 其他 ,1,2009, 塔楼,15, 一年前发布,14100000,"51,900元/平",近地铁 VR房源 房本满五年 
耀华国际，近地铁，使用率高，随时约看,耀华国际,三元里,5室1厅 ,83.18, 东北 , 精装 ,20,2005, 塔楼,26, 一年前发布,3500000,"42,078元/平",VR房源 房本满五年 
集贤苑 3室1厅 东北,集贤苑,永泰,3室1厅 ,114.12, 东北 , 其他 ,11,1999, 塔楼,1, 2个月以前发布,4700000,"41,185元/平",VR房源 房本满五年 
南北对流，高楼层，南向看花园，园区中间,春晖闲庭,南湖,4室2厅 ,150, 南 , 简装 ,12,2004, 塔楼,19, 一年前发布,5250000,"35,000元/平",近地铁 VR房源 房本满五年 
松涛北苑 一楼* 配套齐全,松涛北苑,永泰,5室2厅 ,251.86, 东 , 简装 ,9,1998, 塔楼,24, 一年前发布,7530000,"29,898元/平",近地铁 VR房源 房本满五年 
半山豪庭， 四房两厅，南北对流，中低楼层洋房。,南湖半山豪庭,南湖,4室2厅 ,190.33, 南 北 , 精装 ,23,2005, 塔楼,52, 一年前发布,7380000,"38,775元/平",VR房源 房本满五年 
翠逸家园 近地铁 小区环境舒适宜人,翠逸家园,机场路,3室2厅 ,123.98, 西南 , 精装 ,17,2000, 塔楼,7, 一年前发布,4590000,"37,023元/平",近地铁 VR房源 房本满五年 
梦想欧式装修 宽敞套间 带约200方大露台 免缴增值税,云山熹景,梅花园,4室2厅 ,133.1, 东南 南 , 其他 ,11,2008, 板塔结合,14, 3个月以前发布,12000000,"90,158元/平",近地铁 VR房源 房本满五年 
白云新城高品质小区，中高楼层，高档装修。,颐和上院一期,白云大道南,5室2厅 ,258, 东南 南 , 精装 ,21,2006, 塔楼,5, 4个月以前发布,23500000,"91,086元/平",近地铁 VR房源 房本满五年 
颐和山庄 复式大三房  前后带四个大阳台,颐和山庄,南湖,4室2厅 ,164.32, 西南 , 精装 ,6,2004, 塔楼,96, 一年前发布,7200000,"43,817元/平",VR房源 房本满五年 
金碧新城两套打通四房两厅少见户型,金碧新城,石井,4室2厅 ,134.36, 南 , 简装 ,32,2006, 塔楼,4, 11个月以前发布,4700000,"34,981元/平",近地铁 VR房源 房本满两年 
少有放出的单边位大平层复式 东南向 朝山安静 3个露台,利海绿洲花园,东平,5室2厅 ,296.05, 南 , 精装 ,12,2009, 塔楼,138, 4个月以前发布,12000000,"40,534元/平",VR房源 房本满五年 
乐得花园真两层复式，正南向，视野开阔,乐得花园,黄边,4室2厅 ,153.33, 南 , 精装 ,15,2000, 塔楼,1, 一年前发布,5900000,"38,480元/平",VR房源 房本满五年 
万科蓝山 情景洋房，户型方正，位置安静，少有放盘,万科蓝山,南湖,6室2厅 ,204.42, 南 , 精装 ,4,2007, 板楼,30, 一年前发布,9300000,"45,495元/平",VR房源 房本满五年 
南向高层四房，视野采光好，全明格局无遮挡,白云高尔夫花园东区,黄石,4室2厅 ,159.1, 南 , 精装 ,14,2002, 塔楼,6, 11个月以前发布,7380000,"46,386元/平",VR房源 房本满五年 
金湖雅苑 大三房 业主自住 看房方便 业主诚心出*,金湖雅苑,沙太北,3室2厅 ,132.61, 东北 , 精装 ,19,1999, 塔楼,21, 一年前发布,3200000,"24,131元/平",VR看装修 房本满五年 
精装5房  装修保养好 采光充足,金湖花园,沙太北,5室3厅 ,271.12, 东南 西 , 精装 ,5,2010, 板楼,8, 一年前发布,18000000,"66,392元/平",VR房源 房本满五年 
实用大面积三房 通风好采光好 装修保养好,利海绿洲花园,东平,3室2厅 ,149.64, 东南 , 简装 ,12,2009, 塔楼,40, 一年前发布,4320000,"28,870元/平",VR看装修 房本满两年 
业主急*  高使用率四房 通风采光好,利海绿洲花园,东平,4室2厅 ,145.63, 东 西 , 简装 ,4,2009, 塔楼,34, 一年前发布,4600000,"31,587元/平",VR房源 房本满五年 
此房业主诚心卖 中楼层 采光好户型方正,白云山制药厂前山宿舍,同和,3室2厅 ,118.68, 东 , 其他 ,5,1995, 板楼,39, 一年前发布,2950000,"24,857元/平",近地铁 VR看装修 房本满五年 
高楼层，采光好，阳台望南湖，视线好,山水庭苑,南湖,3室2厅 ,240.95, 南 北 , 精装 ,17,2007, 塔楼,9, 一年前发布,13000000,"53,954元/平",VR房源 房本满五年 
景泰新村低楼层 大三房 南北东向，单边位,景泰新村,景泰,3室2厅 ,113.11, 南 , 其他 ,8,1995, 塔楼,4, 8个月以前发布,3160000,"27,938元/平",VR看装修 房本满五年 
高楼层南向大三房  视野开阔无遮挡,白云高尔夫花园荷塘月色,黄石,4室2厅 ,149.17, 南 北 , 精装 ,24,2004, 塔楼,10, 10个月以前发布,8642000,"57,934元/平",VR看装修 房本满两年 
南湖半山东苑正三房，户型方正业主诚心出*，带大露台,南湖半山东苑,南湖,3室2厅 ,103.71, 东北 东 , 其他 ,28,2005, 塔楼,19, 一年前发布,3480000,"33,556元/平",VR房源 房本满五年 
远景路电梯中高层4房一手业主满五年唯一无抵押无户口,银苑大厦(白云),机场路,4室2厅 ,119, 西南 西 , 精装 ,13,1998, 塔楼,17, 一年前发布,2780000,"23,362元/平",VR看装修 房本满五年 
精装修联排别墅，位置好，带前后花园,金湖翡翠山,沙太北,6室2厅 ,223.57, 南 北 , 精装 ,4,2014, 板塔结合,22, 8个月以前发布,18700000,"83,643元/平",VR房源 房本满五年 
花季小区 4室2厅 东南,花季小区,桂花岗,4室2厅 ,148.01, 东南 , 精装 ,14,2000, 塔楼,3, 3个月以前发布,5970000,"40,336元/平",近地铁 VR看装修 房本满五年 
富力城 南区 大4房全景望湖 带大阳台,富力城南区,夏茅,4室2厅 ,156.81, 东南 , 精装 ,18,2009, 塔楼,0, 3个月以前发布,6230000,"39,730元/平",VR看装修 房本满五年 
一品湖山 高层复式洋房   带2楼60平大阳台,一品湖山,南湖,6室2厅 ,165, 南 北 , 其他 ,11,2011, 塔楼,114, 一年前发布,7380000,"44,728元/平",VR房源 房本满五年 
祥港花园，户型方正，采光棒，近地铁,祥港花园,桂花岗,4室2厅 ,131.41, 南 北 , 简装 ,8,1994, 塔楼,5, 一年前发布,4480000,"34,092元/平",VR房源 房本满五年 
云山诗意  方正四房 装修保养好 近地铁,云山诗意,黄边,4室2厅 ,140, 北 , 精装 ,18,2008, 塔楼,18, 一年前发布,5880000,"42,000元/平",近地铁 VR看装修 房本满五年 
流溪半岛  格局方正 带70平方平台 装修保养好,流溪半岛,人和,3室2厅 ,156.98, 东南 , 精装 ,14,2015, 塔楼,13, 一年前发布,3900000,"24,844元/平",VR房源 房本满五年 
满五 复式 采光通风好 交通便利,耀华国际,三元里,4室1厅 ,77.06, 西 , 精装 ,20,2005, 塔楼,16, 一年前发布,3380000,"43,862元/平",VR房源 房本满五年 
乐得花园  通风采光好，位置安静，户型方正，有电梯,乐得花园,黄边,5室2厅 ,217.69, 东南 南 , 精装 ,14,2000, 塔楼,2, 一年前发布,6800000,"31,238元/平",VR房源 房本满五年 
云山诗意，东南高层物业，通风采光好,云山诗意,黄边,4室2厅 ,142.5, 东南 , 精装 ,18,2008, 塔楼,11, 11个月以前发布,6930000,"48,632元/平",近地铁 VR看装修 房本满五年 
金湖花园精装4+1房  东西通透  靠山望湖,金湖花园,沙太北,5室2厅 ,243.49, 东 西 , 精装 ,5,1993, 板楼,6, 一年前发布,15500000,"63,658元/平",VR房源 房本满两年 
春兰花园地铁口南向望花园户型方正4房2厅2卫,广信春兰花园,京溪,4室2厅 ,91.62, 南 , 精装 ,9,1995, 塔楼,17, 9个月以前发布,3890000,"42,458元/平",VR房源 房本满五年 
盈翠华庭 顶楼带大天台 南向大三房 视野采光好,盈翠华庭,景泰,3室1厅 ,87.41, 南 , 其他 ,7,2001, 塔楼,1, 1个月以前发布,4600000,"52,626元/平",VR房源 房本满五年 
格局方正 一梯两户 南北对流 南向靠山 空气好 采光好,御鹿华轩山畔雍庭,麓景,4室2厅 ,166.8, 东南 南 北 , 简装 ,5,1998, 板楼,21, 一年前发布,6200000,"37,171元/平",VR房源 房本满五年 
实用高，户型方方正正，业主有心卖,京溪尚苑,京溪,3室2厅 ,88.02, 南 , 其他 ,9,1993, 塔楼,10, 9个月以前发布,3000000,"34,084元/平",VR房源 房本满五年 
远景路电梯南向中高层大复式 精装修采光好,中意花苑,机场路,5室2厅 ,199.74, 东南 南 , 精装 ,15,1998, 塔楼,2, 9个月以前发布,4500000,"22,530元/平",近地铁 VR房源 房本满五年 
云景名都二期 四开间朝东南向 安静望花园泳池,云景花园云景名都,京溪,3室2厅 ,146.43, 东南 , 其他 ,25,2002, 塔楼,13, 6个月以前发布,8900000,"60,780元/平",近地铁 VR房源 房本满五年 
二期户型方正四房   只找有缘人,时代玫瑰园,黄边,4室2厅 ,137, 东南 南 , 精装 ,18,2006, 塔楼,0, 2个月以前发布,6800000,"49,636元/平",近地铁 VR看装修 房本满五年 
房子通风采光好，视野开阔，满五唯一,白云骏景家园,黄石,6室2厅 ,182.11, 北 , 简装 ,11,2003, 塔楼,9, 5个月以前发布,6500000,"35,693元/平",VR房源 房本满五年 
3层复式，有大平台，视野开阔，望南湖,万科蓝山,南湖,5室2厅 ,180, 东南 , 精装 ,18,2007, 塔楼,30, 10个月以前发布,6190000,"34,389元/平",VR房源 房本满五年 
万科蓝山，小三房复式，环境好，交通便利,万科蓝山,南湖,4室3厅 ,96, 南 , 精装 ,18,2007, 塔楼,21, 一年前发布,4300000,"44,792元/平",VR房源 房本满五年 
御鹿华轩山畔雍庭 4室1厅 南 北,御鹿华轩山畔雍庭,麓景,4室1厅 ,256.02, 南 北 , 其他 ,5,1998, 板楼,1, 2个月以前发布,9800000,"38,279元/平",VR房源 房本满五年 
高层南向望花园，无遮挡视野，采光通风好,佳兆业天御,京溪,3室2厅 ,92.93, 东南 南 , 其他 ,18,2017, 塔楼,2, 6个月以前发布,7350000,"79,092元/平",近地铁 VR房源 房本满两年 
时代花生大户型，楼层好南向望小区花园，业主诚心出卖,时代花生Ⅱ,同和,5室1厅 ,123.53, 南 , 简装 ,32,2014, 塔楼,0, 1个月以前发布,6000000,"48,572元/平",近地铁 VR看装修 房本满五年 
地铁口小区 配套完善 白云山下,云东小区,同和,3室2厅 ,88.37, 东南 , 精装 ,7,1997, 塔楼,12, 一年前发布,2680000,"30,328元/平",近地铁 VR看装修 房本满五年 
南湖-万科蓝山-顶楼复式情景洋房,万科蓝山,南湖,7室2厅 ,200.18, 南 , 精装 ,4,2007, 板楼,1, 一年前发布,8000000,"39,965元/平",VR房源 房本满五年 
此房楼层好 南北对流无遮挡 视野佳 通风采光好,颐和山庄,南湖,6室3厅 ,234.47, 东南 , 精装 ,7,1999, 塔楼,21, 一年前发布,11450000,"48,834元/平",VR房源 房本满五年 
此房满五， 产权清晰 ，格局方正。,雅居乐南湖半岛花园,南湖,4室2厅 ,190.84, 东 西 , 精装 ,18,2003, 塔楼,5, 一年前发布,7580000,"39,720元/平",VR房源 房本满五年 
梅花园 南向大四房  南北向  采光好,怡新花园,梅花园,4室2厅 ,146.99, 南 , 精装 ,28,2007, 塔楼,6, 10个月以前发布,7790000,"52,997元/平",近地铁 VR房源 房本满五年 
精装修3房，南北对流，高楼层，已满5年,春晖闲庭,南湖,3室1厅 ,133.55, 南 北 , 其他 ,12,2004, 塔楼,0, 4个月以前发布,5600000,"41,932元/平",VR房源 房本满五年 
佳兆业小区真复式  户型方正 产权清晰 楼龄新,佳兆业天御,京溪,4室2厅 ,96, 北 , 精装 ,18,2017, 塔楼,78, 一年前发布,6800000,"70,834元/平",近地铁 VR房源 房本满两年 
金桂园小区高层五房两厅视野开阔诚意卖！,金桂园,桂花岗,5室2厅 ,166.18, 南 , 其他 ,16,2000, 塔楼,6, 5个月以前发布,6060000,"36,467元/平",近地铁 VR房源 房本满五年 
此房过五，i南向通风采光良好，视野开阔，配套齐全,富力阳光美居,马务,5室2厅 ,172.69, 南 , 精装 ,15,2001, 塔楼,15, 一年前发布,5250000,"30,402元/平",VR房源 房本满五年 
中高楼层，东南向，复式3层，单边位，满五！！！,新世界嘉云府,嘉禾望岗,4室2厅 ,162.98, 东南 , 精装 ,7,2008, 板楼,65, 一年前发布,9000000,"55,222元/平",VR房源 房本满五年 
白云新城 双主套 一线云山景观 格局方正好用,保利云禧东区,白云大道南,4室2厅 ,215.98, 南 北 , 精装 ,21,2014, 板楼,1, 1个月以前发布,19900000,"92,139元/平",近地铁 VR看装修 房本满五年 
一梯两户  南北对流双阳台  电梯高层,祥景花园B区,黄石,3室1厅 ,132.37, 南 北 , 精装 ,11,2000, 塔楼,1, 4个月以前发布,5950000,"44,950元/平",VR看装修 房本满五年 
过五年 一梯两户  南北对流双阳台 诚意放卖,祥景花园B区,黄石,3室1厅 ,129.35, 南 北 , 精装 ,11,2000, 塔楼,2, 5个月以前发布,5600000,"43,294元/平",VR看装修 房本满五年 
时代玫瑰园 实用大四房 南向望花园 视野开阔,时代玫瑰园,黄边,4室2厅 ,152.07, 南 , 其他 ,18,2008, 塔楼,3, 1个月以前发布,9000000,"59,184元/平",VR看装修 房本满五年 
