该房子满五年 格局方正 南北对流,碧桂园豪进广场,白江,3室2厅 ,116.77, 南 北 , 毛坯 ,31,2016, 塔楼,0,11,2480000.0,"21,239元/平",近地铁 VR房源 房本满五年 随时看房 
嘉骏豪苑 一房一厅 带装修 过五年唯一 刚需上车盘,嘉骏豪苑,新塘南,1室0厅 ,46.68, 北 , 简装 ,19,2008, 塔楼,0,7,680000.0,"14,568元/平",VR看装修 房本满五年 
合汇学府名郡 3室1厅 南,合汇学府名郡,白江,3室1厅 ,112.71, 南 , 简装 ,32,2018, 板塔结合,0,14,2180000.0,"19,342元/平",VR房源 房本满两年 
海伦堡花园 方正两房两卫 安静舒适 业主诚心放卖,广州海伦堡,沙村,2室1厅 ,82.6, 北 , 精装 ,18,2008, 塔楼,0,15,1520000.0,"18,402元/平",VR看装修 房本满两年 
单边位 户型方正 门口就是玩达,广州海伦堡,沙村,3室2厅 ,101.23, 北 , 简装 ,11,2008, 塔楼,0,11,1850000.0,"18,276元/平",VR看装修 房本满两年 
满五唯一 独有双卫三房 含产权车位 精装南向,碧桂园凤凰城凤锦苑,凤凰城,3室1厅 ,124.75, 南 , 精装 ,26,2002, 塔楼,1,13,2530000.0,"20,281元/平",VR房源 房本满五年 
南向大三房，户型方正，过五年，税费低,新都盛世名门,白江,3室1厅 ,130.0, 南 , 精装 ,11,2012, 塔楼,0,14,2830000.0,"21,770元/平",近地铁 VR房源 房本满五年 
广州海伦堡大三房 业主自住 保养好 视野广阔满五唯一,广州海伦堡,沙村,3室2厅 ,92.83, 东 , 精装 ,7,2008, 塔楼,0,9,1650000.0,"17,775元/平",VR看装修 房本满五年 
业主包增值税，南北对流靓三房双卫精装高层视野,汇东国际花园,白江,3室1厅 ,105.55, 南 , 精装 ,28,2017, 塔楼,1, 1个月以前发布,2180000.0,"20,654元/平",VR房源 房本满两年 随时看房 
盛世名门复式5房.改善型住房，毛胚,新都盛世名门,白江,5室1厅 ,193.22, 东南 南 , 毛坯 ,12,2012, 塔楼,7, 7个月以前发布,4300000.0,"22,255元/平",近地铁 VR房源 房本满五年 随时看房 
带60平大露台房屋安静舒适满五唯一,东方名都,白江,4室2厅 ,166.58, 东 , 毛坯 ,29,2013, 塔楼,8, 3个月以前发布,2999000.0,"18,004元/平",近地铁 VR房源 房本满五年 随时看房 
富雅都市华庭 4室1厅 北,富雅都市华庭,新塘北,4室1厅 ,171.0, 北 , 毛坯 ,11,2008, 塔楼,15, 7个月以前发布,2150000.0,"12,574元/平",VR房源 房本满五年 随时看房 
中楼层，采光好，房间明亮，近地铁！,侨建御溪谷北区,中新镇,4室2厅 ,286.52, 南 , 毛坯 ,27,2013, 板塔结合,9, 9个月以前发布,5000000.0,"17,451元/平",近地铁 VR看装修 房本满五年 随时看房 
富雅 毛坯 改善型大三房  顶楼复式 带露台 望花园,富雅都市华庭,新塘北,3室2厅 ,148.2, 南 北 , 毛坯 ,20,2008, 塔楼,21, 一年前发布,2200000.0,"14,845元/平",VR房源 房本满五年 随时看房 
豪进山湖珺璟叠墅四代同堂，负一层还带150方私空间,豪进山湖珺璟,白江,5室2厅 ,243.26, 南 , 毛坯 ,3,2011, 塔楼,23, 2个月以前发布,5200000.0,"21,377元/平",近地铁 VR房源 房本满五年 随时看房 
白江地铁口旁东方名都板楼满五唯一南北对流舒适大五房,东方名都,白江,5室2厅 ,204.03, 东南 南 , 精装 ,30,2013, 板楼,73, 6个月以前发布,4700000.0,"23,036元/平",近地铁 VR房源 房本满五年 随时看房 
南北对流户型，精装修，保养好，望花园望江景,保利东江首府,新塘南,4室1厅 ,164.31, 南 北 , 精装 ,39,2015, 塔楼,1, 1个月以前发布,3480000.0,"21,180元/平",VR房源 房本满两年 随时看房 
南北对流、采光好，近地铁，视野开阔,尚东阳光雅苑,沙村,3室1厅 ,143.37, 南 北 , 毛坯 ,32,2011, 塔楼,0, 4个月以前发布,2990000.0,"20,856元/平",VR房源 房本满五年 随时看房 
翡翠绿洲12期，南北对流一梯两户，位置安静，光线充足,翡翠绿洲泊郡,凤凰城,4室2厅 ,150.48, 南 北 , 精装 ,11,2015, 塔楼,31, 一年前发布,2680000.0,"17,810元/平",VR房源 房本满两年 随时看房 
中森茗苑. 精装修三房，高楼层。诚心放卖。,中森茗苑,新塘北,3室1厅 ,86.71, 南 西南 , 其他 ,24,2014, 塔楼,0,7,1610000.0,"18,568元/平",VR房源 房本满五年 
三江盛汇 3室2厅 南 北,三江盛汇,石滩镇,3室2厅 ,131.8, 南 北 , 其他 ,17,2018, 塔楼,0,4,2090000.0,"15,858元/平",VR房源 房本满两年 
嘉骏豪苑 两房两卫 带大平台 带装修 生活便利,嘉骏豪苑,新塘南,2室2厅 ,87.49, 南 , 简装 ,19,2008, 塔楼,0,7,1180000.0,"13,488元/平",VR看装修 房本满五年 
碧桂园豪园鹤鸣苑 3室1厅 东 东南,碧桂园豪园鹤鸣苑,增城碧桂园,3室1厅 ,110.39, 东 东南 , 其他 ,11,2011, 塔楼,0,4,1360000.0,"12,320元/平",VR房源 房本满两年 
碧桂园凤凰城凤盈苑 3室2厅 西南,碧桂园凤凰城凤盈苑,凤凰城,3室2厅 ,139.0, 西南 , 精装 ,11,2002, 塔楼,0,7,2330000.0,"16,763元/平",VR看装修 房本满五年 
翡翠绿洲湖绣苑 3室2厅 北,翡翠绿洲湖绣苑,凤凰城,3室2厅 ,136.68, 北 , 精装 ,25,2011, 塔楼,0,7,2800000.0,"20,486元/平",VR看装修 房本满两年 
南向大三房，交通便利，读书自住好选择,富雅都市华庭,新塘北,3室1厅 ,115.05, 南 , 简装 ,11,2008, 塔楼,0,6,1680000.0,"14,603元/平",VR看装修 房本满五年 
时代倾城(增城区) 4室2厅 南,时代倾城(增城区),荔城增江,4室2厅 ,121.24, 南 , 其他 ,31,2011, 塔楼,0,3,1700000.0,"14,022元/平",VR看装修 房本满五年 
新装修两房 拎包入住   地铁口,新塘新世界花园万象苑,沙村,2室1厅 ,78.85, 北 , 其他 ,18,2009, 塔楼,0,5,1950000.0,"24,731元/平",近地铁 VR看装修 房本满两年 
新塘镇.力诚凯怡湾.南向实用三房,力诚凯怡湾,新塘南,3室1厅 ,84.4, 南 , 其他 ,31,2013, 板楼,1,5,1400000.0,"16,588元/平",VR看装修 房本满五年 
誉山国际 配套成熟 方便看房 南向大三房,合景誉山国际,永和,3室2厅 ,102.19, 南 北 , 其他 ,28,2017, 塔楼,0,5,1650000.0,"16,147元/平",VR看装修 房本满两年 
高楼层  正南向  方正三房  买回即可自住,碧桂园凤凰城凤馨苑,凤凰城,3室2厅 ,97.61, 南 , 其他 ,18,2002, 塔楼,1,1,1800000.0,"18,441元/平",VR房源 房本满两年 
景观好。视野宽阔，配套设施齐全，格局方正,保利东江首府,新塘南,3室2厅 ,127.58, 东南 南 , 精装 ,32,2015, 塔楼,0,5,2680000.0,"21,007元/平",VR看装修 房本满五年 
豪进山湖珺璟，望园林绿化，南北对流。,豪进山湖珺璟,白江,5室2厅 ,166.43, 东南 , 其他 ,28,2011, 塔楼,18, 一年前发布,4100000.0,"24,635元/平",VR房源 房本满五年 随时看房 
地铁21号线快线站 采光好 通风足 业主诚心出*,碧桂园城市花园花岸苑,朱村,3室2厅 ,113.05, 北 , 毛坯 ,26,2016, 板塔结合,5, 一年前发布,2020000.0,"17,869元/平",VR房源 房本满五年 随时看房 
满五少增值税房源，业主诚心出*,石滩第一城,石滩镇,4室2厅 ,123.54, 东南 , 其他 ,11,2009, 塔楼,11, 一年前发布,1180000.0,"9,552元/平",VR看装修 房本满五年 随时看房 
碧桂园豪进广场 精装三房 南北对流 望小区花园,碧桂园豪进广场,白江,3室1厅 ,119.75, 南 北 , 精装 ,30,2016, 塔楼,73, 一年前发布,2899900.0,"24,217元/平",近地铁 VR看装修 房本满两年 随时看房 
带主套望花园，采光通风好，业主诚心放卖,锦绣新天地,新塘南,4室1厅 ,144.38, 南 , 其他 ,28,2012, 塔楼,8, 6个月以前发布,2250000.0,"15,584元/平",VR房源 房本满五年 随时看房 
：此房自已住，装修保养好。阳台无遮挡，视野采光好,新康花园,白江,5室2厅 ,242.19, 东 , 精装 ,8,2004, 塔楼,11, 一年前发布,3450000.0,"14,246元/平",VR房源 房本满五年 随时看房 
房子朝东南，采光充足，通风好，视野开阔，望江景,创基丽江国际,增城区府,4室2厅 ,185.15, 东南 , 其他 ,36,2017, 塔楼,8, 一年前发布,4430000.0,"23,927元/平",近地铁 VR看装修 房本满两年 随时看房 
业主非要诚心卖房，看房方便，随时都可以看,金泽豪庭,白江,3室1厅 ,125.8, 南 , 其他 ,32,2016, 塔楼,1, 1个月以前发布,2400000.0,"19,078元/平",近地铁 VR看装修 房本满两年 随时看房 
侨建御溪谷大平层    3梯两户舒适户型 业主诚意出,侨建御溪谷北区,中新镇,5室2厅 ,285.89, 南 , 毛坯 ,27,2013, 板塔结合,1, 一年前发布,5900000.0,"20,638元/平",近地铁 VR看装修 房本满两年 随时看房 
豪进山湖珺璟 交通便利 环境优美 复式五房,豪进山湖珺璟,白江,5室2厅 ,208.33, 东南 北 , 其他 ,28,2011, 塔楼,3, 一年前发布,4500000.0,"21,601元/平",VR房源 房本满五年 随时看房 
豪进山湖郡璟，户型方正，南北对流，视野开阔。,豪进山湖珺璟,白江,5室2厅 ,244.17, 南 , 其他 ,28,2011, 塔楼,3, 5个月以前发布,5660000.0,"23,181元/平",VR房源 房本满两年 随时看房 
广园东方名都 毛坯5房 格局方正 望小区花园,东方名都,白江,5室2厅 ,185.57, 南 北 , 毛坯 ,30,2013, 板楼,3, 2个月以前发布,3850000.0,"20,747元/平",近地铁 VR房源 房本满五年 随时看房 
碧桂园豪进广场 南北通透 业主诚意,碧桂园豪进广场,白江,4室2厅 ,138.2, 南 北 东南 , 毛坯 ,31,2016, 塔楼,108, 一年前发布,3180000.0,"23,011元/平",近地铁 VR看装修 房本满五年 随时看房 
白江豪进山湖珺璟 毛坯五房格局方正 安静望公园,豪进山湖珺璟,白江,5室2厅 ,189.14, 南 北 , 其他 ,31,2013, 塔楼,14, 一年前发布,4380000.0,"23,158元/平",VR房源 房本满五年 随时看房 
户型方正 视野开阔 安静优雅 业主诚意出*,碧桂园豪进广场,白江,3室2厅 ,118.13, 东南 南 北 , 其他 ,33,2016, 塔楼,85, 一年前发布,2820000.0,"23,873元/平",近地铁 VR看装修 房本满五年 随时看房 
此房满五唯一，近地铁四房，自住保养好，配套齐全,东方名都,白江,4室2厅 ,141.03, 东北 , 精装 ,29,2013, 塔楼,42, 9个月以前发布,3250000.0,"23,045元/平",近地铁 VR房源 房本满五年 随时看房 
东南向 楼层中高层一线江景，标准保养新 看房方便,力诚凯怡湾,新塘南,3室2厅 ,106.06, 东南 , 精装 ,31,2013, 板楼,39, 11个月以前发布,1780000.0,"16,783元/平",VR看装修 房本满两年 随时看房 
碧桂园豪进广场 毛坯三房 格局方正 望小区泳池,碧桂园豪进广场,白江,3室2厅 ,109.51, 北 , 其他 ,31,2016, 塔楼,0, 2个月以前发布,2400000.0,"21,916元/平",近地铁 VR房源 房本满两年 随时看房 
望泳池 三房 大阳台 双地铁口,新都盛世名门,白江,3室1厅 ,142.17, 南 , 其他 ,30,2012, 塔楼,0, 1个月以前发布,3300000.0,"23,212元/平",近地铁 VR房源 房本满五年 随时看房 
豪进山湖珺璟~~公园里的房子。。,豪进山湖珺璟,白江,3室1厅 ,110.28, 南 , 其他 ,33,2013, 塔楼,1, 4个月以前发布,3000000.0,"27,204元/平",VR房源 房本满五年 随时看房 
新塘高档小区 俩梯三户，满五唯一 值得拥有,豪进山湖珺璟,白江,3室2厅 ,123.35, 南 北 , 毛坯 ,20,2011, 塔楼,60, 8个月以前发布,2640000.0,"21,403元/平",VR看装修 房本满五年 随时看房 
碧桂园豪进广场 毛坯3房 格局方正 望小区花园,碧桂园豪进广场,白江,3室2厅 ,110.83, 北 , 其他 ,30,2016, 塔楼,1, 7个月以前发布,2800000.0,"25,264元/平",近地铁 VR看装修 房本满两年 随时看房 
产权清晰，房产证过两年，南北对流，采光通风效果好。,东方名都,白江,4室2厅 ,176.7, 东南 , 其他 ,29,2013, 塔楼,25, 一年前发布,3800000.0,"21,506元/平",近地铁 VR房源 房本满五年 随时看房 
小区热门户型，满五免高税，居住舒适视野宽阔采光充足,豪进山湖珺璟,白江,5室2厅 ,196.79, 东南 , 其他 ,8,2011, 塔楼,8, 5个月以前发布,4130000.0,"20,987元/平",VR房源 房本满五年 随时看房 
东方名都 地铁13号线傍 品质小区 产权清晰 户型方正,东方名都,白江,6室2厅 ,341.58, 南 , 其他 ,28,2012, 塔楼,3, 9个月以前发布,6830000.0,"19,996元/平",近地铁 VR房源 房本满五年 随时看房 
此房为高楼层，视野好，采光好，通风效果好,合生湖山国际,凤凰城,4室2厅 ,143.32, 南 , 其他 ,18,2008, 塔楼,22, 一年前发布,2400000.0,"16,746元/平",VR看装修 房本满五年 随时看房 
业主自住，保养好，采光好，南北对流,新塘新世界花园万象苑,沙村,3室2厅 ,128.73, 南 , 其他 ,18,2012, 塔楼,16, 一年前发布,3180000.0,"24,703元/平",近地铁 VR看装修 房本满五年 随时看房 
新康花园小区绿化好，基础教育齐全。户型方正，使用高,新康花园,白江,2室2厅 ,95.65, 南 北 , 简装 ,7,2014, 塔楼,0,13,1350000.0,"14,114元/平",VR看装修 房本满五年 
广州海伦堡大三房 业主自住 保养好 视野广阔满五唯一,广州海伦堡,沙村,3室2厅 ,92.83, 东 , 精装 ,7,2008, 塔楼,0,9,1650000.0,"17,775元/平",VR看装修 房本满五年 
合景誉山国际 3室1厅 东南,合景誉山国际,永和,3室1厅 ,84.51, 东南 , 精装 ,18,2016, 塔楼,0,12,1280000.0,"15,147元/平",VR房源 房本满两年 
买1房必看！700地铁白江站 过五唯一 车位免费,水电二局宿舍,白江,1室1厅 ,54.0, 北 , 简装 ,18,2006, 板楼,0,7,850000.0,"15,741元/平",VR看装修 房本满五年 
凤凰城凤馨苑 100平 朝向好总好。,碧桂园凤凰城凤馨苑,凤凰城,3室2厅 ,96.0, 北 , 精装 ,18,2002, 塔楼,0,13,1500000.0,"15,625元/平",VR房源 房本满两年 
实用三房 采光通风好 视野开阔 配套成熟,汇东国际花园,白江,3室2厅 ,88.48, 东 南 , 简装 ,17,2012, 塔楼,0,15,2020000.0,"22,831元/平",VR房源 房本满两年 
顺欣广场复式大三房，带露天平台，业主诚心出,顺欣广场,新塘北,3室2厅 ,138.39, 东北 , 精装 ,11,2006, 塔楼,0,10,2150000.0,"15,536元/平",VR房源 房本满两年 
此房证满2年 近地铁，采光好，位置安静,恒大山水郡,中新镇,3室2厅 ,87.55, 北 , 简装 ,26,2018, 塔楼,1,7,990000.0,"11,308元/平",VR看装修 房本满两年 
产权满5年 省税费 地铁13号线1000米 保养好,敏捷锦绣天伦,新塘北,3室2厅 ,97.84, 南 , 精装 ,32,2015, 塔楼,0,14,1940000.0,"19,829元/平",VR房源 房本满五年 
此房满五唯一南向房子，采光通透，户型方正，保养好,汇东国际花园,白江,3室2厅 ,99.77, 南 , 其他 ,28,2015, 塔楼,0,9,2600000.0,"26,060元/平",VR看装修 房本满五年 
合景花漫里 3室2厅 西北,合景花漫里,永和,3室2厅 ,84.78, 西北 , 其他 ,33,2018, 塔楼,0,11,1320000.0,"15,570元/平",VR看装修 房本满两年 
好楼层，采光好，户型方正，望小区景观。,广州海伦堡,沙村,3室2厅 ,100.31, 北 南 , 精装 ,12,2008, 塔楼,0,10,1750000.0,"17,446元/平",VR看装修 房本满两年 
新塘水电二局 一楼三房 凯达尔大润发,水电二局宿舍,白江,3室1厅 ,67.79, 南 , 简装 ,8,1999, 板楼,0,8,1430000.0,"21,095元/平",VR看装修 房本满两年 随时看房 
此房满五年唯一，精装修保养好，园中位置,新都盛世名门,白江,2室2厅 ,75.82, 南 北 , 精装 ,11,2012, 塔楼,0,14,1550000.0,"20,444元/平",近地铁 VR看装修 房本满五年 
碧桂园凤凰城凤馨苑 2室2厅 南,碧桂园凤凰城凤馨苑,凤凰城,2室2厅 ,85.04, 南 , 其他 ,6,2002, 塔楼,0,29,1500000.0,"17,639元/平",VR看装修 房本满五年 随时看房 
碧桂园豪进左岸 3室1厅 北,碧桂园豪进左岸,石滩镇,3室1厅 ,91.68, 北 , 其他 ,30,2018, 塔楼,0,28,1100000.0,"11,999元/平",VR看装修 房本满五年 随时看房 
美景阁 2室1厅 南,美景阁,新塘北,2室1厅 ,70.62, 南 , 其他 ,7,2004, 板塔结合,0,26,980000.0,"13,878元/平",VR房源 房本满两年 随时看房 
白江地铁口电梯房，成熟小区，交通便利，配套完善,新康花园康馨苑,白江,3室1厅 ,119.5, 南 , 其他 ,11,2005, 板楼,0,30,1900000.0,"15,900元/平",VR看装修 房本满两年 随时看房 
合汇·中央广场 3室1厅 西南,合汇·中央广场,荔城中区,3室1厅 ,99.8, 西南 , 其他 ,37,2017, 塔楼,1,21,1700000.0,"17,035元/平",近地铁 VR看装修 房本满两年 随时看房 
同创滨江 3室1厅 东南,同创滨江,荔城增江,3室1厅 ,97.92, 东南 , 其他 ,15,2017, 塔楼,0,31,1620000.0,"16,545元/平",VR房源 房本满两年 随时看房 
此房证满五年唯一物业 装修保养好 产权清晰 拎包即住,广州海伦堡,沙村,3室2厅 ,94.58, 西南 , 其他 ,18,2012, 塔楼,0,29,1780000.0,"18,821元/平",VR看装修 房本满五年 随时看房 
满五唯一，无按揭，业主诚心放卖，,尚东阳光雅苑,沙村,3室1厅 ,106.72, 南 北 , 其他 ,30,2016, 塔楼,0,25,2280000.0,"21,365元/平",VR看装修 房本满五年 随时看房 
大两房 前面没有遮挡 业主急卖,广州敏捷绿湖首府一期,石滩镇,2室2厅 ,80.18, 西北 , 其他 ,26,2016, 塔楼,0,24,820000.0,"10,227元/平",VR看装修 房本满两年 随时看房 
保利全新未住，采光通风好，户型方正,保利i立方,永和,3室2厅 ,72.17, 北 , 其他 ,32,2018, 塔楼,2,22,1200000.0,"16,628元/平",VR看装修 房本满两年 随时看房 
合景誉山国际 3室2厅 东 南,合景誉山国际,永和,3室2厅 ,111.71, 东 南 , 其他 ,28,2017, 塔楼,0,9,1850000.0,"16,561元/平",VR看装修 房本满两年 
保利东江首府 3室1厅 东南,保利东江首府,新塘南,3室1厅 ,127.06, 东南 , 其他 ,32,2012, 塔楼,0,16,2920000.0,"22,982元/平",VR房源 房本满五年 
金地荔湖城公园上城 3室2厅 南,金地荔湖城公园上城,永和,3室2厅 ,109.43, 南 , 其他 ,33,2014, 板楼,0,13,1638000.0,"14,969元/平",VR看装修 房本满五年 
房子四方四正南呗通透。。。。。。。。。。。。,保利壹号公馆,增城区府,3室2厅 ,111.45, 南 , 其他 ,13,2010, 板塔结合,0,8,1900000.0,"17,049元/平",VR看装修 房本满五年 
合景誉山国际 2室2厅 北,合景誉山国际,永和,2室2厅 ,67.53, 北 , 其他 ,18,2015, 塔楼,0,11,1050000.0,"15,549元/平",VR看装修 房本满两年 
凤凰城凤馨苑刚需三房，安静不吵看花园业主诚心出,碧桂园凤凰城凤馨苑,凤凰城,3室2厅 ,97.54, 北 , 其他 ,11,2002, 塔楼,0,10,1700000.0,"17,429元/平",VR看装修 房本满五年 
锦绣御景国际四期 3室2厅 南,锦绣御景国际四期,荔城西区,3室2厅 ,118.2, 南 , 其他 ,32,2015, 塔楼,0,8,2050000.0,"17,344元/平",VR看装修 房本满两年 
业主保养好，绿色视野，位置安静，户型好,恒大山水城,中新镇,3室1厅 ,119.92, 南 , 其他 ,18,2012, 板塔结合,0,5,1850000.0,"15,427元/平",VR看装修 房本满五年 
业主诚心放卖。房子满5年，房屋温馨,新康花园,白江,2室2厅 ,92.69, 南 北 , 其他 ,7,2014, 塔楼,0,9,1380000.0,"14,889元/平",VR看装修 房本满五年 
城市家园，过五年唯一住房，格局方正，户型好,城市家园一期,新塘北,3室1厅 ,167.12, 南 , 其他 ,19,2005, 塔楼,0,12,2000000.0,"11,968元/平",VR看装修 房本满五年 
富雅都市华庭 3室1厅 北,富雅都市华庭,新塘北,3室1厅 ,106.8, 北 , 其他 ,11,2014, 塔楼,0,6,1650000.0,"15,450元/平",VR看装修 房本满五年 
好楼层，满五年，置换业主，诚心出,力诚凯怡湾,新塘南,1室1厅 ,39.21, 西北 , 精装 ,31,2013, 板楼,0,2,600000.0,"15,303元/平",VR房源 房本满五年 
增城21号线地铁 南北对流三房两卫 精装修带室内车位,碧桂园城市花园漫绿苑,朱村,3室2厅 ,110.98, 北 , 精装 ,26,2018, 板塔结合,10, 一年前发布,1955000.0,"17,616元/平",VR房源 房本满两年 
小区自带游泳池，南向4房中高层.,汇美体育花园,新塘北,4室1厅 ,159.65, 南 , 精装 ,18,2006, 塔楼,8, 一年前发布,2300000.0,"14,407元/平",VR看装修 房本满五年 
满五唯一税费少，房子保养好，前无遮挡，通风采光好,碧桂园凤凰城凤盈苑,凤凰城,3室2厅 ,166.66, 北 , 其他 ,6,2006, 塔楼,16, 一年前发布,2900000.0,"17,401元/平",VR看装修 房本满五年 
盛世优质自住三房，业主诚心放卖,新都盛世名门,白江,3室2厅 ,118.61, 南 北 , 精装 ,11,2012, 塔楼,11, 一年前发布,2980000.0,"25,125元/平",近地铁 VR看装修 房本满两年 
此房是五期大三房，业主自住 保养好,新都盛世名门,白江,3室2厅 ,153.62, 东南 , 精装 ,28,2012, 塔楼,22, 一年前发布,4380000.0,"28,512元/平",近地铁 VR看装修 房本满五年 
凤盈苑 2层复式5房3卫 安静望别墅 带大露台,碧桂园凤凰城凤盈苑,凤凰城,5室2厅 ,231.21, 南 北 , 精装 ,6,2002, 塔楼,17, 一年前发布,3990000.0,"17,258元/平",VR房源 房本满两年 
房子满五年有按揭，在小区中间楼栋，带装修，看房方便,金泽豪庭,白江,3室1厅 ,132.6, 南 , 其他 ,26,2007, 塔楼,0, 5个月以前发布,3000000.0,"22,625元/平",近地铁 VR房源 房本满五年 
凤雅苑，东南向，大花园，过五唯一，笋盘！,碧桂园凤凰城凤雅苑,凤凰城,6室3厅 ,324.04, 南 , 精装 ,3,2004, 板塔结合,12, 一年前发布,16800000.0,"51,846元/平",VR房源 房本满五年 
*达广场旁，近地铁，户型方正大四房,汇美体育花园,新塘北,4室2厅 ,159.65, 南 , 简装 ,18,2006, 塔楼,3, 一年前发布,2900000.0,"18,165元/平",VR看装修 房本满五年 
无遮档复式房 产权清晰  交易方便 保养新,碧桂园凤凰城凤仪苑,凤凰城,5室2厅 ,159.53, 东南 南 , 精装 ,6,2002, 塔楼,5, 6个月以前发布,2800000.0,"17,552元/平",VR房源 房本满五年 
格局好，楼层好，视野宽阔，采光充足，,敏捷锦绣天伦,新塘北,2室2厅 ,80.91, 北 , 精装 ,32,2017, 塔楼,0,26,1436000.0,"17,749元/平",VR看装修 房本满五年 随时看房 
恒大山水城，南向大四房，户型方正，地铁口现房,恒大山水城,中新镇,4室1厅 ,146.98, 南 , 其他 ,18,2012, 板塔结合,1,9,2445000.0,"16,635元/平",VR看装修 房本满两年 随时看房 
满五年望别墅位置安静，空气清新，居住舒适,碧桂园凤凰城凤天苑,凤凰城,3室2厅 ,105.53, 南 , 精装 ,24,2002, 塔楼,0, 2个月以前发布,2400000.0,"22,743元/平",VR看装修 房本满五年 
Z新苑区 翡翠绿洲14期 东西对流 实用两房,翡翠绿洲克拉邻里,凤凰城,2室2厅 ,77.29, 东 西 , 精装 ,25,2016, 塔楼,0, 1个月以前发布,1550000.0,"20,055元/平",VR看装修 房本满两年 
锦绣新天地大三房纯南向，中楼层视野开阔，满五年,锦绣新天地,新塘南,3室1厅 ,132.58, 南 , 简装 ,28,2012, 塔楼,0, 1个月以前发布,2380000.0,"17,952元/平",VR看装修 房本满五年 
满五唯一，南向2房。位置安静。,碧桂园凤凰城凤馨苑,凤凰城,2室2厅 ,85.08, 南 , 简装 ,6,2002, 塔楼,0,29,1550000.0,"18,219元/平",VR看装修 房本满两年 
经济开发区，成熟商圈，宜居小区，业主诚意寻有缘人,顺欣广场,新塘北,4室1厅 ,146.0, 南 , 精装 ,17,2006, 塔楼,0,27,2050000.0,"14,042元/平",VR房源 房本满五年 
连排中间位，小区中间位，安静舒适,碧桂园凤凰城凤泉苑,凤凰城,4室1厅 ,157.7, 南 , 简装 ,1,2002, 暂无数据,0,23,4680000.0,"29,677元/平",VR房源 房本满两年 
地铁口 锦绣天伦花园 精致三房  朝向好  望花园,敏捷锦绣天伦,新塘北,3室1厅 ,89.78, 北 , 精装 ,32,2015, 塔楼,0, 1个月以前发布,1800000.0,"20,050元/平",VR房源 房本满五年 
亚太新城亚太银座一期 3室1厅 北,亚太新城亚太银座一期,新塘北,3室1厅 ,101.58, 北 , 精装 ,17,2012, 塔楼,0, 1个月以前发布,2500000.0,"24,612元/平",近地铁 VR房源 房本满五年 
业主可谈 南北对流三房 自住装修保养好  税费少,翡翠绿洲森林半岛,凤凰城,3室2厅 ,94.75, 南 北 , 精装 ,10,2017, 塔楼,1,31,1800000.0,"18,998元/平",VR房源 房本满两年 
南向、采光充足，中高楼层，保养好，视野开阔。,合景花漫里,永和,3室2厅 ,103.81, 南 , 简装 ,33,2018, 塔楼,0,31,1880000.0,"18,111元/平",VR看装修 房本满两年 
新塘新世界花园万象苑 2室1厅 南,新塘新世界花园万象苑,沙村,2室1厅 ,79.05, 南 , 简装 ,18,2012, 塔楼,0, 1个月以前发布,2150000.0,"27,198元/平",近地铁 VR看装修 房本满两年 
新天地南向大两房很nice  视野开阔,锦绣新天地,新塘南,2室1厅 ,81.95, 南 , 精装 ,15,2011, 塔楼,0,23,1480000.0,"18,060元/平",VR看装修 房本满两年 
敏捷锦绣星辰 3室2厅 东南,敏捷锦绣星辰,荔城增江,3室2厅 ,111.0, 东南 , 其他 ,18,2015, 塔楼,0,29,1360000.0,"12,253元/平",VR看装修 房本满五年 
此房南北对流户型，楼层采光很好,保利东江首府,新塘南,3室1厅 ,123.77, 南 , 精装 ,32,2012, 塔楼,0,31,2720000.0,"21,977元/平",VR房源 房本满两年 
房子南北对流三房，采光楼层好。,丰泰城市公馆,新塘北,3室1厅 ,113.0, 南 , 简装 ,17,2015, 塔楼,0,30,1880000.0,"16,638元/平",VR看装修 房本满五年 
南向望花园、望泳池大三房，业主诚心卖,保利东江首府,新塘南,3室2厅 ,124.16, 南 , 简装 ,32,2012, 塔楼,0,22,2500000.0,"20,136元/平",VR看装修 房本满五年 
95方精装两房保养好 产权清晰 满五年税费少 看房方便,碧桂园凤凰城凤盈苑,凤凰城,2室1厅 ,93.18, 西 , 其他 ,6,2002, 塔楼,0,20,1330000.0,"14,274元/平",VR看装修 房本满五年 
金泽豪庭南北对流大三房 望花园，视野好,金泽豪庭,白江,3室1厅 ,115.98, 南 北 , 精装 ,27,2009, 塔楼,1, 1个月以前发布,2450000.0,"21,125元/平",近地铁 VR看装修 房本满两年 
诚心卖业主可谈 高楼层精装大三房 位置安静望花园,翡翠绿洲湖翠苑,凤凰城,3室2厅 ,134.7, 东 北 , 其他 ,24,2011, 塔楼,0,27,2680000.0,"19,897元/平",VR看装修 房本满两年 
新塘镇 13号线地铁沙村地铁口 尚东阳光南北朝向三房,尚东阳光雅苑,沙村,3室2厅 ,108.29, 南 北 , 精装 ,30,2011, 塔楼,0, 1个月以前发布,2580000.0,"23,825元/平",VR看装修 房本满五年 
满五唯一，凤凰楼层，视野好，诚心放卖,碧桂园凤凰城凤馨苑,凤凰城,3室2厅 ,98.08, 南 , 精装 ,18,2002, 塔楼,0,26,2245000.0,"22,890元/平",VR看装修 房本满五年 
