西门口版块 中层精装三房 东南朝向 拎包入住,光复北路,龙津,3室1厅 ,73.38, 东 南 , 精装 ,10,1995, 板楼,0,5,2300000.0,"31,344元/平",VR看装修 房本满两年 随时看房 
恒宝华庭 2室1厅 东南,恒宝华庭,西关,2室1厅 ,65.28, 东南 , 简装 ,31,2000, 塔楼,0,12,3700000.0,"56,679元/平",近地铁 VR房源 房本满五年 随时看房 
电梯满五唯一 东南户型  通风采风好 439米即可到地铁,富力新居,南岸路,2室1厅 ,51.36, 东南 , 简装 ,9,1993, 塔楼,0,26,1750000.0,"34,074元/平",近地铁 VR看装修 房本满五年 随时看房 
富力环市西苑 小区环境好 精装修 大两房 随时看房,富力环市西苑,西村,2室1厅 ,86.21, 南 , 精装 ,15,2000, 塔楼,1,17,2950000.0,"34,219元/平",近地铁 VR房源 房本满两年 随时看房 
东向望花园 证满5年唯一 通风采光佳,鸿图苑,汾水,2室1厅 ,52.88, 东 南 , 简装 ,9,1995, 塔楼,4,24,1210000.0,"22,882元/平",近地铁 VR看装修 房本满五年 随时看房 
荔湾路原装电梯   精装修三房  两面单边  视野开阔,荔怡中心,周门,3室1厅 ,98.6, 南 西 , 精装 ,20,2001, 塔楼,1,23,3800000.0,"38,540元/平",VR看装修 房本满五年 随时看房 
望空中花园 满五年唯一无抵押 看房方便 安静不吵,逸翠湾,黄沙,3室1厅 ,104.88, 西南 西北 , 简装 ,36,2009, 塔楼,1,16,5600000.0,"53,395元/平",近地铁 VR看装修 房本满五年 随时看房 
华侨新村 流花湖畔 小区环境好 南向两房 安静舒适,流花华侨新村,流花站前,2室1厅 ,67.02, 南 , 其他 ,8,1998, 塔楼,3,29,2700000.0,"40,287元/平",VR房源 房本满五年 随时看房 
龙湾广场 滘口5号线 毛坯房 大三房望江景 产权清晰,龙湾广场,滘口,3室2厅 ,166.35, 东北 , 毛坯 ,15,1999, 塔楼,96, 一年前发布,3520000.0,"21,161元/平",近地铁 VR房源 房本满五年 随时看房 
精装修三房 大院管理  实用高,荔湾路,陈家祠,3室1厅 ,63.39, 南 北 , 精装 ,9,1995, 塔楼,0,14,2300000.0,"36,284元/平",VR房源 房本满五年 随时看房 
珠岛花园 加装电梯一房 保养好 有匙即看,珠岛花园,大坦沙,1室1厅 ,34.95, 南 , 精装 ,9,1995, 板塔结合,0,10,1180000.0,"33,763元/平",VR看装修 房本满五年 随时看房 
2000年马赛克 培正学府 步行100米如意坊站 大院管理,黄沙大道,黄沙,2室1厅 ,58.44, 东南 , 简装 ,7,1994, 塔楼,0,8,1850000.0,"31,657元/平",近地铁 VR房源 房本满五年 随时看房 
满五年 免重税  采光通风好 可开发天台花园  使用率高,金花小区,西华路,1室1厅 ,43.19, 东 北 , 简装 ,9,2003, 塔楼,2,8,1280000.0,"29,637元/平",VR看装修 房本满两年 随时看房 
满五唯一 方正实用 厅出阳台三房,桥东小区,滘口,3室2厅 ,89.69, 北 , 简装 ,9,1995, 塔楼,1,16,2250000.0,"25,087元/平",近地铁 VR看装修 房本满五年 
保利社区 望花园安静 绿树成荫 原装电梯 满五年唯一,保利塞纳维拉,龙溪,2室2厅 ,70.53, 南 北 , 精装 ,18,2015, 板楼,2,17,2350000.0,"33,320元/平",VR看装修 房本满五年 
原装两房 过5年唯一  诚意放卖 有小区管理,新丽苑,龙溪,2室1厅 ,56.56, 北 南 , 其他 ,6,2000, 板楼,1,4,1020000.0,"18,034元/平",近地铁 VR看装修 房本满五年 
厅出阳台，方正户型，西南采光视野棒，,荔港南湾,南岸路,2室1厅 ,77.0, 西南 , 精装 ,25,1999, 塔楼,7,14,2800000.0,"36,364元/平",近地铁 VR房源 房本满五年 
南向大阳台9米长；吊打100平方的任何一个房源,誉领轩,龙津,3室2厅 ,102.86, 东 东南 , 精装 ,22,2012, 塔楼,1,13,7250000.0,"70,485元/平",VR看装修 房本满五年 
中信苑 马赛克外墙楼龄新  正规两房,中信苑,中山八,2室1厅 ,68.44, 南 , 简装 ,9,1995, 板塔结合,16, 7个月以前发布,1980000.0,"28,931元/平",VR看装修 房本满五年 随时看房 
荔港南湾 东向实用两房 厅大房大 保养好，即买即住,荔港南湾,南岸路,2室1厅 ,77.29, 东 , 精装 ,32,2003, 塔楼,6, 2个月以前发布,3250000.0,"42,050元/平",近地铁 VR房源 房本满五年 随时看房 
中山八地铁站 富力广场B区中高层两房 西南向 望荔湾湖,富力广场B区,中山八,2室1厅 ,63.9, 西 南 , 精装 ,23,2004, 塔楼,3, 2个月以前发布,3200000.0,"50,079元/平",近地铁 VR看装修 房本满五年 随时看房 
周门小区周门街 户型方正 东南舒适两房,周门小区周门街,周门,2室1厅 ,54.39, 东南 , 简装 ,9,1998, 平房,13, 4个月以前发布,2050000.0,"37,691元/平",近地铁 VR看装修 房本满五年 随时看房 
辉洋苑 望珠江 全明屋 精致两房 小区管理,辉洋苑,黄沙,2室2厅 ,75.9, 东北 , 简装 ,31,2001, 塔楼,110, 6个月以前发布,2680000.0,"35,310元/平",近地铁 VR看装修 房本满五年 随时看房 
市政东苑  户型方正 低楼层 视野开阔,市政东苑,南岸路,1室1厅 ,46.44, 南 , 简装 ,9,1990, 塔楼,11, 2个月以前发布,930000.0,"20,026元/平",近地铁 VR房源 房本满五年 随时看房 
产权清晰，没抵押，2000年楼龄新，楼梯好走,泰兴苑,龙津,2室1厅 ,36.03, 东南 , 精装 ,9,2000, 板塔结合,43, 4个月以前发布,1280000.0,"35,526元/平",近地铁 VR房源 房本满五年 随时看房 
华贵路小区 中层新装修大两房，南北对流,华贵路,龙津,2室1厅 ,62.5, 南 北 , 精装 ,9,1990, 平房,11, 2个月以前发布,2100000.0,"33,600元/平",VR看装修 房本满五年 随时看房 
荔湾天花板小区 珠光御景壹号望花园四房,珠光御景壹號,黄沙,4室2厅 ,219.27, 东南 , 精装 ,36,2016, 板楼,71, 4个月以前发布,18900000.0,"86,196元/平",近地铁 VR房源 房本满两年 
荔港南湾 E区罕有南向 带主套三房 大阳台 无遮挡,荔港南湾,南岸路,3室2厅 ,136.17, 南 , 简装 ,33,2008, 塔楼,2, 1个月以前发布,5980000.0,"43,916元/平",VR房源 房本满五年 
荔湾路加装电梯中层三房，大平台，彩光通风好,荔湾路,陈家祠,3室1厅 ,52.9, 东 北 , 简装 ,9,2000, 塔楼,14, 5个月以前发布,2050000.0,"38,753元/平",近地铁 VR看装修 房本满两年 
户型方正，东南向。采光通话好，439米即可到地铁站,富力新居,南岸路,2室1厅 ,58.95, 东南 , 其他 ,9,1993, 塔楼,14, 3个月以前发布,2030000.0,"34,436元/平",VR看装修 房本满五年 
产权清晰 地铁口 小区管理 5号线西场地铁站150米,和平新村,西场,1室1厅 ,45.52, 南 , 简装 ,8,1998, 塔楼,1, 1个月以前发布,1250000.0,"27,461元/平",近地铁 VR看装修 房本满五年 
富力广场，西向看花园 视野开阔 采光通风好 交通方便,富力广场B区,中山八,3室1厅 ,109.32, 西 , 简装 ,23,2005, 塔楼,1, 1个月以前发布,5380000.0,"49,214元/平",近地铁 VR房源 房本满五年 
五芳苑，地铁五号线十一号线，满五唯一，装修保养好！,五芳苑,滘口,2室1厅 ,59.31, 北 , 精装 ,9,2000, 塔楼,27, 7个月以前发布,1800000.0,"30,350元/平",VR看装修 房本满五年 
桥东小区 两房 封闭式管理 户型方正,芳村大道西,滘口,2室1厅 ,71.67, 东 , 简装 ,9,1994, 塔楼,6, 1个月以前发布,1880000.0,"26,232元/平",近地铁 VR看装修 房本满五年 
封闭式小区管理，次新房，交通便利，配套完善,元邦明月水岸,西朗,3室2厅 ,100.68, 东南 , 精装 ,11,2015, 塔楼,65, 6个月以前发布,3300000.0,"32,778元/平",近地铁 VR看装修 房本满两年 
南岸路三房主套 望江户型  业主自住保养好 方正实用,荔港南湾H区,南岸路,3室2厅 ,99.5, 东北 , 精装 ,28,2008, 塔楼,80, 一年前发布,4390000.0,"44,121元/平",近地铁 VR看装修 房本满两年 
龙津华府  板楼低密度 2016年楼龄 高层无遮挡 乐贤坊,龙津华府,龙津,4室2厅 ,158.4, 东 南 北 , 精装 ,33,2015, 塔楼,38, 4个月以前发布,10100000.0,"63,763元/平",近地铁 VR看装修 房本满五年 
凯粤湾 动静分离人性化设计 大三房二厅 全新末住,新世界凯粤湾,滘口,3室2厅 ,126.28, 东北 , 精装 ,33,2019, 塔楼,2, 2个月以前发布,5300000.0,"41,971元/平",VR看装修 房本满两年 
花语水岸 5/6号双线坦尾站 东北向 中层望花园 采光好,花语水岸,大坦沙,3室2厅 ,87.37, 东北 , 精装 ,26,2015, 塔楼,1, 4个月以前发布,4700000.0,"53,795元/平",近地铁 VR看装修 房本满两年 
丰年华庭 过5唯一，原装电梯南向两房，楼龄新保养好。,丰年华庭,茶滘,2室1厅 ,72.42, 南 , 精装 ,15,2008, 板楼,7, 2个月以前发布,2750000.0,"37,973元/平",近地铁 VR看装修 房本满五年 
东向俩房，楼龄新净，可做公积金，视野开阔,站前路(荔湾),流花站前,2室1厅 ,70.45, 东 , 简装 ,9,1998, 塔楼,7, 3个月以前发布,1680000.0,"23,847元/平",VR看装修 房本满五年 
金兰苑 楼梯中层单位  格局方正  交通方便,金兰苑,汾水,2室1厅 ,64.22, 南 北 , 简装 ,9,2001, 塔楼,6, 7个月以前发布,1350000.0,"21,022元/平",VR看装修 房本满五年 
高层次顶层 通风采光佳 近广佛鹤洞站 11号线鹤洞东站,葛洲坝保利曼城,广钢新城,3室2厅 ,99.9, 西北 , 精装 ,40,2018, 塔楼,102, 一年前发布,4950000.0,"49,550元/平",近地铁 VR看装修 房本满两年 
新世界凯粤湾 电梯中层 安静舒适 采光好,新世界凯粤湾,滘口,3室2厅 ,122.48, 南 , 精装 ,20,2017, 塔楼,34, 4个月以前发布,5450000.0,"44,498元/平",VR看装修 房本满五年 
东南向采光充足，电梯两房，装修保养好，户型方正。,芳泰花园,滘口,2室1厅 ,44.31, 东南 , 精装 ,9,1995, 塔楼,2, 3个月以前发布,1100000.0,"24,826元/平",VR看装修 房本满五年 
20平台私家用露台 交通便利 。。,芳村大道西,滘口,2室1厅 ,42.44, 西南 , 精装 ,9,1988, 塔楼,92, 一年前发布,1180000.0,"27,804元/平",近地铁 VR看装修 房本满两年 
保利塞纳维拉 精致3房 独门独户  中层单位,保利塞纳维拉,龙溪,3室2厅 ,93.77, 东北 , 精装 ,18,2015, 板楼,24, 3个月以前发布,3000000.0,"31,994元/平",VR看装修 房本满五年 
怡芳苑 实用小两房 证够五年税费少 刚需上车盘,怡芳苑,花地湾,2室1厅 ,42.99, 北 东北 , 精装 ,9,1998, 塔楼,2, 2个月以前发布,1300000.0,"30,240元/平",近地铁 VR看装修 房本满五年 
近花地湾地铁站，享受Vanke花地湾项目配套，采光充足,乐怡居,花地湾,2室1厅 ,66.87, 东 , 简装 ,31,1996, 塔楼,1, 1个月以前发布,2250000.0,"33,648元/平",近地铁 VR看装修 房本满五年 
广钢鹤平小区 近地铁 配套完善,广钢鹤平小区,鹤洞,1室1厅 ,39.45, 东南 , 简装 ,6,1997, 板楼,5, 4个月以前发布,760000.0,"19,265元/平",近地铁 VR看装修 房本满五年 随时看房 
双地铁 楼龄新 小区管理 一手业主 税费低 产权清晰,龙锦大厦,龙津,2室1厅 ,83.93, 西南 , 精装 ,31,2008, 塔楼,0,28,4110000.0,"48,970元/平",近地铁 VR看装修 房本满五年 
荔湾笋盘 电梯三房 中高楼层视野开阔 地铁就在家楼下,荔湾广场,人民路,3室1厅 ,95.53, 东北 , 精装 ,30,2000, 板塔结合,1,24,2700000.0,"28,264元/平",近地铁 VR看装修 房本满五年 
中兴苑 东南靓向 电梯平层精装两房独立天台 证过五年,周门小区中兴苑,周门,2室1厅 ,60.1, 东南 , 精装 ,9,1998, 塔楼,3,28,2580000.0,"42,929元/平",近地铁 VR看装修 房本满两年 
满五唯一，东南向，精装修，厅出阳台望花园,富力广场D区,中山八,2室1厅 ,62.29, 南 , 精装 ,22,2005, 塔楼,8,24,3500000.0,"56,189元/平",近地铁 VR看装修 房本满五年 
荔湾路 低层两房 厅出阳台 户型方正,荔湾路,陈家祠,2室1厅 ,52.3, 东南 南 北 , 简装 ,8,1992, 塔楼,51,22,1800000.0,"34,417元/平",近地铁 VR看装修 房本满五年 
西湾路 精装电梯三房 大院管理 近悦汇城 满五年,西湾路,西村,3室2厅 ,64.17, 东南 , 精装 ,9,1995, 塔楼,1,22,2230000.0,"34,752元/平",近地铁 VR房源 
三面单边双阳台大两房，长寿路站旁,逢源路,西关,2室1厅 ,82.12, 西南 , 简装 ,9,1991, 塔楼,3, 2个月以前发布,2100000.0,"25,573元/平",近地铁 VR房源 房本满五年 随时看房 
小康人家大两房，满五年唯一，户型方正，配套齐全,小康人家,坑口,2室1厅 ,89.46, 西北 , 简装 ,19,2002, 塔楼,7, 2个月以前发布,2550000.0,"28,505元/平",近地铁 VR房源 房本满两年 随时看房 
万科金色荔苑 房楼龄新净，户型通透，采光视野好,万科金色荔苑,龙津,3室2厅 ,127.55, 南 北 , 精装 ,32,2006, 板塔结合,6, 6个月以前发布,7880000.0,"61,780元/平",近地铁 VR看装修 房本满五年 随时看房 
急出！原装电梯小区全新装修3房，楼龄新靠地铁,骏业阁,西关,3室1厅 ,123.52, 南 , 精装 ,25,2008, 塔楼,6, 9个月以前发布,4600000.0,"37,241元/平",近地铁 VR看装修 房本满五年 随时看房 
富力T区，东南三房带主套，方正户型，满五唯一,富力广场T区,中山八,3室2厅 ,96.43, 东南 南 东 , 精装 ,26,2005, 塔楼,4, 1个月以前发布,5200000.0,"53,926元/平",VR看装修 房本满五年 随时看房 
元邦明月水岸 高楼层 采光好 江边 大三房,元邦明月水岸,西朗,3室2厅 ,113.76, 西南 , 简装 ,30,2015, 塔楼,3, 1个月以前发布,3850000.0,"33,844元/平",近地铁 VR看装修 房本满两年 
西村地铁    高层大两房  自住,长乐花苑二期,西村,2室1厅 ,94.4, 西南 , 精装 ,32,2012, 塔楼,22, 5个月以前发布,3580000.0,"37,924元/平",近地铁 VR看装修 房本满五年 
富力广场 户型好 平层电梯 厅直出双阳台两房 安家好房,富力广场A区,中山八,2室1厅 ,60.21, 西南 , 简装 ,9,2005, 塔楼,42, 5个月以前发布,2990000.0,"49,660元/平",近地铁 VR看装修 房本满五年 
此房证满五年.电梯中层、采光通风好，出行便利近地铁,红棉苑北区,花地湾,3室2厅 ,120.0, 东 , 精装 ,11,2000, 塔楼,0, 1个月以前发布,4380000.0,"36,500元/平",近地铁 VR看装修 房本满五年 
满五唯一，户型方正，精装修三房,芳村大道西,滘口,3室1厅 ,73.14, 东南 , 精装 ,9,1988, 塔楼,100, 9个月以前发布,1450000.0,"19,825元/平",近地铁 VR看装修 房本满五年 
过五 精致两房 户型靓 采光好,金道花园,鹤洞,2室1厅 ,41.0, 北 , 精装 ,9,2000, 塔楼,48, 4个月以前发布,1280000.0,"31,220元/平",近地铁 VR房源 房本满两年 
周门西街两房一厅南向，通风采光装修好。,周门小区周门西街,周门,2室1厅 ,61.61, 东南 , 精装 ,9,1998, 塔楼,33, 5个月以前发布,1730000.0,"28,080元/平",VR看装修 房本满五年 
岭南物业，电梯小区，中高层南向看花园，南北对流,岭南湾畔,西村,2室1厅 ,81.16, 南 , 精装 ,32,2010, 塔楼,0, 1个月以前发布,4580000.0,"56,432元/平",近地铁 VR看装修 房本满五年 
电梯两房好改三房 满五唯一无抵押 生活便利交通方便,桥东小区,滘口,2室2厅 ,63.6, 东北 , 简装 ,9,1995, 塔楼,133, 一年前发布,1800000.0,"28,302元/平",近地铁 VR看装修 房本满五年 
逸彩庭院二期电梯2房，东南向，带小平台，诚心卖！,新世界逸彩庭园,滘口,2室1厅 ,71.19, 东南 , 其他 ,20,2007, 塔楼,70, 8个月以前发布,2650000.0,"37,225元/平",近地铁 VR房源 房本满五年 
证够五年 东南向 景观开阳无遮挡 近地铁400米,恒荔湾畔,芳村,2室1厅 ,74.35, 东南 , 精装 ,31,2008, 塔楼,29, 5个月以前发布,3800000.0,"51,110元/平",近地铁 VR房源 房本满五年 
力诚欣悦湾 次新楼龄 低密度小区 刚需小三房 双阳台,力诚欣悦湾,茶滘,3室2厅 ,90.05, 东北 , 精装 ,31,2018, 塔楼,14, 10个月以前发布,3580000.0,"39,756元/平",VR看装修 房本满两年 
花语水岸 南向3房带主套 通风采光好,花语水岸,大坦沙,3室2厅 ,108.28, 南 , 精装 ,26,2015, 塔楼,10, 6个月以前发布,5280000.0,"48,763元/平",近地铁 VR看装修 房本满五年 
满五唯一 北向 楼间距宽 双地铁 采光好 看江 看花园,花语水岸,大坦沙,3室2厅 ,90.34, 北 , 精装 ,26,2015, 塔楼,42, 6个月以前发布,4850000.0,"53,687元/平",近地铁 VR看装修 房本满五年 
：唐宁花园 一手购入 温馨舒适 交通生活十分便利,富力唐宁花园,西村,4室2厅 ,178.77, 南 北 , 精装 ,31,2012, 塔楼,4, 2个月以前发布,8450000.0,"47,268元/平",VR看装修 房本满两年 
高层一线江景 悦江上品 次新南向大三房 大阳台保养新,悦江上品苑,大坦沙,3室2厅 ,116.75, 东南 南 , 精装 ,26,2016, 塔楼,10, 2个月以前发布,6250000.0,"53,534元/平",近地铁 VR看装修 房本满两年 
西关海江景大平层 视野开阔 双主套精装修 过五年唯一,西关海,南岸路,4室2厅 ,249.58, 东南 , 精装 ,49,2012, 塔楼,154, 6个月以前发布,16500000.0,"66,112元/平",近地铁 VR房源 房本满五年 
自住保养好 满五唯一 中高楼层 采光通风佳 居住舒适,长乐花苑二期,西村,3室1厅 ,116.89, 东南 , 精装 ,32,2010, 塔楼,14, 3个月以前发布,4650000.0,"39,781元/平",近地铁 VR看装修 房本满五年 
万科金色康苑 中高层6地铁交汇 花园品质楼盘 视野开阔,万科金色康苑,陈家祠,3室2厅 ,123.41, 东南 , 精装 ,31,2008, 塔楼,0, 1个月以前发布,7910000.0,"64,096元/平",VR看装修 房本满五年 
此房满五唯一，少有户型，中层望花地河视野舒服,保利公园九里,龙溪,3室2厅 ,108.44, 北 , 精装 ,32,2014, 塔楼,20, 6个月以前发布,4420000.0,"40,760元/平",VR看装修 房本满五年 
封闭式小区管理，次新房，交通便利，配套完善,元邦明月水岸,西朗,3室2厅 ,100.68, 东南 , 精装 ,11,2015, 塔楼,65, 6个月以前发布,3300000.0,"32,778元/平",近地铁 VR看装修 房本满两年 
南岸路三房主套 望江户型  业主自住保养好 方正实用,荔港南湾H区,南岸路,3室2厅 ,99.5, 东北 , 精装 ,28,2008, 塔楼,80, 一年前发布,4390000.0,"44,121元/平",近地铁 VR看装修 房本满两年 
富力广场T区 正规1房 无改动 户型方正 产权清晰,富力广场T区,中山八,1室1厅 ,40.82, 北 东北 , 简装 ,25,2005, 塔楼,149, 1个月以前发布,2080000.0,"50,956元/平",VR看装修 房本满五年 随时看房 
黄沙大道，荔湾湖公园，精装修小两房，随时可看房,黄沙大道,黄沙,2室1厅 ,28.75, 东 北 , 精装 ,7,1991, 塔楼,85, 一年前发布,850000.0,"29,566元/平",近地铁 VR看装修 房本满五年 随时看房 
西门口，宏新华庭，次新房，东向，2室1厅，厅直出阳台,宏新华庭,龙津,2室1厅 ,80.1, 东 , 精装 ,32,2010, 塔楼,7, 3个月以前发布,4980000.0,"62,173元/平",近地铁 VR看装修 房本满五年 随时看房 
省心省力可领包入住 低楼层且还地铁站边,长寿西路,西关,2室1厅 ,33.49, 东南 , 精装 ,6,2000, 板楼,29, 一年前发布,1100000.0,"32,846元/平",近地铁 VR看装修 房本满五年 随时看房 
元邦明月星辉 实用两房有阳台 通风采光好 交通便利,元邦明月星辉,龙津,2室2厅 ,47.72, 北 , 简装 ,27,2011, 板塔结合,8, 2个月以前发布,2380000.0,"49,875元/平",VR看装修 房本满五年 随时看房 
陈家祠双地铁1/8号，小区管理，高层电梯，视野开阔，,华福大厦,龙津,2室1厅 ,50.94, 西 , 精装 ,28,2002, 塔楼,63, 7个月以前发布,1850000.0,"36,318元/平",近地铁 VR看装修 房本满五年 随时看房 
福州路  小区管理 低楼层 随时看房,福州路,西村,1室1厅 ,30.5, 东南 , 简装 ,6,2000, 塔楼,14, 4个月以前发布,700000.0,"22,951元/平",近地铁 VR看装修 房本满五年 随时看房 
宝华路中层 实用两房一厅 全新装修 拎包入住 随时看房,宝华路(荔湾),西关,2室1厅 ,45.59, 东 , 精装 ,7,1995, 平房,13, 2个月以前发布,1490000.0,"32,683元/平",VR房源 房本满五年 随时看房 
宝华路 原装电梯楼 东南向两房 长寿路站旁 马赛克外墙,宝华路(荔湾),西关,2室1厅 ,37.31, 东南 , 精装 ,9,1991, 塔楼,10, 2个月以前发布,1660000.0,"44,493元/平",近地铁 VR看装修 房本满五年 随时看房 
此房满5唯一，楼层适高层，实用性高。,荔港南湾,南岸路,2室1厅 ,70.75, 西南 , 精装 ,25,1999, 塔楼,50, 9个月以前发布,3200000.0,"45,230元/平",近地铁 VR房源 房本满五年 随时看房 
文昌花园  花园电小区 电梯两房  距地铁150米  满五年,文昌花园,西关,2室1厅 ,55.94, 东 , 简装 ,32,2000, 塔楼,38, 一年前发布,1960000.0,"35,038元/平",近地铁 VR看装修 房本满五年 随时看房 
文昌南路 精装修两房 通风采光好 满五唯一 产权清晰,文昌南路,西关,2室2厅 ,46.22, 东 , 精装 ,8,2010, 塔楼,6, 1个月以前发布,1550000.0,"33,536元/平",近地铁 VR看装修 房本满五年 随时看房 
桃源小区电梯高层小户形 业主全新装修 满五年,桃源社区,西华路,1室0厅 ,14.68, 北 , 精装 ,9,1991, 塔楼,24, 3个月以前发布,670000.0,"45,641元/平",VR看装修 房本满五年 随时看房 
名汇大厦高层电梯两房 新装修 南向视野开阔,名汇商业大厦,西关,2室1厅 ,70.0, 南 , 精装 ,32,2000, 塔楼,32, 10个月以前发布,2750000.0,"39,286元/平",VR房源 房本满五年 随时看房 
金花小区 马赛克外墙楼龄新 中层方正两房,金花小区,西华路,2室1厅 ,39.74, 北 , 精装 ,9,2003, 塔楼,14, 2个月以前发布,1200000.0,"30,197元/平",VR看装修 房本满五年 随时看房 
市政东苑  户型方正 低楼层 视野开阔,市政东苑,南岸路,1室1厅 ,46.44, 南 , 简装 ,9,1990, 塔楼,11, 2个月以前发布,930000.0,"20,026元/平",近地铁 VR房源 房本满五年 随时看房 
金宇花园 电梯两房 南向 户型方正,金宇花园,东塱,2室1厅 ,61.16, 南 北 , 简装 ,9,1995, 塔楼,16, 4个月以前发布,1650000.0,"26,979元/平",VR看装修 房本满五年 随时看房 
合兴苑小区 实用小两房 低层单位 有匙即看,合兴苑,花地湾,2室1厅 ,56.82, 东南 , 简装 ,8,1997, 板楼,3, 2个月以前发布,1500000.0,"26,400元/平",近地铁 VR房源 房本满五年 随时看房 
万科金域华府 媲美整路段一手楼  南北对流有入户空间,万科金域华府,龙津,3室1厅 ,72.49, 西北 , 精装 ,32,2009, 塔楼,68, 5个月以前发布,5450000.0,"75,183元/平",近地铁 VR看装修 房本满五年 随时看房 
金花小区 中层单位 单边位 采光好,金花小区,西华路,2室1厅 ,68.8, 东北 , 精装 ,8,2003, 塔楼,14, 6个月以前发布,2600000.0,"37,791元/平",近地铁 VR看装修 房本满五年 随时看房 
证够五年  唯一物业   电梯已加装使用中,金兰苑,汾水,2室1厅 ,52.33, 东南 , 简装 ,9,2001, 塔楼,0, 1个月以前发布,1320000.0,"25,225元/平",VR看装修 房本满五年 随时看房 
5.8号线双地铁口 马赛克外墙楼龄新满五年 即买即收租,业丰花园,西村,1室1厅 ,46.78, 西南 , 简装 ,9,1996, 塔楼,7, 2个月以前发布,1100000.0,"23,515元/平",近地铁 VR房源 房本满五年 随时看房 
鸿图苑 电梯两房 证满5年 配套完善 交通便利,鸿图苑,汾水,2室1厅 ,65.0, 西北 , 简装 ,9,1995, 塔楼,8, 3个月以前发布,1700000.0,"26,154元/平",VR房源 房本满五年 随时看房 
荔湾湖旁，电梯精装三房，小区管理，业主急卖，,黄沙大道,黄沙,3室1厅 ,70.2, 东南 , 精装 ,8,1997, 塔楼,133, 5个月以前发布,2700000.0,"38,462元/平",近地铁 VR房源 房本满五年 随时看房 
周门 西外 户型劲方正 正南向yyds实用全明 两房,周门小区周门西街,周门,2室1厅 ,61.61, 东南 , 毛坯 ,9,1998, 塔楼,7, 1个月以前发布,1880000.0,"30,515元/平",VR看装修 房本满五年 随时看房 
荔湾广场 电梯中层两房 采光好 老城区成熟配套,荔湾广场,人民路,2室1厅 ,79.6, 东北 , 简装 ,30,2000, 板塔结合,99, 一年前发布,1730000.0,"21,734元/平",近地铁 VR房源 房本满五年 随时看房 
95年顶楼带天台已做好防水隔热电梯大3房，满五唯一,田间苑小区,南岸路,3室2厅 ,84.04, 南 , 毛坯 ,9,1991, 塔楼,16, 5个月以前发布,2330000.0,"27,725元/平",近地铁 VR看装修 房本满五年 随时看房 
东鹏二期 满五唯一 原装电梯 带平台 户型方正实用两房,东鹏花园二期,坑口,2室1厅 ,62.53, 西南 , 精装 ,12,1997, 塔楼,33, 5个月以前发布,2000000.0,"31,985元/平",近地铁 VR房源 房本满五年 随时看房 
地铁盘绕 闹中带静 大三房灵动 高层电梯房近公园,流花路39号大院,流花站前,3室2厅 ,96.53, 北 , 精装 ,9,1992, 暂无数据,28, 7个月以前发布,2720000.0,"28,178元/平",VR看装修 房本满五年 随时看房 
小康人家大两房，满五年唯一，户型方正，配套齐全,小康人家,坑口,2室1厅 ,89.46, 西北 , 简装 ,19,2002, 塔楼,7, 2个月以前发布,2550000.0,"28,505元/平",近地铁 VR房源 房本满两年 随时看房 
各付各税此房望小区花园花地河，实用四房。带入户,远东御江豪庭,茶滘,4室2厅 ,126.58, 南 西 , 精装 ,15,2015, 塔楼,123, 一年前发布,4650000.0,"36,736元/平",VR看装修 房本满两年 随时看房 
富力环市西苑大一房业主诚意卖  适合刚需白领读书,富力环市西苑,西村,1室1厅 ,45.39, 西 , 简装 ,15,2000, 塔楼,5, 3个月以前发布,2170000.0,"47,808元/平",近地铁 VR看装修 房本满五年 随时看房 
此房满五 温馨实用三房 厅出阳台,荔港南湾,南岸路,3室1厅 ,76.08, 东北 , 精装 ,32,2008, 塔楼,0, 1个月以前发布,3550000.0,"46,662元/平",近地铁 VR看装修 房本满五年 随时看房 
安静宜居 产权清晰 装修靓 保养新,华康居,陈家祠,1室1厅 ,40.61, 北 , 精装 ,20,2001, 塔楼,25, 一年前发布,1800000.0,"44,325元/平",VR看装修 房本满五年 
富力广场锦上居 南向望花园 四房带主套 采光通风好,富力广场D区,中山八,4室2厅 ,127.9, 南 , 简装 ,26,2005, 塔楼,43, 6个月以前发布,7200000.0,"56,294元/平",近地铁 VR看装修 房本满五年 
荔湖明苑 小区管理 中高楼层 视野开阔 户型方正,荔湖明苑,黄沙,2室1厅 ,64.5, 西 , 精装 ,23,1999, 塔楼,8, 2个月以前发布,2800000.0,"43,411元/平",近地铁 VR看装修 房本满五年 
西湾苑    满五税费少    通风采光好   交通便利,西湾苑,西村,2室1厅 ,62.91, 北 西 , 简装 ,9,1994, 塔楼,0, 1个月以前发布,1900000.0,"30,202元/平",近地铁 VR看装修 房本满五年 
西门口广场，二期，望花园泳池，无遮挡采光好，2房,西门口广场,西华路,2室1厅 ,65.49, 东南 东北 , 精装 ,25,2008, 塔楼,4, 2个月以前发布,3780000.0,"57,719元/平",VR看装修 房本满五年 
金道花园 3房一厅 西朗地铁 小区管理 采光通风好,金道花园,鹤洞,3室1厅 ,73.24, 南 , 精装 ,9,2000, 塔楼,7, 3个月以前发布,2050000.0,"27,991元/平",近地铁 VR看装修 房本满五年 
