南北通透双阳台！一线瞰湖！看房方便,南沙奥园,南沙湾,3室1厅 ,134.16, 南 北 , 精装 ,11,2012, 塔楼,0,5,2050000.0,"15,281元/平",VR房源 房本满两年 随时看房 
品质优良，开发商物业，大型社区,南沙金茂湾,明珠湾,3室2厅 ,116.26, 南 北 , 毛坯 ,32,2017, 塔楼,2, 5个月以前发布,4500000.0,"38,707元/平",VR看装修 房本满两年 随时看房 
业主诚意卖3房2卫南向望湖全新未入住,叠翠峰,南沙区府,3室2厅 ,97.73, 南 , 精装 ,17,2017, 板楼,115, 一年前发布,3260000.0,"33,358元/平",近地铁 VR看装修 房本满两年 随时看房 
进望达，户型方正，采光通风好。。,海璟奥园,金洲,3室2厅 ,127.02, 北 , 毛坯 ,25,2011, 塔楼,1, 一年前发布,2920000.0,"22,989元/平",VR看装修 房本满五年 随时看房 
阳光城丽景湾居家生活都适宜，你值得拥有,阳光城丽景湾,进港大道,3室2厅 ,130.84, 东南 , 精装 ,30,2017, 塔楼,14, 一年前发布,3000000.0,"22,929元/平",VR看装修 房本满两年 随时看房 
碧桂园天玺湾 3室2厅 东北,碧桂园天玺湾,进港大道,3室2厅 ,108.47, 东北 , 精装 ,26,2014, 板塔结合,0, 1个月以前发布,2750000.0,"25,353元/平",VR房源 房本满两年 随时看房 
此房中高层，南向，安静舒适，小区环境好,阳光城丽景湾,进港大道,3室2厅 ,133.75, 南 , 其他 ,28,2017, 塔楼,0, 6个月以前发布,3130000.0,"23,402元/平",VR看装修 房本满两年 随时看房 
阳光城香缇溪岸 3室2厅 北,阳光城香缇溪岸,进港大道,3室2厅 ,167.42, 北 , 毛坯 ,11,2015, 塔楼,41, 4个月以前发布,2500000.0,"14,933元/平",VR房源 房本满两年 随时看房 
南沙奥园 3室2厅 南 北,南沙奥园,南沙湾,3室2厅 ,141.0, 南 北 , 精装 ,7,2012, 塔楼,2, 1个月以前发布,1860000.0,"13,192元/平",近地铁 VR房源 房本满两年 随时看房 
明珠湾越秀滨海珺城  南向望江四房 全新未入住,越秀滨海珺城,明珠湾,4室2厅 ,154.35, 南 , 精装 ,26,2015, 塔楼,19, 5个月以前发布,4300000.0,"27,859元/平",近地铁 VR看装修 房本满五年 随时看房 
南沙境界南向小三房，户型少有， 随时可看  快快快,南沙境界家园,黄阁,3室2厅 ,88.0, 南 , 精装 ,17,2013, 板塔结合,0, 1个月以前发布,1870000.0,"21,250元/平",VR看装修 房本满两年 随时看房 
装修保养免费车位很好视野开阔三房两厅两卫 南向,越秀滨海悦城,金洲,3室2厅 ,120.92, 南 , 精装 ,31,2013, 塔楼,35, 一年前发布,3700000.0,"30,599元/平",VR看装修 房本满两年 随时看房 
时代南湾126平海景大三房，满五不唯一，业主诚心出*,时代南湾,南沙港,3室2厅 ,126.45, 东 东南 , 精装 ,19,2012, 板塔结合,65, 一年前发布,3050000.0,"24,121元/平",VR看装修 房本满五年 随时看房 
房源优势：近地铁站，对望*达广场，蕉门河景观,中惠璧珑湾,南沙区府,3室2厅 ,115.34, 南 北 , 简装 ,26,2015, 板塔结合,64, 一年前发布,3530000.0,"30,606元/平",近地铁 VR看装修 房本满五年 随时看房 
南北对流双阳台 高层视野开阔   业主诚心放卖,南沙境界家园,黄阁,3室1厅 ,117.96, 东北 , 毛坯 ,26,2013, 板塔结合,2, 2个月以前发布,2350000.0,"19,923元/平",VR看装修 房本满五年 随时看房 
区政府旁南北对流精装3房 保养好 随时都可看房,万科府前一号,南沙区府,3室2厅 ,123.25, 南 北 , 精装 ,28,2014, 板楼,4, 9个月以前发布,3300000.0,"26,775元/平",VR看装修 房本满五年 随时看房 
正真配套齐全又成熟地段的小区。,广州时代云图,金洲,3室1厅 ,81.89, 北 , 精装 ,31,2016, 塔楼,9, 9个月以前发布,2200000.0,"26,866元/平",VR看装修 房本满两年 随时看房 
南沙境界精装南向三房，中楼层，望小区花园，位置安静,南沙境界家园,黄阁,3室2厅 ,97.26, 南 北 , 精装 ,25,2013, 板塔结合,4, 6个月以前发布,2260000.0,"23,237元/平",VR看装修 房本满五年 随时看房 
龙光棕榈水岸南区 满五年 南向别墅 带车位 带前后花园,龙光棕榈水岸南区,南沙区府,4室2厅 ,262.24, 南 , 毛坯 ,3,2013, 板塔结合,53, 11个月以前发布,6580000.0,"25,092元/平",VR房源 房本满五年 随时看房 
区府精致三房，满五年，税费少 婚房装修,万科府前一号,南沙区府,3室2厅 ,90.66, 南 , 精装 ,28,2014, 板楼,15, 7个月以前发布,2650000.0,"29,231元/平",VR看装修 房本满五年 随时看房 
房过五唯一，景观好！指标户口均无占用。可带出车位！,广州时代云图,金洲,3室2厅 ,93.1, 南 , 其他 ,26,2016, 塔楼,0, 3个月以前发布,2700000.0,"29,002元/平",VR看装修 房本满五年 随时看房 
龙光棕榈水岸南区 3室2厅 南,龙光棕榈水岸南区,南沙区府,3室2厅 ,97.01, 南 , 精装 ,18,2013, 板塔结合,1, 3个月以前发布,2900000.0,"29,894元/平",VR看装修 房本满五年 随时看房 
龙光三房，看小区花园，满五唯一税费少,龙光棕榈水岸北区,南沙区府,3室2厅 ,108.44, 南 , 精装 ,17,2010, 塔楼,7, 11个月以前发布,3350000.0,"30,893元/平",近地铁 VR看装修 房本满五年 随时看房 
业主诚心出* 房子满五不唯一 南沙境界  看房方便,南沙境界家园,黄阁,4室2厅 ,160.75, 东南 , 毛坯 ,4,2007, 塔楼,254, 一年前发布,2680000.0,"16,672元/平",VR房源 房本满五年 随时看房 
房子满五唯一 税费低 保养好 成熟区域 业主诚心出*,丰庭花园,金洲,3室2厅 ,92.47, 北 , 精装 ,15,2005, 板楼,8, 一年前发布,1820000.0,"19,683元/平",VR看装修 房本满五年 随时看房 
园林景观大三房，高楼层视野好。,南沙金茂湾,明珠湾,3室2厅 ,95.46, 南 , 毛坯 ,32,2018, 塔楼,70, 一年前发布,3350000.0,"35,094元/平",VR看装修 房本满两年 随时看房 
小区中位置 满五低税费 全新未住过,万科府前一号,南沙区府,4室2厅 ,141.68, 南 北 , 精装 ,18,2014, 板楼,7, 7个月以前发布,4140000.0,"29,221元/平",VR看装修 房本满五年 随时看房 
龙光三房，看小区花园，满五唯一税费少,龙光棕榈水岸北区,南沙区府,3室2厅 ,108.44, 南 , 精装 ,17,2010, 塔楼,7, 11个月以前发布,3350000.0,"30,893元/平",近地铁 VR看装修 房本满五年 随时看房 
业主诚心出* 房子满五不唯一 南沙境界  看房方便,南沙境界家园,黄阁,4室2厅 ,160.75, 东南 , 毛坯 ,4,2007, 塔楼,254, 一年前发布,2680000.0,"16,672元/平",VR房源 房本满五年 随时看房 
龙光棕榈区府大三房 南北对流 通透采光好,龙光棕榈水岸北区,南沙区府,3室2厅 ,116.7, 南 北 , 其他 ,11,2012, 塔楼,6, 一年前发布,3500000.0,"29,992元/平",VR看装修 房本满五年 随时看房 
南北对流，双阳台，一梯两户，高层非顶楼,万科府前一号,南沙区府,3室2厅 ,119.84, 南 北 , 精装 ,11,2014, 板楼,15, 7个月以前发布,3310000.0,"27,621元/平",VR看装修 房本满两年 随时看房 
滨海隽城，唯一一套保养新净的，东南向，对流三房,越秀滨海隽城,金洲,3室2厅 ,120.67, 东南 , 精装 ,18,2012, 塔楼,7, 8个月以前发布,3390000.0,"28,094元/平",VR看装修 房本满两年 随时看房 
龙光棕榈水岸南区 3室2厅 东南,龙光棕榈水岸南区,南沙区府,3室2厅 ,97.01, 东南 , 其他 ,18,2013, 板塔结合,0, 7个月以前发布,2600000.0,"26,802元/平",VR看装修 房本满五年 随时看房 
户型朝东南，楼层好，视野宽阔，采光充足，配套齐全。,阳光城丽景湾,进港大道,3室2厅 ,104.57, 南 东 , 精装 ,28,2017, 塔楼,23, 一年前发布,2350000.0,"22,473元/平",VR看装修 房本满两年 随时看房 
万科府前花园中楼层三房两卫满五唯一毛坯,万科府前一号,南沙区府,3室2厅 ,122.15, 北 , 毛坯 ,28,2014, 板楼,6, 7个月以前发布,3000000.0,"24,560元/平",VR看装修 房本满五年 随时看房 
视野开阔 通风采光好 格局方正 配套齐全 交通便利,南沙碧桂园,金洲,3室2厅 ,152.27, 南 , 其他 ,11,2007, 板塔结合,3, 3个月以前发布,2660000.0,"17,469元/平",VR看装修 房本满五年 随时看房 
龙光物业 带装修大阳台 业主诚心卖 户型方正,龙光棕榈水岸南区,南沙区府,3室2厅 ,113.96, 南 北 , 精装 ,18,2013, 板塔结合,11, 10个月以前发布,2850000.0,"25,009元/平",VR看装修 房本满五年 随时看房 
碧桂园豪庭 南向三房 大阳台 视野好,南沙碧桂园豪庭,金洲,3室1厅 ,107.55, 南 , 精装 ,18,2012, 塔楼,14, 5个月以前发布,2450000.0,"22,781元/平",近地铁 VR房源 房本满五年 随时看房 
业主全新装修 没有住过 看房方便,明珠花园(南沙区),金洲,3室2厅 ,121.3, 南 , 精装 ,12,1999, 塔楼,36, 10个月以前发布,1460000.0,"12,037元/平",VR房源 房本满五年 随时看房 
越秀国际总部广场 五米层高 不需要名义购买 有红本,越秀国际总部广场,金洲,3室2厅 ,63.0, 南 , 其他 ,34,2017, 板塔结合,3, 7个月以前发布,1450000.0,"23,016元/平",房本满五年 随时看房 
景观*好大三房 通风效果佳 全新装修未住过 随时看房,阳光城丽景湾,进港大道,3室2厅 ,113.02, 南 , 精装 ,30,2017, 塔楼,7, 一年前发布,3100000.0,"27,429元/平",VR房源 房本满两年 随时看房 
区府旁 万科府前一号 南北对流户型过五税费低随时看房,万科府前一号,南沙区府,3室2厅 ,119.55, 南 , 其他 ,11,2014, 板楼,1, 1个月以前发布,3500000.0,"29,277元/平",VR看装修 房本满五年 随时看房 
碧桂园天玺湾 东南向一线望湖望海 满五 户口未占用,碧桂园天玺湾,进港大道,3室2厅 ,93.07, 东南 , 精装 ,30,2014, 板塔结合,0, 1个月以前发布,2380000.0,"25,573元/平",VR房源 房本满五年 随时看房 
业主诚心出 4房3卫 望海单位 单边位 东南向 高层,时代南湾,南沙港,4室2厅 ,181.88, 南 , 其他 ,32,2015, 板塔结合,0, 1个月以前发布,5660000.0,"31,120元/平",VR看装修 房本满两年 随时看房 
高层望花园，毛坯任意装修，蕉门板块,南沙境界家园,黄阁,3室2厅 ,97.86, 东北 , 其他 ,27,2013, 板塔结合,1, 3个月以前发布,1950000.0,"19,927元/平",VR看装修 房本满五年 随时看房 
区府旁 120方 3房2卫  看房方便,南沙境界家园,黄阁,3室2厅 ,120.84, 南 , 精装 ,17,2007, 塔楼,1, 2个月以前发布,2250000.0,"18,620元/平",VR房源 房本满五年 随时看房 
万科府前一号 3室1厅 西南,万科府前一号,南沙区府,3室1厅 ,122.78, 西南 , 其他 ,30,2014, 板楼,1, 2个月以前发布,3150000.0,"25,656元/平",VR房源 房本满五年 随时看房 
万科府前花园，中高层，全明格局，前看园景后望湖,万科府前一号,南沙区府,4室2厅 ,143.37, 南 北 , 精装 ,18,2014, 板楼,60, 一年前发布,3980000.0,"27,761元/平",VR看装修 房本满两年 随时看房 
碧桂园花园式洋房 3房 小区环境优美 依山畔湖,南沙碧桂园,金洲,3室2厅 ,109.0, 北 , 简装 ,11,2007, 板塔结合,0, 3个月以前发布,1900000.0,"17,432元/平",VR看装修 房本满五年 随时看房 
时代南湾 高层望海 户口无占用 看房随时 过五唯一,时代南湾,南沙港,3室1厅 ,92.84, 东 , 简装 ,32,2013, 板塔结合,2, 2个月以前发布,2300000.0,"24,774元/平",VR看装修 房本满五年 随时看房 
时代南湾 精装三房 中高楼层 业主诚意出*,时代南湾,南沙港,3室2厅 ,128.85, 南 , 精装 ,24,2012, 板塔结合,18, 一年前发布,2970000.0,"23,051元/平",VR看装修 房本满五年 随时看房 
满五不唯一，南北对流，看湖景，随时可以看房,碧桂园天玺湾,进港大道,3室2厅 ,98.0, 东北 , 其他 ,29,2014, 板塔结合,3, 9个月以前发布,2520000.0,"25,715元/平",VR房源 房本满五年 随时看房 
时代南湾大平层，大阳台，大户型诚意放卖,时代南湾,南沙港,5室2厅 ,282.16, 东南 南 , 简装 ,29,2013, 塔楼,2, 3个月以前发布,6990000.0,"24,774元/平",VR看装修 房本满五年 随时看房 
此房自住，实用三房满五年，安静望花园，保养好,越秀滨海珺城,明珠湾,3室2厅 ,125.92, 北 , 精装 ,23,2014, 塔楼,5, 4个月以前发布,3450000.0,"27,399元/平",近地铁 VR看装修 房本满五年 随时看房 
叠翠峰 3室1厅 南,叠翠峰,南沙区府,3室1厅 ,89.03, 南 , 精装 ,32,2017, 塔楼,6, 7个月以前发布,2980000.0,"33,472元/平",VR房源 房本满两年 随时看房 
碧桂园天玺湾 精装两房 采光好 视野开阔,碧桂园天玺湾,进港大道,2室2厅 ,76.88, 北 , 精装 ,18,2014, 板塔结合,7, 一年前发布,1750000.0,"22,763元/平",VR房源 房本满五年 随时看房 
金茂湾看海，户型好，南向，3房。,南沙金茂湾,明珠湾,3室2厅 ,82.52, 南 , 简装 ,26,2016, 板塔结合,30, 一年前发布,1710000.0,"20,723元/平",房本满五年 随时看房 
满 五 唯 一，南 向 格 局 方 正 通 透 三 房,南沙境界家园,黄阁,3室2厅 ,97.4, 南 , 简装 ,22,2013, 板塔结合,10, 10个月以前发布,2000000.0,"20,534元/平",VR看装修 房本满五年 随时看房 
南沙境界中高层望园林3房 安静舒适,南沙境界家园,黄阁,3室2厅 ,97.79, 东 西 , 精装 ,27,2013, 板塔结合,1, 1个月以前发布,1900000.0,"19,430元/平",VR房源 房本满两年 随时看房 
时代南湾靠湖三期大四房 产权清晰,时代南湾,南沙港,4室2厅 ,166.26, 东南 , 精装 ,32,2015, 板塔结合,3, 3个月以前发布,4300000.0,"25,864元/平",VR看装修 房本满两年 随时看房 
时代长岛   高楼层   看山景   采光充足,时代长岛,进港大道,3室2厅 ,109.0, 南 北 , 其他 ,29,2016, 塔楼,1, 3个月以前发布,2500000.0,"22,936元/平",VR看装修 房本满两年 随时看房 
南沙珠江湾 3室1厅 南,南沙珠江湾,南沙湾,3室1厅 ,138.55, 南 , 其他 ,18,2012, 板塔结合,3, 4个月以前发布,2850000.0,"20,571元/平",VR看装修 房本满两年 随时看房 
大岗翡翠蓝湾北区 3室2厅 南,大岗翡翠蓝湾北区,大岗镇,3室2厅 ,100.01, 南 , 其他 ,18,2015, 塔楼,1, 3个月以前发布,1500000.0,"14,999元/平",VR看装修 房本满两年 随时看房 
精致三房，区府旁，地铁口。业主诚心放买。,叠翠峰,南沙区府,3室2厅 ,89.29, 南 , 精装 ,31,2017, 塔楼,29, 3个月以前发布,2780000.0,"31,135元/平",VR看装修 房本满五年 随时看房 
高层望花园，毛坯任意装修，蕉门板块,南沙境界家园,黄阁,3室2厅 ,97.86, 东北 , 其他 ,27,2013, 板塔结合,1, 3个月以前发布,1950000.0,"19,927元/平",VR看装修 房本满五年 随时看房 
小区中位置 满五低税费 全新未住过,万科府前一号,南沙区府,4室2厅 ,141.68, 南 北 , 精装 ,18,2014, 板楼,7, 7个月以前发布,4140000.0,"29,221元/平",VR看装修 房本满五年 随时看房 
境界景观好四房 过五业主包全屋家私电器,南沙境界家园,黄阁,4室2厅 ,140.79, 南 北 , 精装 ,22,2013, 板塔结合,18, 10个月以前发布,2890000.0,"20,528元/平",VR看装修 房本满五年 随时看房 
急出手 满五唯一 四房 南北对流 采光通风 自住保样好,万科府前一号,南沙区府,4室2厅 ,143.03, 东 西 , 精装 ,18,2014, 板楼,3, 7个月以前发布,3950000.0,"27,617元/平",VR看装修 房本满五年 随时看房 
金洲地铁口物业品质小区南向大三房 业主诚心卖,越秀滨海隽城,金洲,3室2厅 ,118.95, 南 , 精装 ,16,2012, 塔楼,2, 5个月以前发布,3350000.0,"28,164元/平",VR看装修 房本满两年 随时看房 
南沙蜜柚  标准三房2卫  户型方正  看房提前约,碧桂园蜜柚,进港大道,3室2厅 ,98.67, 东南 , 其他 ,27,2018, 塔楼,3, 5个月以前发布,2660000.0,"26,959元/平",VR看装修 房本满两年 随时看房 
明珠湾CBD精装四房，视野开阔。,南沙金茂湾,明珠湾,3室1厅 ,138.32, 东南 , 精装 ,32,2017, 塔楼,7, 8个月以前发布,5180000.0,"37,450元/平",VR房源 房本满两年 随时看房 
天玺湾满五唯一大三房，业主诚意急卖,碧桂园天玺湾,进港大道,3室2厅 ,117.0, 东北 , 精装 ,17,2014, 板塔结合,5, 11个月以前发布,2850000.0,"24,359元/平",VR房源 房本满五年 随时看房 
越秀滨海悦城毛坯大三房，中间层，朝向好，金洲板块,越秀滨海悦城,金洲,3室2厅 ,117.13, 东南 , 毛坯 ,31,2013, 塔楼,1, 7个月以前发布,3800000.0,"32,443元/平",近地铁 VR看装修 房本满两年 随时看房 
实用三房，中楼层，南北对流，满五，自 带 车位,南沙保利城,黄阁,3室2厅 ,89.57, 南 北 , 精装 ,26,2017, 塔楼,26, 5个月以前发布,2020000.0,"22,553元/平",VR看装修 房本满五年 随时看房 
"灵山岛尖未来的CBD旁,南沙金茂湾高档住宅小区",南沙金茂湾,明珠湾,3室2厅 ,97.0, 东 , 精装 ,32,2017, 塔楼,25, 一年前发布,3620000.0,"37,320元/平",VR看装修 房本满两年 随时看房 
明珠湾板块，与灵山岛仅一河之隔,南沙金茂湾,明珠湾,3室2厅 ,96.0, 西南 , 毛坯 ,32,2016, 塔楼,25, 6个月以前发布,3300000.0,"34,375元/平",VR看装修 房本满两年 随时看房 
此房是南湾标准四房 产权清晰户型方正 可望湖望海,时代南湾,南沙港,4室2厅 ,138.73, 东南 , 精装 ,32,2013, 板塔结合,25, 3个月以前发布,3350000.0,"24,148元/平",VR看装修 房本满五年 随时看房 
南沙区天玺湾小区精装三房，诚意放盘,碧桂园天玺湾,进港大道,3室1厅 ,102.63, 北 , 精装 ,26,2014, 板塔结合,7, 4个月以前发布,2320000.0,"22,606元/平",VR房源 房本满五年 随时看房 
这一套房满五税少.全新没入住过.业主是朋友.可看房,碧桂园天玺湾,进港大道,3室2厅 ,102.59, 北 , 精装 ,27,2014, 板塔结合,36, 4个月以前发布,2250000.0,"21,932元/平",VR房源 房本满五年 随时看房 
此房已经证过五年唯一房屋采光比较好，通透,碧桂园天玺湾,进港大道,3室2厅 ,89.0, 东南 , 精装 ,31,2014, 板塔结合,0, 1个月以前发布,2450000.0,"27,529元/平",VR房源 房本满五年 随时看房 
南沙珠江湾 3室2厅 南,南沙珠江湾,南沙湾,3室2厅 ,128.54, 南 , 精装 ,18,2012, 板塔结合,0, 2个月以前发布,2650000.0,"20,617元/平",VR看装修 房本满五年 随时看房 
南沙滨海珺城  高楼层东南向望江  钥匙在手  方便看房,越秀滨海珺城,明珠湾,3室2厅 ,123.46, 东南 , 精装 ,23,2014, 塔楼,1, 2个月以前发布,3930000.0,"31,833元/平",近地铁 VR看装修 房本满两年 随时看房 
房证过五年 业主诚意放卖 看房随时 业主偶尔回来度假,时代南湾,南沙港,4室2厅 ,124.17, 东北 , 其他 ,32,2012, 板塔结合,0, 1个月以前发布,3780000.0,"30,443元/平",VR看装修 房本满五年 随时看房 
珠江湾高层南向大三房，全新未住。,南沙珠江湾,南沙湾,3室1厅 ,133.66, 南 , 其他 ,25,2012, 板塔结合,10, 4个月以前发布,2800000.0,"20,949元/平",VR看装修 房本满两年 随时看房 
越秀滨海隽城，三房带主套，南北对流，满五年,越秀滨海隽城,金洲,3室2厅 ,123.96, 北 南 , 精装 ,16,2012, 塔楼,46, 9个月以前发布,3000000.0,"24,202元/平",VR看装修 房本满五年 随时看房 
房子满五唯一 税费低 保养好 成熟区域 业主诚心出*,丰庭花园,金洲,3室2厅 ,92.47, 北 , 精装 ,15,2005, 板楼,8, 一年前发布,1820000.0,"19,683元/平",VR看装修 房本满五年 随时看房 
园林景观大三房，高楼层视野好。,南沙金茂湾,明珠湾,3室2厅 ,95.46, 南 , 毛坯 ,32,2018, 塔楼,70, 一年前发布,3350000.0,"35,094元/平",VR看装修 房本满两年 随时看房 
明珠湾CBD板块，央企金茂湾开发商。,南沙金茂湾,明珠湾,3室1厅 ,124.73, 南 , 毛坯 ,32,2016, 塔楼,0, 6个月以前发布,5150000.0,"41,290元/平",VR看装修 房本满两年 随时看房 
近地铁口 出行方便 环境优美宜居,南沙奥园,南沙湾,3室2厅 ,135.44, 南 , 毛坯 ,9,2012, 塔楼,12, 6个月以前发布,2165000.0,"15,985元/平",近地铁 VR看装修 房本满五年 随时看房 
三房两卫，实用率高，处于单边位安静，双阳台。,南沙金茂湾,明珠湾,3室1厅 ,96.86, 东 西 , 毛坯 ,32,2017, 塔楼,5, 2个月以前发布,2950000.0,"30,457元/平",VR看装修 房本满两年 随时看房 
正真配套齐全又成熟地段的小区。,广州时代云图,金洲,3室1厅 ,81.89, 北 , 精装 ,31,2016, 塔楼,9, 9个月以前发布,2200000.0,"26,866元/平",VR看装修 房本满两年 随时看房 
此房满五不唯一近地铁，南沙必看好房，业主诚心放卖。,丰庭花园,金洲,3室2厅 ,90.27, 南 北 , 精装 ,15,2005, 板楼,47, 一年前发布,1900000.0,"21,048元/平",VR看装修 房本满五年 随时看房 
蒲州一路旁小区房源，出行方便，居家便利,优山悦海,南沙港,4室1厅 ,140.1, 南 北 , 精装 ,18,2013, 塔楼,5, 一年前发布,3400000.0,"24,269元/平",近地铁 VR看装修 房本满五年 随时看房 
区政府旁南北对流精装3房 保养好 随时都可看房,万科府前一号,南沙区府,3室2厅 ,123.25, 南 北 , 精装 ,28,2014, 板楼,4, 9个月以前发布,3300000.0,"26,775元/平",VR看装修 房本满五年 随时看房 
金洲三房带车位 视野开阔 采光充足 格局方正,碧桂园蜜柚,进港大道,3室2厅 ,85.63, 北 , 其他 ,27,2018, 塔楼,8, 一年前发布,2050000.0,"23,941元/平",VR看装修 房本满两年 随时看房 
实用大户型，看房有钥匙，过五唯一。,越秀滨海珺城,明珠湾,4室2厅 ,166.24, 南 , 精装 ,26,2011, 塔楼,2, 4个月以前发布,4980000.0,"29,957元/平",近地铁 VR看装修 房本满五年 随时看房 
时代长岛   高楼层   看山景   采光充足,时代长岛,进港大道,3室2厅 ,109.0, 南 北 , 其他 ,29,2016, 塔楼,1, 3个月以前发布,2500000.0,"22,936元/平",VR看装修 房本满两年 随时看房 
南沙珠江湾 3室1厅 南,南沙珠江湾,南沙湾,3室1厅 ,138.55, 南 , 其他 ,18,2012, 板塔结合,3, 4个月以前发布,2850000.0,"20,571元/平",VR看装修 房本满两年 随时看房 
叠翠峰大三房，东南向全明格局，小区人车分流,叠翠峰,南沙区府,3室1厅 ,95.72, 南 , 其他 ,22,2017, 板楼,9, 一年前发布,3600000.0,"37,610元/平",近地铁 VR看装修 房本满两年 随时看房 
南沙金州板块  创鸿嘉园 房产证过5年  省税看房方便,创鸿嘉园,金洲,4室2厅 ,142.06, 南 东南 , 毛坯 ,31,2013, 塔楼,1, 一年前发布,3300000.0,"23,230元/平",VR看装修 房本满五年 随时看房 
南沙金茂湾 3室1厅 东 西,南沙金茂湾,明珠湾,3室1厅 ,96.64, 东 西 , 毛坯 ,32,2017, 塔楼,0, 11个月以前发布,3950000.0,"40,874元/平",VR房源 房本满两年 随时看房 
楼层好，采光通风好，视野宽阔。,南沙境界家园,黄阁,3室2厅 ,97.0, 南 , 其他 ,26,2013, 板塔结合,18, 9个月以前发布,1900000.0,"19,588元/平",VR看装修 房本满五年 随时看房 
南北对流双阳台 高层视野开阔   业主诚心放卖,南沙境界家园,黄阁,3室1厅 ,117.96, 东北 , 毛坯 ,26,2013, 板塔结合,2, 2个月以前发布,2350000.0,"19,923元/平",VR看装修 房本满五年 随时看房 
南沙境界南向小三房，户型少有， 随时可看  快快快,南沙境界家园,黄阁,3室2厅 ,88.0, 南 , 精装 ,17,2013, 板塔结合,0, 1个月以前发布,1870000.0,"21,250元/平",VR看装修 房本满两年 随时看房 
房源优势：近地铁站，对望*达广场，蕉门河景观,中惠璧珑湾,南沙区府,3室2厅 ,115.34, 南 北 , 简装 ,26,2015, 板塔结合,64, 一年前发布,3530000.0,"30,606元/平",近地铁 VR看装修 房本满五年 随时看房 
装修保养免费车位很好视野开阔三房两厅两卫 南向,越秀滨海悦城,金洲,3室2厅 ,120.92, 南 , 精装 ,31,2013, 塔楼,35, 一年前发布,3700000.0,"30,599元/平",VR看装修 房本满两年 随时看房 
越秀悦城大三房，南向高层，安静阳光，满五唯一,越秀滨海悦城,金洲,3室1厅 ,117.13, 南 , 毛坯 ,31,2013, 塔楼,0, 2个月以前发布,3600000.0,"30,736元/平",近地铁 VR看装修 房本满五年 随时看房 
南沙区[执信]旁碧桂园天玺湾精装三房两厅两卫诚意放卖,碧桂园天玺湾,进港大道,3室2厅 ,98.01, 北 , 简装 ,31,2014, 板塔结合,17, 3个月以前发布,2100000.0,"21,427元/平",VR房源 房本满两年 随时看房 
广晟圣淘沙 71方中楼层南向两房 业主诚心出*,广晟圣淘沙,进港大道,2室2厅 ,71.63, 南 , 毛坯 ,18,2017, 塔楼,12, 一年前发布,1610000.0,"22,477元/平",VR看装修 房本满两年 随时看房 
小区生活便利，房屋装修保养新，业主诚意卖,海棠花园(南沙),进港大道,3室2厅 ,115.48, 北 , 其他 ,13,2000, 板塔结合,7, 6个月以前发布,1630000.0,"14,115元/平",VR房源 房本满五年 随时看房 
CBD明珠湾板块金茂湾精装大四房三卫,南沙金茂湾,明珠湾,4室2厅 ,245.09, 南 , 其他 ,30,2016, 板楼,27, 一年前发布,11250000.0,"45,902元/平",VR房源 房本满两年 随时看房 
业主诚意度高诚意出手，看房方便，景观好,南沙金茂湾,明珠湾,4室2厅 ,169.75, 东南 , 毛坯 ,32,2017, 塔楼,9, 一年前发布,7200000.0,"42,416元/平",VR看装修 房本满两年 随时看房 
视野开阔，楼层好，无遮挡，户型方正，保养好！,阳光城丽景湾,进港大道,3室2厅 ,109.0, 西南 , 精装 ,32,2017, 塔楼,9, 5个月以前发布,2510000.0,"23,028元/平",VR看装修 房本满两年 随时看房 
南沙境界   4房两厅  安静舒适南北对流  通风采光好,南沙境界家园,黄阁,4室2厅 ,125.0, 东 南 , 毛坯 ,4,2007, 塔楼,16, 2个月以前发布,2070000.0,"16,560元/平",VR看装修 房本满五年 随时看房 
南沙珠江湾118南向三房，毛坯，满两年,南沙珠江湾,南沙湾,3室2厅 ,118.89, 南 , 毛坯 ,32,2015, 板塔结合,11, 2个月以前发布,2170000.0,"18,253元/平",VR看装修 房本满两年 随时看房 
地铁盘 少有安静实用四房  满五少税 业主急卖  有车位,越秀滨海隽城,金洲,4室2厅 ,144.25, 南 , 精装 ,18,2012, 塔楼,1, 2个月以前发布,3850000.0,"26,690元/平",VR看装修 房本满五年 随时看房 
南沙珠江湾 中层南向看花园 全新未住,南沙珠江湾,南沙湾,3室1厅 ,118.89, 东南 , 精装 ,32,2015, 板塔结合,2, 6个月以前发布,2580000.0,"21,701元/平",VR房源 房本满两年 随时看房 
南北对流，实用四房两卫，毛坯房，业主诚意放卖,南沙湾东苑,南沙港,4室2厅 ,131.0, 南 北 , 其他 ,9,2017, 板塔结合,15, 一年前发布,4350000.0,"33,207元/平",VR看装修 房本满两年 随时看房 
珠江湾前排一线江景，高楼层视野开阔,南沙珠江湾,南沙湾,3室2厅 ,146.42, 东南 南 , 毛坯 ,15,2012, 板塔结合,1, 2个月以前发布,4500000.0,"30,734元/平",VR看装修 房本满五年 随时看房 
金洲地铁周口     大平层 视野景观好,创鸿嘉园,金洲,4室2厅 ,168.0, 南 , 其他 ,31,2013, 塔楼,2, 7个月以前发布,5000000.0,"29,762元/平",VR看装修 房本满五年 随时看房 
飞沙角地铁口 800米 次新小区,南沙心意华庭,金洲,2室1厅 ,86.0, 东 , 精装 ,15,2015, 板塔结合,1, 7个月以前发布,2100000.0,"24,419元/平",近地铁 VR看装修 房本满两年 随时看房 
