豪利花园，房子精装修，拎包入住，看房方便，欢迎咨询,豪利花园,镜湖大道,3室1厅 ,98.96, 南 , 精装 ,16,2014, 塔楼,2,28,1790000.0,"18,089元/平",VR房源 房本满两年 随时看房 
高档小区，3+1户型，精美装修，电梯中层视野无遮挡,万虹花园,狮岭镇,3室2厅 ,107.54, 北 , 精装 ,11,2012, 塔楼,0,30,1350000.0,"12,554元/平",VR房源 房本满五年 
小户型大3房，采光好，视野好。,逸泉韵翠花园,北兴镇,3室2厅 ,110.97, 东南 , 其他 ,9,2012, 板楼,5, 一年前发布,1300000.0,"11,715元/平",VR看装修 房本满五年 随时看房 
雅宝新城名门世家小区环境幽美设施齐全,雅宝新城名门世家,秀全街,3室2厅 ,187.73, 东南 南 , 其他 ,29,2012, 塔楼,0, 1个月以前发布,3200000.0,"17,046元/平",VR看装修 房本满五年 随时看房 
芙蓉双拼别墅，三期楼新，高速口直达广州，150方花园,芙蓉绿茵豪苑,狮岭镇,6室2厅 ,247.7, 东 南 , 毛坯 ,1, 塔楼 , 联排别墅 ,73, 一年前发布,2960000.0,"11,950元/平",VR房源 房本满五年 随时看房 
格局方正，安静舒适视野宽阔采光充足通风效果好,永星景苑,铁路西,3室2厅 ,95.19, 东 , 其他 ,18,2011, 塔楼,1, 一年前发布,1450000.0,"15,233元/平",近地铁 VR房源 房本满五年 随时看房 
花都区府旁，人民公园1公里，一梯两户，南北对流,阳光倚翠,旧区,3室2厅 ,123.45, 南 , 其他 ,6,2004, 塔楼,12, 11个月以前发布,1890000.0,"15,310元/平",VR看装修 房本满五年 随时看房 
格局方正，采光充足，交通便利，配套完善,鸿华干部楼小区,旧区,3室2厅 ,115.14, 南 , 简装 ,8,2001, 塔楼,13, 一年前发布,1300000.0,"11,291元/平",VR房源 房本满两年 随时看房 
路通则财通，交通如此便利的天马河楼盘，毛坯大三房,天马河壹号四期,铁路西,3室2厅 ,86.68, 北 , 毛坯 ,11,2012, 塔楼,3, 6个月以前发布,1450000.0,"16,729元/平",近地铁 VR房源 房本满五年 随时看房 
毛坯三房，已经满两年，不用等过户,广州融创文旅城A2区,花城街,3室2厅 ,98.23, 南 , 其他 ,33,2018, 塔楼,6, 一年前发布,2450000.0,"24,942元/平",VR看装修 房本满两年 随时看房 
合和新城3期2区，毛坯五房，双地铁口物业 ，视野开阔,合和新城,镜湖大道,5室2厅 ,167.19, 西北 , 毛坯 ,15,2011, 塔楼,17, 10个月以前发布,3060000.0,"18,303元/平",近地铁 VR看装修 房本满五年 随时看房 
永愉花园 3室2厅 东北,永愉花园,新区,3室2厅 ,99.26, 东北 , 精装 ,13,2007, 塔楼,1, 一年前发布,2080000.0,"20,956元/平",近地铁 VR房源 房本满五年 随时看房 
富力金港城 山景南向大三房 机场南,富力金港城东区,花东镇,3室1厅 ,124.88, 东南 , 其他 ,11,2013, 塔楼,0, 1个月以前发布,1700000.0,"13,614元/平",VR看装修 房本满五年 随时看房 
该物业南北向格局，*大阳台。景观好，精修大四房,雅居乐锦城花间集,秀全街,4室1厅 ,159.96, 南 , 毛坯 ,25,2008, 塔楼,3, 一年前发布,3500000.0,"21,881元/平",VR房源 房本满五年 随时看房 
毛坯。套内面积：114.47平方米。,祈福万景峰,铁路西,4室2厅 ,144.24, 南 , 毛坯 ,27,2017, 塔楼,6, 一年前发布,2850000.0,"19,759元/平",近地铁 VR房源 房本满五年 随时看房 
满五唯一，一手业主毛坯房，原装电梯小区新，交通方便,摩登华雅轩,旧区,4室2厅 ,143.35, 东南 , 毛坯 ,21,2011, 塔楼,3, 6个月以前发布,2630000.0,"18,347元/平",VR看装修 房本满五年 随时看房 
朗悦君廷大三房  视野开阔  采光充足 看房方便,朗悦君廷,镜湖大道,3室2厅 ,106.0, 南 , 精装 ,17,2007, 塔楼,0, 2个月以前发布,1630000.0,"15,378元/平",VR房源 房本满五年 随时看房 
祈福天龙苑 毛坯三房 满2年 钥匙在手 随时看房,祈福天龙苑,铁路西,3室1厅 ,91.99, 北 , 毛坯 ,27,2014, 塔楼,3, 5个月以前发布,1630000.0,"17,720元/平",近地铁 VR房源 房本满两年 随时看房 
环境优美，格局方正，新装修，拎包入住,雅居乐雍华廷一期,新区,3室2厅 ,132.76, 东南 , 其他 ,11,2003, 塔楼,14, 一年前发布,2650000.0,"19,961元/平",近地铁 VR看装修 房本满五年 随时看房 
无抵押产权清晰，证够2年税费少,祈福万景峰,铁路西,3室2厅 ,102.69, 北 , 其他 ,27,2017, 塔楼,20, 一年前发布,2080000.0,"20,256元/平",近地铁 VR房源 房本满五年 随时看房 
合和新城，大四房，复式高层，精装修，,合和新城,镜湖大道,4室3厅 ,169.76, 西南 , 精装 ,15,2010, 平房,56, 11个月以前发布,3020000.0,"17,790元/平",近地铁 VR房源 房本满五年 随时看房 
岭南公馆 实用大2房 马鞍山公园 大润发商圈,岭南公馆,新区,2室2厅 ,92.23, 北 , 其他 ,18,2010, 塔楼,3, 一年前发布,1950000.0,"21,143元/平",VR看装修 房本满五年 随时看房 
中高楼层 南向望花园 视野开阔,富力金港城北区,花东镇,4室2厅 ,140.0, 北 , 精装 ,11,2009, 塔楼,11, 一年前发布,1750000.0,"12,500元/平",VR看装修 房本满五年 随时看房 
天湖峰境 5室2厅 东南 南,天湖峰境,北兴镇,5室2厅 ,394.73, 东南 南 , 毛坯 ,1,2010, 塔楼,0, 10个月以前发布,12000000.0,"30,401元/平",VR房源 房本满五年 随时看房 
南向大阳台，通风采光好，保养好，格局方正，视野空阔,富力金港城北区,花东镇,5室2厅 ,169.58, 东南 , 精装 ,17,2012, 塔楼,6, 11个月以前发布,3000000.0,"17,691元/平",VR看装修 房本满五年 随时看房 
此房满五，阳台改成小房，业主急置换，看房方便！,富力金港城东区,花东镇,2室2厅 ,82.61, 北 东北 , 其他 ,18,2013, 塔楼,1, 4个月以前发布,1100000.0,"13,316元/平",VR看装修 房本满五年 随时看房 
金花园小区，大院管理，格局方正南北通透,金花园小区,旧区,3室2厅 ,105.67, 南 北 , 简装 ,9,1994, 塔楼,6, 一年前发布,980000.0,"9,275元/平",VR看装修 房本满五年 随时看房 
班芙小镇大四房，南北向通风采光好。,班芙小镇,狮岭镇,4室2厅 ,121.06, 南 北 , 毛坯 ,32,2018, 塔楼,2, 11个月以前发布,1450000.0,"11,978元/平",VR看装修 房本满两年 随时看房 
嘉汇城四房，户型方正，南向望花园，精装修，采光充足,嘉汇城一期,镜湖大道,4室2厅 ,165.34, 南 , 毛坯 ,32,2013, 塔楼,3, 一年前发布,2780000.0,"16,814元/平",VR看装修 房本满五年 随时看房 
嘉汇城东区南向三房 毛坯房可以任意装修 满两年采光好,嘉汇城一期,镜湖大道,3室2厅 ,145.81, 南 , 毛坯 ,32,2013, 塔楼,5, 一年前发布,2600000.0,"17,832元/平",VR看装修 房本满五年 随时看房 
城轨物业，精致2房，南向看花园,祈福都会花园,花山镇,2室2厅 ,80.09, 南 , 其他 ,11,2011, 塔楼,13, 一年前发布,1100000.0,"13,735元/平",VR看装修 房本满五年 随时看房 
单位小区，南北对流，方正三房，双阳台，有钥匙随时看,科技楼,旧区,3室2厅 ,99.76, 南 北 , 简装 ,9,1999, 塔楼,13, 一年前发布,1050000.0,"10,526元/平",VR看装修 房本满两年 随时看房 
自由人花园 大面积221方 南向 视野好 望大草坪,自由人花园,镜湖大道,5室2厅 ,221.31, 南 北 , 毛坯 ,26,2013, 塔楼,13, 一年前发布,4200000.0,"18,978元/平",VR房源 房本满两年 随时看房 
这个房子间隔实用，使用率很高，南北对流，地铁口位置,狮峰公馆,铁路西,2室2厅 ,89.0, 东 , 毛坯 ,22,2013, 塔楼,27, 一年前发布,1322000.0,"14,854元/平",近地铁 VR看装修 房本满五年 随时看房 
复式大三房，两层，户型方正、采光良好，交通便利,幸福花苑,旧区,3室3厅 ,196.0, 南 , 其他 ,9,1996, 暂无数据,10, 一年前发布,1850000.0,"9,439元/平",VR房源 房本满两年 随时看房 
户型方正实用 ，采光通风好，景色好，保养很好,天马丽苑二期,铁路西,3室1厅 ,97.55, 东南 , 其他 ,35,2007, 塔楼,1, 9个月以前发布,1650000.0,"16,915元/平",VR看装修 房本满两年 随时看房 
豪利花园 精装三房 有钥匙看房方便 望花园 安静,豪利花园,镜湖大道,3室2厅 ,106.88, 北 , 精装 ,15,2011, 塔楼,17, 一年前发布,2000000.0,"18,713元/平",VR看装修 房本满五年 随时看房 
富银路 丽景大厦 电梯高层  大4房 南北对流,丽景大厦,旧区,4室2厅 ,180.47, 南 北 , 简装 ,12,2000, 塔楼,3, 6个月以前发布,1800000.0,"9,974元/平",VR看装修 房本满五年 随时看房 
馨庭花园复式舒适大三房，景观好，五年唯一,馨庭花园,新区,3室2厅 ,190.1, 东 , 精装 ,11,2004, 塔楼,2, 一年前发布,4000000.0,"21,042元/平",近地铁 VR房源 房本满五年 随时看房 
地铁口物业  南北透三房南向  户型方正,大运家园,新区,3室2厅 ,139.69, 南 , 精装 ,11,2009, 塔楼,3, 一年前发布,3500000.0,"25,056元/平",近地铁 VR看装修 房本满五年 随时看房 
富力金港城小高层三房，采光好！,富力金港城北区,花东镇,3室1厅 ,99.9, 北 , 其他 ,9,2010, 塔楼,1, 3个月以前发布,1500000.0,"15,016元/平",VR看装修 房本满五年 随时看房 
富力金港城东区 2室2厅 北,富力金港城东区,花东镇,2室2厅 ,82.73, 北 , 其他 ,18,2012, 塔楼,0,11,1100000.0,"13,297元/平",VR看装修 房本满五年 
机场板块 豪利花园大两房 稀jue放盘 欢迎品鉴,豪利花园,镜湖大道,2室2厅 ,82.43, 北 , 其他 ,15,2011, 塔楼,1,8,1500000.0,"18,198元/平",VR看装修 房本满五年 
金碧御水山庄 2室1厅 东,金碧御水山庄,狮岭镇,2室1厅 ,75.54, 东 , 其他 ,6,2009, 塔楼,0,8,660000.0,"8,738元/平",VR房源 房本满五年 
复式大三房 带50㎡花园 朝南,雅宝新城名门世家,秀全街,4室2厅 ,165.96, 东南 , 其他 ,25,2012, 塔楼,0,12,3200000.0,"19,282元/平",VR房源 房本满五年 
金碧御水山庄 4室1厅 北,金碧御水山庄,狮岭镇,4室1厅 ,160.73, 北 , 其他 ,18,2006, 塔楼,0,9,1300000.0,"8,089元/平",VR房源 房本满五年 
学府南苑 3室2厅 南,学府南苑,秀全街,3室2厅 ,99.28, 南 , 简装 ,15,2011, 塔楼,0,10,1400000.0,"14,102元/平",VR房源 房本满五年 
朗悦君廷 户型方正 采光好 电梯高层,朗悦君廷,镜湖大道,3室2厅 ,91.01, 东北 , 精装 ,17,2008, 塔楼,7, 一年前发布,1580000.0,"17,361元/平",VR房源 房本满五年 随时看房 
单位小区，格局方正，房大厅大，生活便利。有钥匙。,科技楼,旧区,3室2厅 ,97.97, 东南 , 简装 ,9,1999, 塔楼,0, 一年前发布,1080000.0,"11,024元/平",VR看装修 房本满五年 随时看房 
花都湖板块，马赛克电梯望花都湖，满五唯一,湖畔花园,旧区,4室1厅 ,83.61, 南 , 简装 ,26,1995, 塔楼,10, 一年前发布,1400000.0,"16,745元/平",VR看装修 房本满五年 随时看房 
视野好，小区中间位置，交通方便,金华花园,铁路西,3室2厅 ,93.39, 东南 , 简装 ,9,1995, 塔楼,12, 一年前发布,1150000.0,"12,314元/平",VR看装修 房本满五年 随时看房 
此房满五不唯一，北站旁边，采光充足，交通便利,民盛楼,旧区,2室1厅 ,68.84, 东北 , 其他 ,9,1999, 板塔结合,1, 8个月以前发布,780000.0,"11,331元/平",近地铁 VR看装修 房本满五年 随时看房 
星缘美居 3室2厅 南,星缘美居,新区,3室2厅 ,148.57, 南 , 简装 ,18,2009, 塔楼,0, 6个月以前发布,2450000.0,"16,491元/平",近地铁 VR房源 房本满两年 随时看房 
房子满二年，中楼层，采光充足无遮挡,芙蓉春晓,狮岭镇,3室2厅 ,130.54, 南 , 毛坯 ,29,2015, 塔楼,2, 一年前发布,1680000.0,"12,870元/平",VR看装修 房本满两年 随时看房 
此房够二，环境好，已经有电梯，户型方正，厅大房大,骏辉雅苑,花城街,3室2厅 ,110.08, 东北 , 毛坯 ,18,2011, 塔楼,3, 一年前发布,1700000.0,"15,444元/平",VR看装修 房本满两年 随时看房 
机场沿线 航都花园 南向电梯三房 地铁9号线 随时看房,航都花园,新区,3室2厅 ,132.0, 南 , 简装 ,16,2003, 塔楼,28, 一年前发布,2350000.0,"17,804元/平",近地铁 VR房源 房本满五年 随时看房 
近北站地铁口 汽车产业园  广清高速收费站 电梯中层,天马丽苑二期,铁路西,3室1厅 ,92.57, 北 , 其他 ,35,2007, 塔楼,0, 一年前发布,1575000.0,"17,015元/平",VR看装修 房本满五年 随时看房 
艺景名苑.步梯中层.采光强.格局好.业主诚心放卖,艺景明苑,铁路西,3室2厅 ,112.0, 南 , 其他 ,8,2005, 塔楼,3, 一年前发布,1500000.0,"13,393元/平",近地铁 VR看装修 房本满五年 随时看房 
雅居乐万科热橙 全新未住四房 中高层南向望花园,雅居乐万科热橙,花山镇,4室2厅 ,124.95, 东南 , 其他 ,15,2018, 塔楼,1, 4个月以前发布,2000000.0,"16,007元/平",VR看装修 房本满两年 随时看房 
嘉逸华庭 南向大三房 户型方正实用 小区环境优美,嘉逸华庭,铁路西,3室2厅 ,113.1, 南 , 精装 ,7,2006, 塔楼,3, 11个月以前发布,1680000.0,"14,855元/平",近地铁 VR房源 房本满五年 随时看房 
芙蓉春晓 2室2厅 北,芙蓉春晓,狮岭镇,2室2厅 ,85.0, 北 , 毛坯 ,29,2015, 塔楼,5, 4个月以前发布,950000.0,"11,177元/平",VR看装修 房本满两年 随时看房 
南向采光充足 业主诚心卖 看房方便,好美嘉园,炭步,3室1厅 ,106.75, 南 , 毛坯 ,15,2011, 塔楼,1, 8个月以前发布,1120000.0,"10,492元/平",VR房源 房本满五年 随时看房 
云锋四期 南向望花园 三房方正实用户型 清布地铁口,云峰花园4期,镜湖大道,3室2厅 ,110.25, 南 , 毛坯 ,11,2012, 塔楼,16, 一年前发布,2800000.0,"25,397元/平",近地铁 VR看装修 房本满五年 随时看房 
宝铼雅居 三房两卫 全新未住 望花园 安静舒适 可谈,宝铼雅居,铁路西,3室2厅 ,118.26, 南 北 , 其他 ,18,2013, 塔楼,2, 一年前发布,1550000.0,"13,107元/平",VR看装修 房本满五年 随时看房 
雅居乐锦城花间集 3室2厅 北,雅居乐锦城花间集,秀全街,3室2厅 ,106.26, 北 , 其他 ,25,2008, 塔楼,1, 4个月以前发布,1750000.0,"16,470元/平",VR看装修 房本满五年 随时看房 
够两年，业主自住，无抵押可随时过户，看房方便,万科天景花园,铁路西,3室2厅 ,115.61, 南 , 简装 ,18,2008, 塔楼,8, 一年前发布,2000000.0,"17,300元/平",近地铁 VR看装修 房本满五年 随时看房 
满五唯一，规整大三房，电梯中高楼层，汽车城板块,保利城花园,铁路西,3室2厅 ,91.31, 东北 东 , 精装 ,25,2012, 塔楼,17, 一年前发布,1550000.0,"16,976元/平",近地铁 VR看装修 房本满五年 随时看房 
花园中间，空气好，舒适大三房，业主诚心出*,保利城花园,铁路西,3室2厅 ,144.2, 西南 , 简装 ,26,2009, 塔楼,23, 一年前发布,1900000.0,"13,177元/平",近地铁 VR看装修 房本满五年 随时看房 
云峰花园四期三房两厅一厨两卫，*格美丽,云峰花园4期,镜湖大道,3室2厅 ,132.15, 南 , 毛坯 ,14,2010, 塔楼,6, 一年前发布,3750000.0,"28,377元/平",近地铁 VR看装修 房本满五年 随时看房 
澳景蓝庭 2室2厅 北,澳景蓝庭,旧区,2室2厅 ,90.29, 北 , 毛坯 ,12,2014, 塔楼,16, 一年前发布,1420000.0,"15,728元/平",VR看装修 房本满五年 随时看房 
豪逸名苑，近地铁，户型方正，人车分流,豪逸名苑,铁路西,4室1厅 ,148.0, 北 , 毛坯 ,18,2014, 塔楼,7, 一年前发布,2200000.0,"14,865元/平",VR看装修 房本满五年 随时看房 
户型方正， 实用，中高层南向，品质小区,骏威锦东花园C区,新区,3室2厅 ,108.99, 南 , 毛坯 ,19,2011, 塔楼,1, 一年前发布,3400000.0,"31,196元/平",VR看装修 房本满五年 随时看房 
骏辉雅苑：精装三房拎包入住，格局方正配套完善,骏辉雅苑,花城街,3室2厅 ,99.59, 东北 , 精装 ,11,2010, 塔楼,7, 一年前发布,1620000.0,"16,267元/平",VR看装修 房本满五年 随时看房 
花都区花城路地铁口刚需三房诚心放卖,商业大道,旧区,3室2厅 ,94.64, 南 北 , 简装 ,7,1988, 塔楼,0, 3个月以前发布,950000.0,"10,039元/平",近地铁 VR看装修 房本满五年 随时看房 
福宁路，华丽大厦，北站商圈，2000年建成，配套完善,商业大道,旧区,2室2厅 ,67.96, 西北 , 简装 ,8,2000, 塔楼,28, 一年前发布,778000.0,"11,448元/平",近地铁 VR看装修 房本满五年 随时看房 
房子位置好、东南向、带*大露台、户型方正实用大3房,永愉花园,新区,3室2厅 ,122.43, 东南 , 其他 ,13,2007, 塔楼,6, 一年前发布,3050000.0,"24,913元/平",近地铁 VR房源 房本满五年 随时看房 
精装三房未入住，高层，望花园，采光好，通风对流,南华时代城,铁路西,3室2厅 ,104.58, 北 , 精装 ,31,2010, 塔楼,7, 一年前发布,2370000.0,"22,663元/平",VR看装修 房本满两年 随时看房 
高层望别墅，视野开阔，装修保养好，即买即入住,雅宝新城名门世家,秀全街,3室2厅 ,140.24, 北 , 精装 ,29,2012, 塔楼,1, 2个月以前发布,2360000.0,"16,829元/平",VR看装修 房本满五年 随时看房 
保利大物业 地铁口  大三房正南 望花园 安静,保利城花园,铁路西,3室2厅 ,103.15, 南 , 精装 ,26,2011, 塔楼,18, 一年前发布,1660000.0,"16,094元/平",近地铁 VR看装修 房本满五年 随时看房 
花果山地铁口  电梯中层 空中花园,华天大厦,旧区,3室1厅 ,106.08, 西 , 简装 ,12,2005, 塔楼,3, 一年前发布,1900000.0,"17,912元/平",近地铁 VR看装修 房本满五年 随时看房 
此房证满五、全新未住，东南采光通透，户型格局方正！,万科天景花园,铁路西,3室2厅 ,139.0, 东南 , 精装 ,18,2008, 塔楼,1, 一年前发布,2400000.0,"17,267元/平",近地铁 VR看装修 房本满五年 随时看房 
房子户型方正采光通风好，格局好。很合适居住,祈福天龙苑,铁路西,3室2厅 ,103.21, 北 , 精装 ,28,2014, 塔楼,15, 一年前发布,1980000.0,"19,185元/平",近地铁 VR房源 房本满两年 随时看房 
铁路西 交通便利  3房方正户型 高实用率,狮峰公馆,铁路西,3室2厅 ,135.0, 南 北 , 精装 ,15,2013, 塔楼,35, 一年前发布,1820000.0,"13,482元/平",近地铁 VR看装修 房本满五年 随时看房 
地铁物业  精装修 带大平台。。,永星景苑,铁路西,3室2厅 ,90.85, 东南 , 其他 ,18,2013, 塔楼,7, 一年前发布,1600000.0,"17,612元/平",近地铁 VR看装修 房本满两年 随时看房 
小区管理 采光通风好 格局方正 南向 使用率高随时看房,桂园楼小区,旧区,3室2厅 ,79.6, 南 , 精装 ,9,1996, 塔楼,2, 6个月以前发布,835000.0,"10,490元/平",VR看装修 房本满两年 随时看房 
雅宝新城亚瑟公馆.配套齐全.适合居住,雅宝新城亚瑟公馆,秀全街,3室2厅 ,151.37, 南 , 其他 ,19,2009, 塔楼,1, 一年前发布,2580000.0,"17,045元/平",VR房源 房本满两年 随时看房 
地铁口物业  户型方正  采光好 装修保养好,艺景明苑,铁路西,3室2厅 ,98.17, 北 , 其他 ,8,2005, 塔楼,1, 一年前发布,1400000.0,"14,261元/平",近地铁 VR看装修 房本满五年 随时看房 
房子满5年 五房两卫+杂物间 楼距宽 视野好,合和新城,镜湖大道,4室2厅 ,166.25, 南 , 简装 ,15,2006, 平房,9, 9个月以前发布,3000000.0,"18,046元/平",近地铁 VR房源 房本满五年 随时看房 
豪利花园 3室2厅 北,豪利花园,镜湖大道,3室2厅 ,101.88, 北 , 精装 ,16,2011, 塔楼,0, 7个月以前发布,2030000.0,"19,926元/平",VR看装修 房本满五年 随时看房 
平台大过天，屋内别有洞天，可芥子纳须弥,狮城苑,狮岭镇,3室2厅 ,123.0, 南 北 , 简装 ,7,2005, 塔楼,18, 一年前发布,820000.0,"6,667元/平",VR看装修 房本满五年 随时看房 
芙蓉度假村   大三房  一线湖景 依山傍水,勤天一品树院,狮岭镇,3室2厅 ,129.16, 北 , 精装 ,12,2008, 塔楼,11, 一年前发布,1250000.0,"9,678元/平",VR看装修 房本满五年 随时看房 
广州市融创文旅城，南向毛坯四房,广州融创文旅城A2区,花城街,4室2厅 ,114.43, 南 , 其他 ,33,2018, 塔楼,9, 一年前发布,3060000.0,"26,742元/平",VR看装修 房本满两年 随时看房 
房子满2年，毛坯房，南向带平台，户型方正,花城悦翠园,花山镇,3室2厅 ,102.0, 南 , 其他 ,9,2013, 塔楼,1, 4个月以前发布,1230000.0,"12,059元/平",VR房源 房本满两年 随时看房 
颐和盛世 2室2厅 南,颐和盛世,炭步,2室2厅 ,99.85, 南 , 其他 ,32,2011, 塔楼,0, 一年前发布,890000.0,"8,914元/平",VR看装修 房本满五年 随时看房 
勤天一品树院    精装三房    拎包入住,勤天一品树院,狮岭镇,3室2厅 ,131.0, 南 , 其他 ,11,2008, 塔楼,1, 一年前发布,2220000.0,"16,947元/平",VR看装修 房本满五年 随时看房 
精装3房 望花园 全新装修。。。,豪利花园,镜湖大道,3室2厅 ,95.84, 北 , 其他 ,15,2014, 塔楼,12, 一年前发布,1900000.0,"19,825元/平",VR看装修 房本满两年 随时看房 
近北站 南向大三房 带空中花园 户型方正 配套好,嘉逸华庭,铁路西,3室2厅 ,103.44, 北 , 其他 ,8,2006, 塔楼,0, 3个月以前发布,1750000.0,"16,919元/平",近地铁 VR房源 房本满五年 随时看房 
合和复式 视野开阔 采光好 毛坯 过五年唯一,合和新城,镜湖大道,3室2厅 ,159.62, 北 东 , 毛坯 ,15,2011, 平房,94, 一年前发布,2700000.0,"16,916元/平",近地铁 VR房源 房本满五年 随时看房 
小高层设计、密度低，享受天然氧吧,逸泉韵翠花园,北兴镇,3室1厅 ,109.98, 东南 , 其他 ,14,2012, 塔楼,1, 7个月以前发布,1220000.0,"11,093元/平",VR房源 房本满五年 随时看房 
融创花山轻轨旁，恒昌花园电梯中层，精装3房,恒昌福邸,花山镇,3室2厅 ,94.6, 北 , 精装 ,11,2012, 塔楼,86, 一年前发布,1060000.0,"11,206元/平",VR看装修 房本满五年 随时看房 
地段优越，交通方便，休闲生活便利,花城路,旧区,3室1厅 ,83.52, 南 , 其他 ,6,1989, 板楼,6, 9个月以前发布,815000.0,"9,759元/平",近地铁 VR看装修 房本满两年 随时看房 
地铁口  花果山   高层采光好 视野开阔,花城苑,旧区,3室2厅 ,146.0, 南 , 简装 ,8,2004, 塔楼,7, 一年前发布,1700000.0,"11,644元/平",近地铁 VR看装修 房本满五年 随时看房 
银星花园，高层、视野开阔，位置安静。,银星花园,新区,3室2厅 ,120.99, 西南 , 精装 ,17,2008, 塔楼,2, 一年前发布,2390000.0,"19,754元/平",VR看装修 房本满五年 随时看房 
此房小区中间位置，看花园，证过五年唯一，精装修.,星缘美居,新区,4室2厅 ,185.43, 东南 南 , 精装 ,18,2009, 塔楼,20, 一年前发布,3200000.0,"17,258元/平",近地铁 VR房源 房本满五年 随时看房 
南向大阳台，通风采光好，保养好，格局方正，视野空阔,富力金港城北区,花东镇,5室2厅 ,169.58, 东南 , 精装 ,17,2012, 塔楼,6, 11个月以前发布,3000000.0,"17,691元/平",VR看装修 房本满五年 随时看房 
花城路地铁站，步梯低层，*大三房，带入户花园,花城路,旧区,3室2厅 ,108.33, 南 , 简装 ,6,1990, 板楼,43, 一年前发布,1050000.0,"9,693元/平",近地铁 VR看装修 房本满五年 随时看房 
祈福都会 精装大三房全新未住 南北对流望花园,祈福都会花园,花山镇,3室2厅 ,114.21, 南 , 精装 ,11,2011, 塔楼,14, 一年前发布,1420000.0,"12,434元/平",VR看装修 房本满五年 随时看房 
华美苑电梯高层，南向没遮挡，通风采光好，诚心出,华美苑,旧区,4室3厅 ,190.73, 南 , 精装 ,15,2000, 板楼,2, 一年前发布,2980000.0,"15,625元/平",近地铁 VR房源 房本满五年 随时看房 
北站祈福三房南向，配套齐全小区环境好，业主诚意卖,祈福天龙苑,铁路西,3室1厅 ,91.52, 东北 , 毛坯 ,27,2014, 塔楼,2, 5个月以前发布,1650000.0,"18,029元/平",近地铁 VR房源 房本满两年 随时看房 
高档小区管理，南向精装三房，大润发商圈,新源雅居,新区,3室2厅 ,142.62, 南 , 精装 ,12,2007, 塔楼,12, 一年前发布,3000000.0,"21,035元/平",VR看装修 房本满五年 随时看房 
此房采光通风好 近北站 地铁口 住家装修,永发大厦(花都),旧区,3室2厅 ,138.26, 南 北 , 精装 ,18,2001, 塔楼,0, 2个月以前发布,1578000.0,"11,414元/平",VR看装修 房本满五年 随时看房 
地铁口物业 中高层望花园 视野开阔 安静 看房方便,大运家园,新区,3室2厅 ,149.7, 东 西 , 精装 ,8,2009, 塔楼,1, 2个月以前发布,2730000.0,"18,237元/平",近地铁 VR看装修 房本满五年 随时看房 
雅居乐领会，大三房，采光好，空气清新,雅居乐·岭会,狮岭镇,3室2厅 ,98.0, 南 , 毛坯 ,32,2012, 塔楼,0, 4个月以前发布,1380000.0,"14,082元/平",VR看装修 房本满五年 随时看房 
马鞍山地铁口物业 大润发 东南向看马鞍山包装修,星缘美居,新区,3室2厅 ,149.89, 东南 , 简装 ,18,2009, 塔楼,1, 一年前发布,2955000.0,"19,715元/平",近地铁 VR房源 房本满五年 随时看房 
电梯高层 采光通风好 居住舒适,宝铼雅居,铁路西,3室2厅 ,118.26, 东南 南 , 毛坯 ,18,2013, 塔楼,5, 9个月以前发布,1430000.0,"12,093元/平",VR看装修 房本满五年 随时看房 
花果山地铁口，体育馆物业，设施齐全,云山大道,旧区,3室2厅 ,97.65, 北 , 其他 ,6,2000, 塔楼,6, 一年前发布,1050000.0,"10,753元/平",近地铁 VR看装修 房本满五年 随时看房 
南向三房，精装修，高楼层，少有的户型,富力金港城东区,花东镇,3室1厅 ,97.95, 南 , 其他 ,11,2013, 塔楼,6, 一年前发布,1480000.0,"15,110元/平",VR看装修 房本满五年 随时看房 
万科天景花园  格局方正采光好,万科天景花园,铁路西,2室1厅 ,80.58, 南 , 其他 ,31,2006, 塔楼,4, 10个月以前发布,1380000.0,"17,126元/平",近地铁 VR看装修 房本满五年 随时看房 
中层精装3房 格局方正 采光好,雅居乐锦城花漾集,秀全街,3室2厅 ,92.8, 南 , 毛坯 ,32,2008, 塔楼,24, 一年前发布,1460000.0,"15,733元/平",VR看装修 房本满两年 随时看房 
精装修 东南向采光充足 配套设施齐全 交通便利,天马丽苑二期,铁路西,3室2厅 ,96.23, 东南 , 精装 ,33,2007, 塔楼,23, 一年前发布,1600000.0,"16,627元/平",VR房源 房本满两年 随时看房 
花果山公园地铁口  近花都湖  锦砖外墙 精装三房,金联市场,旧区,3室2厅 ,77.48, 北 , 其他 ,8,2002, 塔楼,5, 一年前发布,900000.0,"11,616元/平",VR看装修 房本满五年 随时看房 
云峰学府花园 3室1厅 北,云峰学府花园,秀全街,3室1厅 ,92.69, 北 , 其他 ,18,2011, 塔楼,0, 10个月以前发布,1400000.0,"15,105元/平",VR看装修 房本满五年 随时看房 
处于花都CBD中轴线上的住宅小区 共享*达配套,雅居乐·岭会,狮岭镇,2室2厅 ,86.03, 东北 , 精装 ,32,2016, 塔楼,4, 一年前发布,1170000.0,"13,600元/平",VR看装修 房本满五年 随时看房 
此房证满两年  税费低，精装修带入户花园,学府南苑,秀全街,3室2厅 ,122.58, 南 , 精装 ,18,2011, 塔楼,16, 一年前发布,1850000.0,"15,093元/平",VR看装修 房本满五年 随时看房 
