实用大复式！过5年，唯一物业，税费低,锦绣生态园,钟村,4室2厅 ,202.67, 东北 , 精装 ,17,2007, 塔楼,1,18,5000000.0,"24,671元/平",VR房源 房本满五年 随时看房 
荟心园三期精装修，高层采光好望花园安静不吵,广州星河湾荟心园,星河湾,3室2厅 ,131.94, 东南 , 其他 ,9,2001, 板楼,0,5,4460000.0,"33,759元/平",VR房源 房本满两年 
祈福新村康怡居 3室2厅 北,祈福新村康怡居,祈福新村,3室2厅 ,93.73, 北 , 其他 ,6,2002, 板楼,0,4,2650000.0,"28,273元/平",VR房源 房本满五年 
祈福新村中区位置 方正实用三房 绿化高 环境好,祈福新村康怡居,祈福新村,3室2厅 ,87.31, 南 , 简装 ,6,2002, 板楼,0,6,2550000.0,"29,207元/平",VR房源 房本满五年 
祈福新村D区大三房，南向2楼，满五唯一，离毓贤近,祈福新村D区,祈福新村,3室2厅 ,91.15, 南 , 精装 ,4,1995, 板楼,0,6,2250000.0,"24,685元/平",VR看装修 房本满五年 
祈福新村绿怡居 4室2厅 北,祈福新村绿怡居,祈福新村,4室2厅 ,106.85, 北 , 精装 ,4,1999, 板楼,0,4,2880000.0,"26,954元/平",VR看装修 房本满五年 
雅逸庭东北向大三房，户型方正，看房方便。,广州雅居乐花园雅逸庭,雅居乐,3室2厅 ,125.06, 东北 , 其他 ,11,2010, 塔楼,0,4,4620000.0,"36,884元/平",VR看装修 房本满两年 
雅居乐花园 天域 望别墅大三房 视野开阔 近地铁800m,广州雅居乐花园天域锦园,雅居乐,3室2厅 ,125.24, 西北 , 其他 ,25,2010, 塔楼,0,3,4620000.0,"36,884元/平",近地铁 VR房源 房本满五年 
证满五年，唯一房产，交易税费少，安静舒适三房。,华南碧桂园岭御苑,华南碧桂园,3室2厅 ,98.89, 东 , 其他 ,18,2010, 塔楼,0,6,3440000.0,"34,787元/平",VR看装修 房本满五年 
万科欧泊 4室2厅 西北,万科欧泊,万博,4室2厅 ,143.26, 西北 , 其他 ,38,2012, 板塔结合,0,4,6510000.0,"45,408元/平",VR看装修 房本满两年 
高层景观好 视野无遮挡 保养好,万科欧泊,万博,3室2厅 ,94.29, 北 , 精装 ,42,2012, 板塔结合,0,2,4290000.0,"45,408元/平",VR看装修 房本满五年 
户型方正 采光好 望小区，满五唯一,倚莲半岛花园,莲花山,3室2厅 ,114.93, 东 , 其他 ,16,2014, 塔楼,0,7,2550000.0,"22,188元/平",VR房源 房本满五年 
天墅单位，越欣赏越懂欣赏，三层半视野开阔无遮挡,华南碧桂园翠云山,华南碧桂园,9室2厅 ,477.47, 南 , 精装 ,18,2001, 塔楼,0,26,22000000.0,"46,077元/平",VR房源 房本满五年 
该房顶楼带70多方花园露台.小区低密度安静视野无遮挡.,丽江花园萃锦苑,南浦,5室3厅 ,216.0, 南 北 , 简装 ,4,1998, 板楼,0,30,8850000.0,"40,973元/平",VR房源 房本满五年 
华南碧桂园翠云山 4室2厅 南 北,华南碧桂园翠云山,华南碧桂园,4室2厅 ,199.06, 南 北 , 精装 ,18,2001, 塔楼,0,23,6900000.0,"34,663元/平",VR房源 房本满五年 
中层望江，小区少有的方正户型，小区环境优美,锦绣银湾,大石,3室2厅 ,121.83, 北 , 精装 ,28,2007, 板塔结合,0,12,4600000.0,"37,758元/平",VR看装修 房本满五年 随时看房 
万科欧泊 3室2厅 东北,万科欧泊,万博,3室2厅 ,94.5, 东北 , 精装 ,42,2012, 板塔结合,0,10,4300000.0,"45,408元/平",VR房源 房本满五年 随时看房 
西兴苑 框架三房 有钥匙方便看房 上车盘 省 级 南阳里,西兴苑,市桥,3室2厅 ,75.15, 南 , 简装 ,7,1993, 塔楼,0,11,1120000.0,"14,904元/平",VR看装修 房本满五年 随时看房 
南北对流 楼层好 视野开阔 房子楼龄新 精装修,尚上名筑一区,亚运城,3室2厅 ,118.0, 北 , 精装 ,23,2017, 塔楼,0,12,2650000.0,"22,458元/平",VR看装修 房本满五年 随时看房 
一手业主，户型方正，够5年，入省一级,环城西路(市桥),市桥,3室2厅 ,85.8, 南 , 精装 ,7,1990, 塔楼,5,12,1460000.0,"17,017元/平",VR看装修 房本满五年 随时看房 
祺康园  实用型3房 户型方正 业主成心放卖,祺康园,市桥,3室2厅 ,115.8, 南 北 , 精装 ,7,1996, 塔楼,1,6,2100000.0,"18,135元/平",VR房源 房本满两年 随时看房 
海伦堡 电梯 精致四房 南北对流 有两车位一车库,番禺海伦堡,桥南,4室2厅 ,153.7, 南 , 简装 ,7,2005, 塔楼,0,14,5000000.0,"32,531元/平",VR房源 房本满五年 随时看房 
梅山大厦 3室2厅 西南,梅山大厦,市桥,3室2厅 ,90.9, 西南 , 精装 ,19,2002, 塔楼,0,15,1680000.0,"18,482元/平",VR房源 房本满五年 随时看房 
3号线大石 富泽居 地铁500米 方正三房过五年,富丽家园富泽居,大石,3室1厅 ,88.67, 北 , 精装 ,6,1995, 塔楼,0,14,2560000.0,"28,872元/平",近地铁 VR看装修 房本满五年 随时看房 
西城花园 实用小两房 中层 有匙带看,西城花园,市桥,2室1厅 ,43.8, 南 , 简装 ,8,1998, 塔楼,0,3,890000.0,"20,320元/平",VR看装修 房本满两年 随时看房 
一楼带38平方花园，证即将满五年，过5年唯一，省税。,祈福新村湖景居,祈福新村,3室2厅 ,66.2, 北 , 精装 ,4,1998, 板楼,1,14,2020000.0,"30,514元/平",VR房源 房本满两年 随时看房 
证过五年 装修保养好 采光好 近 祈福湖,祈福新村翠湖居,祈福新村,3室2厅 ,96.37, 东南 南 , 精装 ,6,2002, 塔楼,0,12,2900000.0,"30,093元/平",VR房源 房本满五年 随时看房 
倚湖湾小区户型少有南向三房放盘 房子是冬暖夏凉,祈福新村倚湖湾,祈福新村,3室2厅 ,98.0, 南 , 其他 ,33,2006, 塔楼,0,9,3300000.0,"33,674元/平",VR房源 房本满五年 随时看房 
亚运城天成  出入方便 方正实用  南北对流,亚运城天成,亚运城,3室2厅 ,103.93, 南 , 精装 ,55,2019, 塔楼,0,10,3300000.0,"31,753元/平",VR看装修 房本满两年 随时看房 
地铁物业，周园林小区，车位充足,敏捷伊顿公馆,祈福新村,3室2厅 ,93.03, 南 , 精装 ,21,2015, 塔楼,1, 5个月以前发布,2280000.0,"24,509元/平",近地铁 房本满两年 随时看房 
店长推荐：精装修四房，视野开阔，业主诚心,华南新城南区,华南新城,4室1厅 ,133.74, 北 , 其他 ,18,2007, 板塔结合,0,4,5080000.0,"37,985元/平",VR房源 房本满两年 
满五唯一，小高层，南北对流，带ru户花园，使用率高,广州雅居乐花园时光九篇,雅居乐,4室2厅 ,168.43, 南 北 , 简装 ,11,2010, 塔楼,0,7,6220000.0,"36,884元/平",VR看装修 房本满五年 
唯一       唯一 满五唯一南北对流双阳台，格局方正,祈福新村祈福名都,祈福新村,5室2厅 ,163.25, 北 , 精装 ,32,2014, 板楼,0,7,6308000.0,"38,641元/平",VR看装修 房本满五年 
锦绣半岛金月湾 南北对流大三房 通风采光好 户型方正,锦绣半岛金月湾,南浦,3室2厅 ,127.84, 东北 西南 , 毛坯 ,31,2009, 塔楼,0,8,5100000.0,"39,894元/平",VR看装修 房本满五年 
金月湾南向四房  一线江景 视野开阔,锦绣半岛金月湾,南浦,4室1厅 ,143.8, 南 西 , 精装 ,31,2009, 塔楼,0,8,5900000.0,"41,030元/平",VR房源 房本满两年 
本房位置小区中间，高层，采光好，安静舒适，诚心放卖,滨江绿园,大石,4室2厅 ,125.88, 北 东 , 简装 ,11,2004, 板塔结合,3, 一年前发布,3800000.0,"30,188元/平",VR房源 房本满两年 随时看房 
吉祥北园仲元 温馨两房 配套完善 出行方便,吉祥北园C区,洛溪,2室1厅 ,83.3, 东南 , 简装 ,7,1993, 板塔结合,29, 7个月以前发布,1900000.0,"22,810元/平",近地铁 VR看装修 房本满五年 随时看房 
翠山蓝天苑阳光别墅，340平米带100平米花园，东南向。,华南碧桂园翠山蓝天苑,华南碧桂园,7室2厅 ,339.7, 东南 , 其他 ,1,2007, 暂无数据,46, 一年前发布,17000000.0,"50,045元/平",近地铁 VR房源 房本满五年 随时看房 
大石地铁大户型 房子满五唯一房子通风性好,富丽家园香江商业大厦,大石,3室2厅 ,137.23, 南 北 , 简装 ,8,1995, 塔楼,0, 3个月以前发布,2080000.0,"15,158元/平",VR房源 房本满五年 随时看房 
倚莲半岛 4房2厅2卫 新装修没住过,倚莲半岛花园,莲花山,4室2厅 ,193.06, 南 北 , 精装 ,11,2014, 板楼,1, 3个月以前发布,5000000.0,"25,899元/平",VR看装修 房本满五年 随时看房 
金城花园，环境优雅，安静舒适‘,金城花园,大石,5室2厅 ,306.6, 南 , 其他 ,9,2000, 塔楼,8, 一年前发布,7940000.0,"25,897元/平",VR房源 房本满两年 随时看房 
桃花路独栋，适合一家大小同住，空气环境好,桃花路,莲花山,4室2厅 ,205.67, 南 , 简装 ,1, 暂无数据 , 独栋别墅 ,17, 5个月以前发布,3200000.0,"15,559元/平",VR房源 房本满五年 随时看房 
此房证过五年 南向通透格局楼层好视野开阔，采光充足,锦绣生态园,钟村,4室2厅 ,154.0, 南 , 其他 ,6,2003, 塔楼,1, 3个月以前发布,3100000.0,"20,130元/平",VR房源 房本满五年 随时看房 
东湖洲花园二区毛坯 南北对流望花园泳池视野开阔,东湖洲花园2区,番禺客运站,6室2厅 ,246.66, 南 北 , 毛坯 ,25,2012, 塔楼,19, 6个月以前发布,8500000.0,"34,461元/平",VR看装修 房本满两年 随时看房 
聚湖全新南向 望湖望江 关系户保留单位,金海岸花园聚湖,番禺客运站,4室2厅 ,471.91, 东南 南 北 , 其他 ,18,2002, 塔楼,2, 11个月以前发布,23000000.0,"48,739元/平",VR房源 房本满两年 随时看房 
祈福水城 4室1厅 南 北 东北,祈福水城,沙湾,4室1厅 ,221.14, 南 北 东北 , 精装 ,11,2008, 塔楼,20, 7个月以前发布,4180000.0,"18,903元/平",VR房源 房本满两年 随时看房 
品质好房 大平层 高层望莲花山与高尔夫 单边位置 可谈,石楼碧桂园,石楼,5室2厅 ,262.16, 东南 , 精装 ,18,2008, 塔楼,1, 一年前发布,4500000.0,"17,166元/平",VR房源 房本满五年 随时看房 
翠云山联排别墅 四层六房 100方花园 顶楼带露台,华南碧桂园翠云山,华南碧桂园,6室2厅 ,289.0, 东北 , 其他 ,4, 塔楼 , 联排别墅 ,4, 2个月以前发布,16800000.0,"58,132元/平",VR房源 房本满五年 随时看房 
丽江花园 精装电梯复式四房  南向 景观好 视野开阔,丽江花园九如通津,南浦,4室2厅 ,221.1, 西北 , 精装 ,11,2000, 塔楼,27, 一年前发布,8800000.0,"39,801元/平",VR房源 房本满五年 随时看房 
华南碧桂园翠山蓝天苑 5室1厅 南 北,华南碧桂园翠山蓝天苑,华南碧桂园,5室1厅 ,292.4, 南 北 , 其他 ,1,2007, 暂无数据,12, 11个月以前发布,15300000.0,"52,326元/平",VR房源 房本满五年 随时看房 
满五年，此房户型方正，小区环境好，保利自己的物业,保利亚奥北苑,石楼,5室1厅 ,171.83, 东 , 精装 ,8,2010, 塔楼,46, 一年前发布,3500000.0,"20,369元/平",VR看装修 房本满五年 随时看房 
拎包入住 满五不唯一高层顶复视野好,广州雅居乐花园雅逸庭,雅居乐,5室2厅 ,306.1, 南 北 , 其他 ,19,2010, 塔楼,11, 一年前发布,11300000.0,"36,884元/平",近地铁 VR房源 房本满五年 随时看房 
水韵蓝湾 南向别墅 证过两年 有钥匙随时可看,水韵蓝湾北区,桥南,5室3厅 ,440.39, 南 , 毛坯 ,1,2010, 暂无数据,10, 一年前发布,12880000.0,"29,247元/平",VR房源 房本满五年 随时看房 
南向复式  视野无遮挡 采光好 产权清晰 看楼方便,祈福新村倚湖湾,祈福新村,5室2厅 ,247.57, 南 , 精装 ,33,2012, 塔楼,4, 4个月以前发布,10300000.0,"41,605元/平",VR房源 房本满两年 随时看房 
此房证过两年，免重税。独门独户，通风采光好。,水韵蓝湾北区,桥南,6室2厅 ,421.82, 南 , 毛坯 ,1,2010, 暂无数据,27, 一年前发布,10000000.0,"23,707元/平",VR房源 房本满两年 随时看房 
顶层复式保养好 双地铁 视野开阔,南国奥林匹克花园,汉溪长隆,5室2厅 ,159.63, 南 北 , 精装 ,6,2006, 板楼,13, 7个月以前发布,4200000.0,"26,311元/平",VR房源 房本满五年 随时看房 
新 洛溪新城江边别墅区，经济划算，各付各税无按揭,裕景花园西区,洛溪,5室3厅 ,247.7, 东南 , 毛坯 ,1,1995, 平房,62, 8个月以前发布,8550000.0,"34,518元/平",VR房源 房本满五年 随时看房 
自在城市花园精装3房 保养新净 通风采光好,自在城市花园一二期,汉溪长隆,3室1厅 ,94.56, 北 , 精装 ,10,2004, 塔楼,0,12,2820000.0,"29,768元/平",VR房源 房本满五年 随时看房 
富丽家园桔芳园 2室1厅 南,富丽家园桔芳园,大石,2室1厅 ,49.9, 南 , 简装 ,7,1995, 塔楼,0,9,1090000.0,"21,844元/平",VR房源 房本满五年 随时看房 
祈福新村D区 2室1厅 北,祈福新村D区,祈福新村,2室1厅 ,57.0, 北 , 简装 ,4,1995, 板楼,0,1,1200000.0,"21,053元/平",VR房源 房本满五年 随时看房 
尚东尚筑三房可直接拎包入住 保养好,尚东尚筑,番禺客运站,3室2厅 ,90.72, 北 , 其他 ,17,2011, 塔楼,0,14,3300000.0,"36,376元/平",VR看装修 房本满五年 随时看房 
广州雅居乐花园一尺山居 2室2厅 东北,广州雅居乐花园一尺山居,雅居乐,2室2厅 ,92.06, 东北 , 简装 ,23,2010, 塔楼,0,10,3400000.0,"36,884元/平",VR房源 房本满五年 随时看房 
华侨城(番禺) 4室2厅 北,华侨城(番禺),市桥,4室2厅 ,100.2, 北 , 简装 ,8,1994, 塔楼,0, 1个月以前发布,1860000.0,"18,563元/平",VR看装修 房本满五年 
锦绣生态园户型方正大四房两卫 东南向 园中位置非顶楼,锦绣生态园,钟村,4室2厅 ,138.3, 东南 , 其他 ,6,2003, 塔楼,0,19,3100000.0,"22,416元/平",VR看装修 房本满五年 
祈福新村晓峰园 3室2厅 北 东北,祈福新村晓峰园,祈福新村,3室2厅 ,118.25, 北 东北 , 其他 ,35,2005, 塔楼,0,24,3200000.0,"27,062元/平",VR房源 房本满两年 
此房过五年唯一  精装修 小区环境靓,金沙湾花园,沙湾,3室1厅 ,126.11, 北 , 精装 ,11,2007, 塔楼,0,16,2950000.0,"23,393元/平",VR看装修 房本满五年 
雅居乐南向望山景3房  二次装修  保养靓,广州雅居乐花园一尺山居,雅居乐,3室2厅 ,99.43, 南 , 精装 ,23,2010, 塔楼,0,15,3670000.0,"36,884元/平",VR看装修 房本满两年 
满5年房源阳台景观无遮挡一线祈福景观私密性高,祈福新村月明轩,祈福新村,4室2厅 ,130.63, 北 , 精装 ,6,2004, 塔楼,0,15,4000000.0,"30,621元/平",VR房源 房本满五年 
广州雅居乐剑桥郡 低密度 高层 南向 3房2卫 满五唯一,广州雅居乐花园剑桥郡,雅居乐,3室1厅 ,131.38, 西南 , 精装 ,24,2010, 塔楼,0,14,6300000.0,"47,953元/平",近地铁 VR房源 房本满五年 
金山谷尚层 3室2厅 北,金山谷尚层,金山谷,3室2厅 ,106.32, 北 , 其他 ,32,2015, 塔楼,0,15,4600000.0,"43,266元/平",VR看装修 房本满两年 
中高层正南向 视野开阔满五年省重税,万科欧泊,万博,3室1厅 ,95.5, 南 , 精装 ,35,2012, 板塔结合,0,8,4340000.0,"45,408元/平",近地铁 VR看装修 房本满五年 
华苑向阳3房.装修好.私密性高，视野开阔，,广州碧桂园华苑,南浦,3室1厅 ,102.5, 西北 , 精装 ,7,1998, 塔楼,0,19,3000000.0,"29,269元/平",近地铁 VR看装修 房本满五年 
美心山庄别墅 格局方正无遮挡 空气好安静舒适,美心山庄,市桥东,5室2厅 ,317.32, 南 , 其他 ,1,2001, 暂无数据,0,16,10800000.0,"34,036元/平",VR房源 房本满五年 
华南碧桂园翠山蓝天苑 3室2厅 西,华南碧桂园翠山蓝天苑,华南碧桂园,3室2厅 ,117.9, 西 , 其他 ,8,2007, 塔楼,0,17,5600000.0,"47,498元/平",VR房源 房本满两年 
祈福新村青怡居 85方实用3房 厅大房也大,祈福新村青怡居,祈福新村,3室1厅 ,85.3, 北 , 精装 ,5,2001, 板楼,1,7,2280000.0,"26,730元/平",VR房源 房本满五年 
满五年唯一  产权清晰  中层,祈福新村晓峰园,祈福新村,2室2厅 ,73.41, 南 , 其他 ,35,2005, 塔楼,1,8,1980000.0,"26,972元/平",VR房源 房本满五年 
东海花园 东南向 望花园 单边位,東海花園,厦滘,3室2厅 ,119.09, 东南 , 其他 ,23,2003, 塔楼,1,11,4850000.0,"40,726元/平",近地铁 VR房源 房本满五年 
丽江花园电梯高层 一线江景 方正四房,丽江花园丽彦楼,南浦,4室1厅 ,114.1, 西北 , 精装 ,9,1995, 塔楼,0,11,2700000.0,"23,664元/平",VR房源 房本满五年 
华南碧桂园翠宏台刚需三房 诚意放盘,华南碧桂园翠宏台,华南碧桂园,3室2厅 ,103.88, 南 北 西 , 简装 ,6,2001, 塔楼,0,14,3500000.0,"33,693元/平",VR房源 房本满五年 
金城花园 3室2厅 北,金城花园,大石,3室2厅 ,80.5, 北 , 其他 ,12,2000, 塔楼,0,7,2600000.0,"32,299元/平",VR房源 房本满五年 
剑桥郡正南向望花园三房，看房方便，业主诚意放卖。,广州雅居乐花园剑桥郡,雅居乐,3室1厅 ,101.56, 南 , 其他 ,32,2010, 塔楼,0,11,5200000.0,"51,202元/平",近地铁 VR房源 房本满两年 
锦绣半岛金月湾満五年唯一高层望江 南向物业 精装样板,锦绣半岛金月湾,南浦,4室2厅 ,143.0, 西南 , 精装 ,31,2014, 塔楼,0,15,6200000.0,"43,357元/平",VR看装修 房本满五年 
单证  户型方正 满五唯一 自住保养好,锦绣银湾,大石,3室2厅 ,122.31, 东北 , 精装 ,28,2007, 板塔结合,0,16,4180000.0,"34,176元/平",VR看装修 房本满五年 
鑫润花园 3室1厅 北,鑫润花园,市桥北,3室1厅 ,96.27, 北 , 其他 ,7,2002, 塔楼,1,26,1880000.0,"19,529元/平",VR看装修 房本满两年 随时看房 
星河湾 顶层复式 都带套间 方便看房 诚心出,广州星河湾荟心园,星河湾,4室2厅 ,315.03, 南 北 , 其他 ,9,2001, 板楼,1,28,10640000.0,"33,759元/平",VR房源 房本满五年 随时看房 
半山区一楼大四房，阳台面积79平方，喜欢速速联系,祈福新村月明轩,祈福新村,4室2厅 ,125.68, 南 , 其他 ,6,2004, 板楼,0,31,5350000.0,"42,569元/平",VR房源 房本满两年 随时看房 
南向，唯一户型，带衣帽间，2楼位置好,祈福新村翠湖居,祈福新村,4室1厅 ,148.01, 南 , 其他 ,6,1995, 板楼,0,18,4800000.0,"32,431元/平",VR房源 房本满五年 随时看房 
急卖    满五看园林     有钥匙    随时可看,祈福水城,沙湾,3室2厅 ,122.87, 南 , 其他 ,11,2008, 塔楼,0,23,2850000.0,"23,196元/平",VR房源 房本满五年 随时看房 
广碧康苑 业主有心卖 西南看花园 楼层好景观好,广州碧桂园康苑,南浦,3室2厅 ,106.8, 西南 , 精装 ,6,1998, 塔楼,1,28,3090000.0,"28,933元/平",VR房源 房本满两年 随时看房 
近地铁电梯楼，小区环境好，高楼层视野开阔，采光好。,鸿城花园,市桥,2室2厅 ,79.6, 南 , 其他 ,28,2000, 塔楼,0,21,2100000.0,"26,382元/平",近地铁 VR看装修 房本满五年 随时看房 
倚莲半岛花园 3室2厅 南,倚莲半岛花园,莲花山,3室2厅 ,126.07, 南 , 其他 ,16,2014, 塔楼,1,21,2800000.0,"22,210元/平",VR看装修 房本满五年 随时看房 
此房是顶楼假复式，南向过五年， 采光通风好,锦绣生态园趣园,钟村,4室2厅 ,96.08, 南 , 简装 ,6,2005, 塔楼,0,30,2280000.0,"23,731元/平",VR看装修 房本满两年 随时看房 
地铁700米，电梯大三室，幽静望园景，家旁有完善配套,北城白云花园,市桥,3室2厅 ,135.2, 北 , 精装 ,13,2002, 塔楼,0,20,3300000.0,"24,409元/平",近地铁 VR房源 房本满五年 随时看房 
祈福新村倚湖湾 4室2厅 北,祈福新村倚湖湾,祈福新村,4室2厅 ,153.8, 北 , 精装 ,33,2006, 塔楼,0,25,5000000.0,"32,510元/平",VR房源 房本满两年 随时看房 
剑桥郡 实用三房 近地铁 安静望花园 楼层好,广州雅居乐花园剑桥郡,雅居乐,3室2厅 ,97.84, 西南 , 精装 ,32,2010, 塔楼,0,22,4880000.0,"49,878元/平",近地铁 VR房源 房本满两年 随时看房 
广州奥林匹克花园方正两房业主诚心放卖有钥匙方便看房,广州奥林匹克花园,洛溪,2室2厅 ,66.89, 东北 , 简装 ,7,2002, 塔楼,0,18,2300000.0,"34,385元/平",VR看装修 房本满两年 随时看房 
房子新装修的，实木质量好，业主保养得很好，南向采光,华南新城南区,华南新城,3室2厅 ,120.0, 南 , 简装 ,11,2011, 板塔结合,3,27,3930000.0,"32,750元/平",VR房源 房本满两年 随时看房 
全新精装方正大两房，低楼层，拎包入住,富丽家园富昌花园,大石,2室1厅 ,63.4, 南 , 其他 ,9,1998, 塔楼,0,17,1600000.0,"25,237元/平",近地铁 VR房源 房本满五年 随时看房 
保利北苑  3房2卫  此房证满五 自带80多平方平台花园,保利亚奥北苑,石楼,3室1厅 ,100.13, 南 , 精装 ,9,2010, 塔楼,1,29,2700000.0,"26,965元/平",VR看装修 房本满两年 随时看房 
三楼安静大四房、免增值税、户型方正、采光明亮,祈福新村康怡居,祈福新村,4室1厅 ,120.33, 北 , 简装 ,6,2002, 板楼,0,28,3000000.0,"24,932元/平",VR房源 房本满两年 随时看房 
番禺广场 东发大厦 电梯3房 德兴,东发大厦,市桥,3室2厅 ,104.3, 西 , 简装 ,33,1995, 塔楼,0,17,2630000.0,"25,216元/平",近地铁 VR房源 房本满五年 随时看房 
中层电梯 装修保养好 采光好 视野开阔 户型方正,裕福花园,市桥,3室2厅 ,120.2, 北 , 精装 ,19,2003, 塔楼,1,17,2960000.0,"24,626元/平",近地铁 VR房源 房本满五年 随时看房 
此房满五唯一，南北通透，房间安静，采光充足，保养好,珠江花园,厦滘,3室2厅 ,100.9, 南 北 , 精装 ,28,1998, 塔楼,0,21,3100000.0,"30,724元/平",近地铁 VR看装修 房本满五年 随时看房 
亚运城天誉 东南向 视野开阔 无遮挡 税费便宜,亚运城天誉,亚运城,3室1厅 ,148.27, 东南 南 , 精装 ,55,2013, 塔楼,0,28,4150000.0,"27,990元/平",VR看装修 房本满五年 随时看房 
亚运城天成 3室1厅 南,亚运城天成,亚运城,3室1厅 ,99.65, 南 , 精装 ,44,2019, 塔楼,0,20,3170000.0,"31,812元/平",VR房源 房本满两年 随时看房 
小区环境好，空气清新 户型方正实用 证过五年唯一,自在城市花园一二期,汉溪长隆,3室2厅 ,98.4, 东北 , 简装 ,11,2004, 塔楼,0,23,2930000.0,"29,768元/平",VR房源 房本满五年 随时看房 
转角大阳台  少有户型  南北对流通风好,亚运城技术官员村,亚运城,4室2厅 ,164.03, 南 , 简装 ,11,2010, 塔楼,2,19,4700000.0,"28,654元/平",VR看装修 房本满五年 随时看房 
南阳里，精装修三房，框架结构，户型方正，满五年,田心社区,市桥,3室2厅 ,89.7, 南 北 , 精装 ,7,2000, 塔楼,1,30,1600000.0,"17,838元/平",VR看装修 房本满五年 随时看房 
10月26日满五  尚上名筑 视野开阔 毛坯三房,尚上名筑三期,亚运城,3室1厅 ,93.72, 北 , 毛坯 ,31,2016, 塔楼,0,24,1990000.0,"21,234元/平",VR看装修 房本满两年 随时看房 
雅居乐湖景复式，五房四卫，现业主诚意卖，省税,广州雅居乐花园雅逸庭,雅居乐,5室1厅 ,229.6, 南 , 其他 ,11,2010, 塔楼,0, 1个月以前发布,7500000.0,"32,666元/平",VR房源 房本满五年 随时看房 
湖畔豪庭带独立泳池 稀有单位 毛坯过五年,祈福新村湖畔豪庭,祈福新村,7室2厅 ,508.26, 东 , 其他 ,1,2000, 平房,5, 5个月以前发布,43000000.0,"84,603元/平",VR房源 房本满五年 随时看房 
三边采光三边单边，难得园区中间位置，唯一在卖大平层,锦绣香江花园山水华府,汉溪长隆,4室2厅 ,223.5, 东南 南 , 精装 ,21,2010, 板塔结合,8, 3个月以前发布,7790000.0,"34,850元/平",VR看装修 房本满五年 随时看房 
时光顶楼复式 南向看别墅 无遮挡 南北对流850带车位,广州雅居乐花园时光九篇,雅居乐,7室2厅 ,177.2, 南 , 精装 ,11,2010, 塔楼,32, 6个月以前发布,6540000.0,"36,884元/平",VR房源 房本满五年 随时看房 
海龙湾电梯大三房 南北对流 望湖景 南北大阳台,海龙湾,南浦,3室1厅 ,141.15, 东南 , 精装 ,11,2004, 塔楼,0, 1个月以前发布,4250000.0,"30,110元/平",VR房源 房本满五年 随时看房 
锦绣半岛 一线江景 4房 高层 采光好 随时可看,锦绣半岛西区,南浦,4室2厅 ,166.71, 西北 , 简装 ,28,2009, 塔楼,17, 一年前发布,4500000.0,"26,993元/平",VR看装修 房本满五年 随时看房 
中高楼层，南北对流，望江景视野开阔,锦绣半岛西区,南浦,5室2厅 ,324.98, 东南 , 毛坯 ,28,2009, 塔楼,0, 3个月以前发布,10000000.0,"30,772元/平",VR看装修 房本满五年 随时看房 
高层 保养新净 大露台四房  户型方正  光线充足,丽江花园德汇楼,南浦,4室2厅 ,149.1, 西北 , 精装 ,20,1997, 塔楼,1, 5个月以前发布,4500000.0,"30,182元/平",近地铁 VR房源 房本满五年 随时看房 
一线江景 私密性强 有独立车位 精致装修 温馨舒适,丽江花园棕榈滩,南浦,5室3厅 ,236.29, 东南 , 其他 ,1,2008, 塔楼,23, 一年前发布,12800000.0,"54,171元/平",VR房源 房本满五年 
满五不唯一，步梯六楼复式，位置安静，通风采光好,广州奥林匹克花园,洛溪,4室2厅 ,122.3, 南 , 精装 ,6,2002, 塔楼,14, 11个月以前发布,3990000.0,"32,625元/平",近地铁 VR房源 房本满五年 随时看房 
房子保养新 通风采光好 适宜居住,裕丰新村,亚运城,5室2厅 ,159.96, 南 , 其他 ,17,2008, 塔楼,4, 一年前发布,3850000.0,"24,069元/平",VR看装修 房本满五年 随时看房 
单边别墅 实用700方进口品牌 全屋地暖 健身影音,广州雅居乐花园剑桥郡,雅居乐,5室3厅 ,318.33, 南 北 , 精装 ,1,2010, 塔楼,59, 6个月以前发布,19800000.0,"62,200元/平",近地铁 VR房源 房本满两年 随时看房 
此房满五年，南北对流格局好，一楼配套齐全，生活便利,祈福新村C区,祈福新村,2室2厅 ,67.0, 北 , 简装 ,3,1995, 板楼,0,14,1800000.0,"26,866元/平",VR房源 房本满五年 随时看房 
富丽家园富昌花园 2室1厅 西,富丽家园富昌花园,大石,2室1厅 ,45.2, 西 , 精装 ,9,1995, 塔楼,0,16,1230000.0,"27,213元/平",近地铁 VR房源 房本满五年 随时看房 
电梯中高层视野开阔 小区管理 环境好 近地铁,今日丽舍,大石,1室1厅 ,43.7, 南 北 , 精装 ,23,2004, 塔楼,0,4,1150000.0,"26,316元/平",近地铁 VR房源 房本满五年 随时看房 
祈福新村蝶舞轩 3室2厅 北,祈福新村蝶舞轩,祈福新村,3室2厅 ,95.5, 北 , 精装 ,6,2002, 板楼,0,10,2380000.0,"24,922元/平",VR房源 房本满五年 随时看房 
满五唯一电梯2房，不靠路，居住安静,鸿禧华庭,市桥,2室1厅 ,85.16, 西 , 精装 ,25,2004, 塔楼,0,14,3400000.0,"39,925元/平",近地铁 VR看装修 房本满五年 随时看房 
莲芳园  可以用公积金贷款 中间层,富丽家园莲芳园,大石,2室1厅 ,72.5, 南 , 简装 ,8,1995, 塔楼,1,14,1750000.0,"24,138元/平",近地铁 VR看装修 房本满五年 随时看房 
