,位置,次数
2254,东怡园,1
2255,锦绣花园北区,1
2256,东逸豪园,2
2257,植村五路东一区,1
2258,广州星河湾星苑,3
2259,番禺海伦堡流金岁月,4
2260,广州碧桂园锦苑,1
2261,锦绣香江花园丁香园,3
2262,南天名苑,2
2263,名人山庄,1
2264,莲花别墅,4
2265,广州碧桂园福苑,2
2266,富丽家园富宜居,1
2267,新光城市花园,2
2268,康城水郡,2
2269,东瀚园,1
2270,荔芳园,1
2271,祈福新村B区,3
2272,德福楼,1
2273,金口岸大厦,2
2274,华盛新村南区,1
2275,富图花园,2
2276,金海岸花园皇玛,3
2277,丽江花园丽岛翠苑,5
2278,广州雅居乐花园御景峰,1
2279,一品灏景,1
2280,东方花园2区,1
2281,广州碧桂园绿茵苑,2
2282,星河湾半岛二号园,1
2283,香缤豪庭,2
2284,锦绣香江花园布查特官邸,3
2285,锦绣香江花园玉兰园,1
2286,金海岸花园梓园,1
2287,瀚御居,2
2288,东怡新区东裕园,1
2289,东怡新区东豪园,1
2290,雍景山庄,1
2291,华南碧桂园碧翠苑,1
2292,广州雅居乐花园灏湖居,1
2293,布查特官邸I期,2
2294,莲花山高尔夫别墅,1
2295,祈福新村绿怡花园,1
2296,招商城市主场,1
2297,东涌路,2
2298,光明南路,1
2299,盈翠苑,1
2300,西华园,2
2301,长堤西路,1
2302,番中宿舍,1
2303,广州雅居乐花园雅湖居,3
2304,电力新村,1
2305,银都大厦,3
2306,市桥东苑小区,2
2307,祈福新村活力花园,1
2308,东骏苑,1
2309,金海御苑,3
2310,园丰小区,1
2311,富华中路,2
2312,利安大厦,1
2313,海滨大厦,1
2314,富都城,2
2315,雍逸华庭,3
2316,西丽路,1
2317,翠怡轩,1
2318,华南新城江山颐景茗苑,1
2319,昊龙花园北区,1
2320,华荟南景园,2
2321,乐怡苑,1
2322,富华园,1
2323,富丽家园,1
2324,置业广场,1
2325,雅居乐锦官城星汇,2
2326,清河中路,1
2327,景辉苑,1
2328,富丽家园豪景楼,1
2329,豪景大厦,1
2330,亚运城运动员村二区,1
2331,越秀星汇文瀚,1
2332,中华大道翠园西,1
2333,珠光新城御景二期,1
2334,华翠街小区,2
2335,侨乐新村,9
2336,紫林居,2
2337,华港花园,24
2338,华景新城华景里,17
2339,东璟花园,6
2340,中兴花园,5
2341,华江花园,5
2342,华康小区,4
2343,阳光家园(天河),3
2344,侨怡苑,11
2345,美林湖畔花园,17
2346,天诚广场,1
2347,星海音乐学院,1
2348,侨林苑,3
2349,棠德花苑,76
2350,煤气公司宿舍(天河区),2
2351,金田花苑,9
2352,富力天朗明居,33
2353,广海花园,7
2354,都市华庭(天河),8
2355,帝景苑,9
2356,德埔小区,7
2357,天文苑,6
2358,迎翠春庭,3
2359,新燕花园,7
2360,易通大厦,5
2361,物资局大院,8
2362,沙河顶,1
2363,侨源山庄,14
2364,环宇花园,9
2365,豪景花园,18
2366,丰兴广场,8
2367,中怡城市花园,4
2368,嘉裕君玥公馆,8
2369,明轩,3
2370,兰亭盛荟,17
2371,新大厦,2
2372,骏景花园,83
2373,美林海岸花园,30
2374,橡树园,21
2375,天健上城,20
2376,名门大厦,14
2377,阳光假日园,10
2378,西雅苑,3
2379,保利心语花园,16
2380,理想青年荟,5
2381,边检宿舍,3
2382,邮通小区,2
2383,新世界东逸花园,19
2384,华标广场,7
2385,万科云城米酷,20
2386,穗园小区,4
2387,水荫路永福正街,2
2388,富力天禧花园,3
2389,观山苑,6
2390,富力天河华庭,3
2391,华景新城陶然庭苑,24
2392,东方新世界,27
2393,保利香槟花园,7
2394,仙湖名苑,5
2395,嘉尚国际公寓,3
2396,华景新城翠安侬苑,11
2397,省农机所,1
2398,保利中汇广场,4
2399,天力居,7
2400,金晖花园,2
2401,兴禺大厦,5
2402,德荣小区,13
2403,东成花园,3
2404,华景新城逸宁居,3
2405,育蕾小区,10
2406,侨翠苑,8
2407,六运小区,26
2408,东成花苑,6
2409,华景新城雅怡居,3
2410,中海康城,38
2411,云宁居,9
2412,中海花城湾,12
2413,城市假日园,13
2414,华景新城华景锦苑,1
2415,东圃广场,16
2416,盈彩美居,17
2417,龙口小区,4
2418,君紫花园,1
2419,金海花园,9
2420,珠江俊园,13
2421,福金莲花园,11
2422,美好居,8
2423,育兰小区,1
2424,百合路38-64号宿舍（双号）,1
2425,绿佳花园,8
2426,暨南花园,6
2427,隆德大厦,7
2428,天鹅花苑,9
2429,跑马地花园,5
2430,保利林海山庄,20
2431,跑马地花园三期,10
2432,纵横花园,2
2433,水利电力学院,2
2434,天河直街小区,2
2435,珠江太阳城广场,3
2436,勤天E品上馆,6
2437,燕塘大院,2
2438,南天广场,9
2439,粤韵庭园,8
2440,春江花园,12
2441,龙口东路,5
2442,第四十四中学教工宿舍,1
2443,云山翠苑,2
2444,广州大道省府宿舍,4
2445,中山大学第六附属医院宿舍,1
2446,交警宿舍,1
2447,信华经理人家园,8
2448,天河东远洋宿舍,4
2449,天寿路,1
2450,南粤阁,2
2451,星汇云锦,13
2452,荟雅苑,7
2453,华景新城华门阁,3
2454,金碧华府,5
2455,建丽花园,4
2456,迪生苑,1
2457,天河山庄,13
2458,昌乐园,6
2459,华建小区,9
2460,公路局大院,3
2461,天河北苑,10
2462,尚东君御雅苑,11
2463,羊城花园,9
2464,河源大厦,1
2465,珠委大院,2
2466,天誉花园,3
2467,铂林国际公寓,10
2468,广州体育学院,5
2469,天河星作,4
2470,海棠阁,4
2471,沙太南路,1
2472,中达广场,11
2473,广弘天琪,1
2474,东晖花园,9
2475,百脑汇科技大厦,4
2476,金燕花园,15
2477,翠屏富通雅苑,4
2478,高胜花园,9
2479,省粮油宿舍,2
2480,天福居,5
2481,翠湖山庄,13
2482,旭景家园,22
2483,濂泉西路95号大院,4
2484,都市兰亭花园,6
2485,星汇雅苑,4
2486,华盈居,2
2487,龙湖首开天宸原著,1
2488,丰乐苑,4
2489,加拿大花园,11
2490,长运大院,5
2491,翠拥华庭锋尚,5
2492,粤垦路红英街,2
2493,太阳广场,9
2494,芳草园,5
2495,红十字会医院宿舍,1
2496,华丽楼,1
2497,南兴花园(天河区),10
2498,赛拉维,20
2499,翠华苑,1
2500,远洋天骄,16
2501,海景中心,9
2502,华师大学宿舍南区,2
2503,隆基怡苑,5
2504,龙吟居,1
2505,东方都会广场,3
2506,丽晴轩,2
2507,华景新城泽晖苑,9
2508,天平花苑,7
2509,华景新城逸晖居,3
2510,信成小区,7
2511,东方之珠花园,4
2512,嘉惠苑,2
2513,兰亭荟苑,2
2514,时尚明苑,9
2515,五星阁,6
2516,穗乐花园,6
2517,中强雅苑,2
2518,金穗大厦,7
2519,宝供大厦,2
2520,嘉裕公馆,7
2521,汇豪大厦,6
2522,华景新城晓景楼,1
2523,半山溪谷E墅,4
2524,广东外语职业艺术学院五山校区,3
2525,星汇园,9
2526,瑜翠园,4
2527,美林湖畔花园誉府,5
2528,金富苑,2
2529,天河峰景大厦,4
2530,乐意居花园,13
2531,富力花园,3
2532,阳光桃源,4
2533,天雅居,7
2534,黄村体育训练基地,1
2535,穗茵园,8
2536,金鼎大厦,6
2537,惠苑楼,3
2538,南国花园,14
2539,金碧翡翠华庭,8
2540,峻林,7
2541,东荣文华轩,2
2542,星汇国际大厦,1
2543,金兴花园,3
2544,天河新作,9
2545,银利花苑,2
2546,天河广场,7
2547,富力盈力大厦,1
2548,瑞心苑,6
2549,安厦花园,1
2550,誉城苑,3
2551,富力盈丰大厦,17
2552,领峰园,5
2553,嘉裕礼顿阳光,2
2554,佳润上品菁园,1
2555,鸿燕居,5
2556,瑞华大厦,2
2557,林和东路155-171号（单号）,1
2558,棠利大厦,1
2559,天成居,1
2560,福龙苑,1
2561,双城国际,1
2562,华文学院,2
2563,金建苑,10
2564,叠翠台,4
2565,乐雅苑,3
2566,粤海丽江花园,6
2567,云龙苑,1
2568,壹号公馆,2
2569,丽晶华庭,6
2570,半山翠庭,5
2571,富力公园28,7
2572,广利路,3
2573,百合苑A区,3
2574,广环大厦,2
2575,白马花园,1
2576,贤人阁,1
2577,天晟明苑,5
2578,嘉华楼,1
2579,中海璟晖华庭,5
2580,逸安阁,2
2581,员村二横路11号大院,2
2582,嘉宝华庭,5
2583,体育西苑,2
2584,银汇华庭,4
2585,华南御景园,15
2586,嘉裕丹顿阳光,5
2587,中人集团宿舍,3
2588,君林天下,6
2589,华景新城逸悦居,2
2590,华景新城逸致居,2
2591,时代花生二期,7
2592,体育西路,2
2593,东圃法院宿舍,6
2594,东洲大厦,6
2595,瑞安·创逸,5
2596,员村山顶建设局宿舍,1
2597,汇峰苑,12
2598,天雅阁,2
2599,名雅苑,4
2600,中人宿舍,4
2601,富力院士庭,12
2602,福泉楼,3
2603,天韵阁,3
2604,沙和路,2
2605,风行牛奶宿舍,2
2606,天河鸿运花园,7
2607,侨源新村,4
2608,华景新城丽景园,5
2609,华景新城沁馥佳苑,2
2610,御华苑,3
2611,穗东花园,7
2612,海景大厦,4
2613,绿庭苑,1
2614,东河苑,3
2615,远洋明珠大厦,3
2616,金润大厦,1
2617,雅怡阁,6
2618,雅怡居,7
2619,侨英花园,6
2620,鸿翔大厦,6
2621,广氮新村,5
2622,凯旋新世界广粤尊府,1
2623,员村新村,4
2624,方圆月岛,6
2625,天銮,14
2626,华景新城胜景楼,3
2627,金坤花园,4
2628,广厦居,2
2629,天盛大厦,3
2630,伍仙花园A区,6
2631,绿怡居,2
2632,边检大院,6
2633,汇景新城中央庭院,3
2634,华景新城逸意居,2
2635,喜洋居,5
2636,天一新村,11
2637,隽园,4
2638,金山轩,1
2639,力迅领筑,4
2640,华翰大厦,6
2641,历德雅舍,7
2642,九洲海誉居,2
2643,天河军休三所,2
2644,商检宿舍,3
2645,聚侨苑,1
2646,天誉华庭,8
2647,员村西街3号大院,1
2648,御晖苑,3
2649,协和新世界,3
2650,远东大厦,5
2651,文化大院,6
2652,先烈东路,7
2653,合景睿峰L7,10
2654,汇友苑,7
2655,广梅汕铁路大厦,2
2656,博雅御轩,1
2657,易丰大厦,5
2658,阳华国花苑,1
2659,五华大厦,1
2660,侨兴苑,4
2661,珠江都荟华庭,3
2662,漾晴居,2
2663,天成大厦,2
2664,凯旋新世界枫丹丽舍,2
2665,嘉怡苑,3
2666,海景花园,1
2667,汇景新城棕榈园,4
2668,东方新世界熹园,4
2669,小城之春,3
2670,南雅苑,10
2671,华南理工大学宿舍凤凰新村,1
2672,天河东路小区,2
2673,锦华轩,2
2674,华苑大厦,7
2675,农工商学院,6
2676,华颖花园,9
2677,省工艺大院,2
2678,祥兴大厦,3
2679,南国嘉园,2
2680,省农科院西区,1
2681,龙苑大厦,3
2682,翰林苑(天河),5
2683,正佳万豪金殿,5
2684,佳润临江上品,15
2685,家和天曜,1
2686,富力爱丁堡国际公寓,6
2687,富力盈盛广场,7
2688,嘉逸花园,6
2689,恒安大厦,4
2690,金庭轩,1
2691,冠庭园,5
2692,华颖轩,7
2693,远洋明苑,3
2694,兰亭上东,1
2695,富力新村,5
2696,银利街35号大院,1
2697,广深铁路物业公司广园东住宅小区,6
2698,怡侨大厦,4
2699,国土测绘院大院,1
2700,南国公馆,2
2701,先烈东横路,3
2702,高德公馆,4
2703,长兴小区,1
2704,星河苑,2
2705,穗源阁,1
2706,侨辉大厦,2
2707,恒康阁,2
2708,天员大厦,1
2709,广东省新闻出版局宿舍,1
2710,汇富花园,3
2711,旭日雅苑,4
2712,岳洲路,1
2713,利雅湾,5
2714,馨怡花苑,2
2715,天俊阁,1
2716,尚河居,1
2717,广本宿舍,1
2718,濂泉路,3
2719,半山雍景苑,7
2720,天力街3号,2
2721,旭景家园熙苑,2
2722,力迅上筑,4
2723,财富世纪广场,1
2724,燕塘工业园小区,1
2725,冠军小区,3
2726,方圆公园一号,1
2727,天顺跃居,2
2728,利汇名悦大厦,4
2729,日立电梯宿舍,1
2730,园田居,1
2731,暨南大学宿舍,3
2732,富丽花苑,2
2733,药检宿舍,1
2734,南华工商学院,1
2735,保利世纪绿洲一期,3
2736,博雅首府,4
2737,汇景新城维纶特莱,3
2738,天翔花园,6
2739,宏景台,3
2740,碧海湾,6
2741,珠光新城御景,1
2742,希尔顿阳光,6
2743,龙口花苑,2
2744,华南农业大学宿舍茶山区,1
2745,中海观园国际,4
2746,骏汇大厦,4
2747,交委宿舍,4
2748,隽峰苑,5
2749,汇景新城龙熹山,3
2750,龙口东路翠竹苑,1
2751,华天国际广场,4
2752,伍仙花园B区,2
2753,天信大厦,3
2754,尚东美御,2
2755,华景新城芳满庭园,4
2756,中铁盛德国际,2
2757,华景新城逸雅居,2
2758,陶苑小区,4
2759,五山花园,5
2760,天荣小区,2
2761,阳光都会广场,1
2762,残联宿舍,1
2763,汇景新城上城勋堡,3
2764,誉峰,7
2765,天龙大厦,4
2766,耀星华庭,2
2767,时代花生一期,2
2768,宝翠园,3
2769,安骏大厦,2
2770,恒城大厦,2
2771,汇景新城世家,4
2772,越秀星汇御府,2
2773,理想蓝堡国际花园,4
2774,珠江东境花园,1
2775,江源半岛花园,1
2776,君华上域,1
2777,省水科院,1
2778,光华大厦,2
2779,侨鑫汇悦台,1
2780,南国嘉居,1
2781,鸿景园,1
2782,侨颖苑,3
2783,龙珠楼,3
2784,卫生院宿舍,1
2785,华景新城龙门阁,1
2786,佳福阁,1
2787,龙岗路,4
2788,华景新城逸馨居,1
2789,珠光御景骏庭,1
2790,华景新城绿茵居,3
2791,五羊宿舍,1
2792,濂泉路42号大院,1
2793,白水塘,1
2794,燕岭大厦宿舍,2
2795,天隆花苑,5
2796,五山税务局宿舍,3
2797,伟诚广场,2
2798,电子五所宿舍,4
2799,天立大厦,2
2800,一汽宿舍,2
2801,文苑花园(天河区),3
2802,广之旅大厦,3
2803,天宝大厦,1
2804,陶庄33号,3
2805,华南理工大学宿舍南新村,3
2806,泰然居,1
2807,德欣小区,2
2808,建丰大厦,1
2809,广氮花园,1
2810,东园小区,4
2811,天利居,2
2812,侨明苑,3
2813,远洋棠下小区,1
2814,春晖苑(天河),2
2815,十八中学宿舍,2
2816,聚龙阁,2
2817,广州市轻工高级技工学校宿舍,2
2818,省农科院东区,1
2819,茶景园,1
2820,信达金茂广场,1
2821,牛利岗大街77-81号宿舍（单号）,2
2822,华润天合,2
2823,华南农业大学宿舍嵩山区,1
2824,燕东大厦,1
2825,云华楼,1
2826,沙太南路332号-338号宿舍,1
2827,建业路华翠街,1
2828,泰然楼,3
2829,骏逸苑,1
2830,东圃大马路,1
2831,员村四横路3号大院,1
2832,高科大厦,2
2833,财政局宿舍,3
2834,华景新城叠翠居,7
2835,员村三横路,1
2836,恒业大厦,2
2837,员村四横路1号大院,1
2838,华景新城豪门阁,2
2839,中明大厦,1
2840,枫华苑,2
2841,百合苑B区,2
2842,金泽大厦,2
2843,龙岗东小区,1
2844,翰景轩,2
2845,尚东宏御,1
2846,保利中辰广场,4
2847,沙和路沙东大街,2
2848,金达苑,3
2849,广东省公路勘察规划设计院宿舍,1
2850,保利世纪绿洲二期,4
2851,吉祥花苑,2
2852,银利新村,1
2853,泰安花园,4
2854,体育西路天河北街,1
2855,珠江西苑,1
2856,广信红棉阁,1
2857,国土局宿舍,1
2858,远洋小区,1
2859,民政局大院,1
2860,华荣楼,1
2861,龙口东档案馆房改,1
2862,华景新城怡翠居,1
2863,尚雅苑,1
2864,侨苑小区(天河区),2
2865,燕塘广场,6
2866,新陶苑,2
2867,检察院宿舍,2
2868,中信广场,1
2869,华景新城怡华台,2
2870,发源楼,1
2871,恒达苑,1
2872,广昌楼,1
2873,棠雅苑,2
2874,联发名苑,2
2875,保利中宇广场,1
2876,广东工业大学五山教师村,1
2877,恒大珺睿,4
2878,祥龙花园,1
2879,华南理工大学宿舍西二区,2
2880,广州嘉禾制药厂宿舍,1
2881,合生骏景广场,1
2882,天河新天地,3
2883,建材小区,1
2884,白云进修学院教工宿舍,1
2885,鸿发广场,2
2886,华景新城怡景园,1
2887,华师大学宿舍中区,1
2888,佛奥广场,2
2889,广信玉兰阁,1
2890,星辰财富港,2
2891,省机械研究所,1
2892,东圃远洋小区,1
2893,银燕大厦,1
2894,消防局宿舍,1
2895,朝晖苑,2
2896,万菱汇广场,1
2897,银河小学教工宿舍,1
2898,中山三院宿舍,1
2899,华师大学宿舍北区,1
2900,钢铁研究所,1
2901,华仙楼,1
2902,供销社宿舍,1
2903,水荫一横路,1
2904,半导体研究院宿舍,1
2905,水务局三防办,1
2906,生态环境与土壤研究所,1
2907,尚德大厦,2
2908,侨乐新村嘉德利湾,1
2909,天惠大厦,1
2910,康湖山庄,1
2911,科技干部学院,1
2912,天平架公交宿舍,1
2913,广工大院,6
2914,海南大厦,1
2915,五羊华轩,6
2916,青菜岗,2
2917,淘金家园二三期,13
2918,华侨新村,16
2919,仓边路35号大院,2
2920,瑶台花园,3
2921,麓湖御景,6
2922,嘉诚国际公寓,15
2923,文德南路,2
2924,德兴苑,5
2925,海平阁,4
2926,西华路,32
2927,海珠北路,7
2928,淘金路,27
2929,永福路永福西约,16
2930,太和岗路,1
2931,庙前直街,1
2932,福今路,5
2933,俊逸阁,1
2934,淘金家园峯璟,7
2935,电视台大院,4
2936,先烈中路81号大院,31
2937,麓苑路,3
2938,广东省药物研究所甜水横巷分所,2
2939,大德路,14
2940,建设二马路,3
2941,淘金华庭,7
2942,富力御龙庭,13
2943,太和岗路22号大院,6
2944,北京路,5
2945,碧翠苑,6
2946,东园新村,7
2947,省政协宿舍,1
2948,海鹰大厦,2
2949,东华西路,12
2950,东环路6号大院,3
2951,东湖御苑,5
2952,中曦大厦,3
2953,明泉花园,5
2954,国龙大厦,8
2955,骏朗轩,1
2956,小北路,22
2957,淘金家园一期,2
2958,麓湖阁,4
2959,下塘西路,11
2960,水荫直街,18
2961,农林下横路,1
2962,北秀花园,5
2963,大沙头路,3
2964,中山一路,1
2965,光塔路,9
2966,解放中路,3
2967,执信南路,12
2968,竹丝岗四马路,1
2969,帝景大厦,2
2970,东华东路,9
2971,海中宝大厦,2
2972,美东大厦,2
2973,锦源国际公寓,4
2974,圣安苑,4
2975,人民北路,3
2976,越秀北路,5
2977,广信美景大厦,4
2978,文德广场,3
2979,恒雅苑,3
2980,流花雅轩,2
2981,广州大学宿舍,7
2982,水荫路,19
2983,机关宿舍,5
2984,拥翠小区,14
2985,波尔多庄园,4
2986,深华大厦,4
2987,文明路,8
2988,海印集团中心,5
2989,东华南路,5
2990,朝天路,3
2991,银山大厦,1
2992,西元岗小区,2
2993,五羊小区,24
2994,仓边路,12
2995,广东国际大厦,3
2996,惠福西路,3
2997,恒福苑,4
2998,桂花岗,14
2999,华秀苑,9
3000,童心路,1
3001,海珠中路,4
3002,文德雅轩,4
3003,市府机关宿舍大院,1
3004,恒华阁,1
3005,置地大厦,3
3006,一德花园,2
3007,寺右一横路,4
3008,富力宜居,2
3009,解放北路(越秀区),11
3010,东方广场,6
3011,共和苑,5
3012,东风广场,20
3013,东山锦轩,1
3014,梅花村,5
3015,署前路,2
3016,共和路,3
3017,嘉骏苑,3
3018,德悦居,2
3019,东方文德广场,10
3020,农林华府,3
3021,豪贤苑,4
3022,中航大厦,2
3023,兴城大厦,3
3024,金东环大厦,1
3025,逸雅居,6
3026,友谊剧院宿舍,2
3027,淘金坑,6
3028,中山四路,12
3029,椰诚阁,2
3030,永福路89号大院,12
3031,大新路,8
3032,五矿大院,1
3033,大南路,14
3034,商业新村,1
3035,湖滨苑,1
3036,富华商贸大厦,1
3037,君汇世家,3
3038,花园新村,5
3039,中山三路,12
3040,文星阁,7
3041,梅花路,1
3042,福今东,2
3043,五羊商住中心,2
3044,民间金融大厦,3
3045,麓雅居,2
3046,富力东堤湾,8
3047,德心轩,1
3048,侨福苑,4
3049,正佳东方国际,7
3050,新达城广场,2
3051,濠畔商厦,2
3052,竹丝岗二马路,2
3053,豪贤路,2
3054,农林下路,8
3055,嘉和苑,6
3056,名门越秀,5
3057,嘉富广场,7
3058,培正一横路,1
3059,科技馆大院,5
3060,天胜村,5
3061,广园东路,9
3062,广医小区,4
3063,海印苑,10
3064,房建大厦,2
3065,松岗大街宿舍,5
3066,淘金北路,4
3067,凯旋会,3
3068,应元路,5
3069,广信丽景大厦,1
3070,兰亭璟濠,3
3071,聚贤阁,5
3072,福莱花园,4
3073,璟泰大厦,1
3074,越兴苑,1
3075,东山公馆,1
3076,水均岗,5
3077,康丽居,3
3078,东兴小区,4
3079,东风东路754号大院,1
3080,麓湖大厦,4
3081,嘉洲翠庭,10
3082,麓苑阁,1
3083,恒福阁,3
3084,广园西路,3
3085,仓前大厦,2
3086,东山雅筑,4
3087,六榕大厦,1
3088,骏文雅苑,5
3089,雅景阁,3
3090,锦城花园,10
3091,华侨乐园,22
3092,越秀上品轩,6
3093,清水濠小区,2
3094,海印花园,1
3095,环市东路466号大院,5
3096,嘉颐居,3
3097,金麓山庄,20
3098,洛桑美地,1
3099,新河浦一横路,1
3100,东海嘉园,3
3101,宜安小区,3
3102,建设五马路35号大院,1
3103,云鹤园,4
3104,下塘新村,8
3105,文德先生,6
3106,天伦花园,3
3107,省委党校大院,3
3108,黄华路,11
3109,犀牛路,3
3110,新华楼,2
3111,东越雅居,1
3112,雅景花园,2
3113,南方永福国际大厦,4
3114,峻峰大厦,1
3115,侨力大厦,3
3116,东风东路,4
3117,羊和园,1
3118,花果山庄,7
3119,富力东山新天地,4
3120,德政中路,11
3121,东郊市场,2
3122,万科金色家园,3
3123,瑶泉新苑,1
3124,黄花新村,8
3125,横枝岗56号大院,5
3126,寺右二马路,3
3127,流花广场,1
3128,寺右东小区,7
3129,黄田小区,7
3130,北站路北站新街,1
3131,先烈中路,5
3132,东环大厦,6
3133,洪都逸品,5
3134,起义路,4
3135,珠光小北御景,3
3136,大德大厦,2
3137,远洋小北宿舍,2
3138,淘金花园,3
3139,世贸花园,4
3140,金地大厦,2
3141,润粤大厦,6
3142,东川路,7
3143,执信大院,2
3144,颐秀华庭,1
3145,竹丝岗二马路7号大院,2
3146,永福楼,7
3147,麓湖盛景,5
3148,金湾畔大厦,3
3149,爱群荟景湾,4
3150,都府小区,5
3151,华逸阁,1
3152,大南居,1
3153,翠怡大厦,4
3154,文德北路,2
3155,富宏花园,5
3156,鸿瑞大厦,1
3157,方凯华庭,3
3158,天字广场,3
3159,金羊花园,2
3160,建雅台,2
3161,德雅轩,4
3162,翠山美庭,1
3163,恒福路,9
3164,白云一街8号大院,1
3165,湛塘路,1
3166,广信汇景大厦,3
3167,广州煤研所宿舍,1
3168,水荫翠院,6
3169,建设三马路,2
3170,丰景大厦,5
3171,东山欣园,1
3172,二沙岛花城苑,1
3173,达道路,3
3174,君铂国际,2
3175,邮电新村华乐路,1
3176,金山阁,2
3177,越秀花苑大厦,1
3178,先烈南路青菜东街,5
3179,恒鑫御园,2
3180,铁路大院,1
3181,淘金大厦,4
3182,清水塘小区,5
3183,越秀南路,4
3184,东山领汇广场,4
3185,环市东路,9
3186,泰康城广场,4
3187,东兴大厦,7
3188,花果山社区,4
3189,山河后街61号大院,1
3190,应元大厦,2
3191,莲泉大厦,1
3192,新时代宿舍(北站路),1
3193,中冠大厦,5
3194,环市东路435号大院,2
3195,乐韵居,5
3196,福今路3号大院,2
3197,利福大厦,1
3198,惠福东路,3
3199,百灵路,3
3200,柏丽雅居,1
3201,观湖雅轩,4
3202,金濠大厦,1
3203,保利中环广场,13
3204,文化大楼,1
3205,建设横马路,1
3206,东川路91号大院,4
3207,文德路,1
3208,梅花路电力设计院宿舍,1
3209,小东园,2
3210,麓景路,6
3211,光孝路,5
3212,北较场横路,1
3213,三荣大厦,3
3214,濂泉居,3
3215,金迪大厦,2
3216,北京大厦,2
3217,陶瓷大厦,4
3218,天秀大厦,4
3219,岭南会,1
3220,先烈南路青龙坊,1
3221,矿泉大厦,1
3222,邮电新村,4
3223,越秀区第二军休所,1
3224,文德东路,1
3225,广发花园,1
3226,泰峰大厦,1
3227,中山二路,2
3228,环市中路,3
3229,华悦居,1
3230,中山六路,3
3231,教师宿舍,1
3232,好世界公寓,2
3233,金润铂宫,1
3234,珠光路,4
3235,电台大院,2
3236,华盛居,1
3237,共和西小区,2
3238,东雅轩,4
3239,象岗山,1
3240,鸿业大厦,2
3241,恒福路11号大院,1
3242,国投宿舍,3
3243,达道西路,2
3244,荣庆大厦,1
3245,百子大厦,2
3246,金悦东山国际公馆,4
3247,日升大厦,3
3248,时代YOU公寓,1
3249,东川大厦,6
3250,麓湖路3号大院,1
3251,寺贝楼,1
3252,粤康阁,2
3253,碧水明筑,1
3254,庙前西街,3
3255,广信华景大厦,2
3256,永胜华庭,2
3257,金宝怡庭,1
3258,国利大厦,1
3259,盈泽苑,1
3260,惠爱大厦,1
3261,幸福小区,1
3262,府前铭泰,1
3263,烟墩路,1
3264,农林下路2号大院,1
3265,广州机务段,1
3266,宝汉直街54号大院,2
3267,大东门华庭,3
3268,东风西路,5
3269,诗书路,1
3270,东雅兰院,1
3271,明月二路,6
3272,越富广场,2
3273,珠光雅居,1
3274,德安大厦,1
3275,冠城大厦,2
3276,先烈中路102号大院,2
3277,三元里大道洪荫街,1
3278,五号公馆,1
3279,御东和府,1
3280,丽日广场,3
3281,北京南路,1
3282,粮食局宿舍,1
3283,竹丝岗大马路,2
3284,幸福立方,1
3285,农本新村,1
3286,东华南路白云楼,1
3287,百好居,1
3288,北站路,3
3289,天锦大厦,1
3290,辉煌大厦,3
3291,华逸锦轩,1
3292,教工新村,1
3293,白云路,2
3294,粤虹大厦,1
3295,东湖新村,1
3296,顺景大厦,1
3297,丽华大厦,2
3298,金铭轩,2
3299,海日苑,1
3300,体委大院,5
3301,景华大厦,1
3302,华业大厦,3
3303,鸿福居,1
3304,净慧路,2
3305,南油大厦,1
3306,广九三马路7号大院,1
3307,水荫路34号大院,1
3308,海印大厦,1
3309,财厅大院,2
3310,丽苑大厦(越秀区),2
3311,恒仕大厦,3
3312,广信豪景大厦,4
3313,寺右新马路,1
3314,广信鸿景大厦,1
3315,盈基大厦,1
3316,宝山大厦,3
3317,精彩生活大厦,1
3318,尚峰酒店公寓,1
3319,建设大马路,4
3320,铁路宿舍大院,1
3321,广信怡景大厦,2
3322,羊城商厦,1
3323,德政北路,1
3324,淘金东路,2
3325,区庄村,2
3326,法政路,3
3327,长堤大马路,2
3328,穗安楼,1
3329,富临居,1
3330,西湖路,2
3331,东山紫园,2
3332,华友大厦,3
3333,伟超置业大厦,1
3334,广粮大厦,1
3335,爱家园,2
3336,统战部大院,1
3337,翰林阁,2
3338,回龙路,1
3339,佳地华苑大厦,1
3340,银行疗养院宿舍,1
3341,新悦楼(越秀区),2
3342,新河浦雅居,2
3343,东湖豪苑,1
3344,新河浦路,2
3345,省社会科学培训中心宿舍,1
3346,丽晶大厦,2
3347,广大路,1
3348,海运小区,1
3349,碧桂园豪进广场,54
3350,惠百氏广场,16
3351,锦绣新天地,146
3352,富雅都市华庭,30
3353,汇东国际花园,82
3354,合汇学府名郡,26
3355,碧桂园凤凰城凤锦苑,32
3356,豪进山湖珺璟,77
3357,东方名都,123
3358,合景誉山国际,55
3359,广州敏捷绿湖首府三期,34
3360,新塘新世界花园万象苑,100
3361,金地香山湖,57
3362,碧桂园凤凰城凤馨苑,108
3363,亚太新城富丽园,12
3364,敏捷锦绣天伦,105
3365,增城时代廊桥,31
3366,保利中航城一期,48
3367,翡翠绿洲克拉邻里,9
3368,新都盛世名门宏城汇,59
3369,时代倾城(增城区),27
3370,保利i立方,33
3371,汇美体育花园,22
3372,翡翠绿洲湖滨苑,11
3373,新康花园,53
3374,创基丽江国际,26
3375,新都盛世名门,60
3376,翡翠绿洲森林半岛,72
3377,恒大山水城,88
3378,群星花园,19
3379,新景豪庭,31
3380,仁安花园,19
3381,广州海伦堡,153
